Year,party_detailed,candidatevotes,party_simplified
1976,PEACE & FREEDOM,1044,OTHER
1976,PROHIBITION,554,OTHER
1976,SOCIALIST,469,OTHER
1976,REPUBLICAN,211419,REPUBLICAN
1976,DEMOCRAT,201148,DEMOCRAT
1976,SOCIALIST WORKERS,2462,OTHER
1976,LIBERTARIAN,1110,OTHER
1976,SOCIALIST,240,OTHER
1976,PROHIBITION,211,OTHER
1976,DEMOCRAT,3244165,DEMOCRAT
1976,REPUBLICAN,2825913,REPUBLICAN
1976,CONSERVATIVE,274878,OTHER
1976,LIBERAL PARTY,145393,OTHER
1976,,143037,OTHER
1976,FREE LIBERTARIAN,12197,OTHER
1976,COMMUNIST PARTY USE,10270,OTHER
1976,SOCIALIST WORKERS,6996,OTHER
1976,LABOR,5413,OTHER
1976,DEMOCRAT,927365,DEMOCRAT
1976,REPUBLICAN,741960,REPUBLICAN
1976,AMERICAN,5607,OTHER
1976,LIBERTARIAN,2219,OTHER
1976,U.S. LABOR,755,OTHER
1976,REPUBLICAN,153684,REPUBLICAN
1976,DEMOCRAT,136078,DEMOCRAT
1976,AMERICAN,3698,OTHER
1976,INDEPENDENT,2952,OTHER
1976,AMERICAN INDEPENDENT PARTY,269,OTHER
1976,LIBERTARIAN,256,OTHER
1976,U.S. LABOR,142,OTHER
1976,COMMUNIST PARTY USE,85,OTHER
1976,PROHIBITION,63,OTHER
1976,SOCIALIST WORKERS,43,OTHER
1976,SOCIALIST,38,OTHER
1976,DEMOCRAT,2009959,DEMOCRAT
1976,REPUBLICAN,2000626,REPUBLICAN
1976,INDEPENDENT,58267,OTHER
1976,AMERICAN INDEPENDENT PARTY,15508,OTHER
1976,LIBERTARIAN,8952,OTHER
1976,COMMUNIST PARTY USE,7817,OTHER
1976,SOCIALIST WORKERS,4833,OTHER
1976,U.S. LABOR,4364,OTHER
1976,SOCIALIST LABOR,68,OTHER
1976,PROHIBITION,62,OTHER
1976,REPUBLICAN,545708,REPUBLICAN
1976,DEMOCRAT,532442,DEMOCRAT
1976,INDEPENDENT,14101,OTHER
1976,REPUBLICAN,492120,REPUBLICAN
1976,DEMOCRAT,490407,DEMOCRAT
1976,INDEPENDENT,40207,OTHER
1976,,6107,OTHER
1976,AMERICAN,1035,OTHER
1976,DEMOCRAT,2328677,DEMOCRAT
1976,REPUBLICAN,2205604,REPUBLICAN
1976,MCCARTHY '76,50584,OTHER
1976,CONSTITUTION PARTY,25344,OTHER
1976,SOCIALIST WORKERS,3009,OTHER
1976,,2934,OTHER
1976,U.S. LABOR,2744,OTHER
1976,COMMUNIST PARTY USE,1891,OTHER
1976,DEMOCRAT,227636,DEMOCRAT
1976,REPUBLICAN,181249,REPUBLICAN
1976,LIBERTARIAN,715,OTHER
1976,SOCIALIST WORKERS,462,OTHER
1976,COMMUNIST PARTY USE,334,OTHER
1976,SOCIALIST LABOR,188,OTHER
1976,DEMOCRAT,450807,DEMOCRAT
1976,REPUBLICAN,346149,REPUBLICAN
1976,AMERICAN,2996,OTHER
1976,AMERICAN INDEPENDENT PARTY,1950,OTHER
1976,,681,OTHER
1976,REPUBLICAN,151505,REPUBLICAN
1976,DEMOCRAT,147068,DEMOCRAT
1976,LIBERTARIAN,1619,OTHER
1976,COMMUNIST PARTY USE,318,OTHER
1976,SOCIALIST WORKERS,168,OTHER
1976,DEMOCRAT,825879,DEMOCRAT
1976,REPUBLICAN,633969,REPUBLICAN
1976,INDEPENDENT,5769,OTHER
1976,INDEPENDENT,5004,OTHER
1976,INDEPENDENT,2303,OTHER
1976,INDEPENDENT,1375,OTHER
1976,INDEPENDENT,547,OTHER
1976,INDEPENDENT,512,OTHER
1976,INDEPENDENT,442,OTHER
1976,INDEPENDENT,316,OTHER
1976,,230,OTHER
1976,DEMOCRAT,2082319,DEMOCRAT
1976,REPUBLICAN,1953300,REPUBLICAN
1976,INDEPENDENT,20118,OTHER
1976,AMERICAN,11442,OTHER
1976,,2982,OTHER
1976,SOCIALIST WORKERS,1723,OTHER
1976,REPUBLICAN,337908,REPUBLICAN
1976,DEMOCRAT,182110,DEMOCRAT
1976,AMERICAN,13304,OTHER
1976,INDEPENDENT,3907,OTHER
1976,LIBERAL PARTY,2438,OTHER
1976,CONCERNED CITIZENS,1162,OTHER
1976,INDEPENDENT,268,OTHER
1976,INDEPENDENT,121,OTHER
1976,REPUBLICAN,100387,REPUBLICAN
1976,DEMOCRAT,77798,DEMOCRAT
1976,INDEPENDENT,4001,OTHER
1976,,1090,OTHER
1976,SOCIALIST WORKERS,430,OTHER
1976,U.S. LABOR,196,OTHER
1976,REPUBLICAN,836554,REPUBLICAN
1976,DEMOCRAT,813896,DEMOCRAT
1976,SOCIALIST WORKERS,17802,OTHER
1976,AMERICAN,16686,OTHER
1976,U.S. LABOR,7508,OTHER
1976,LIBERTARIAN,4648,OTHER
1976,REPUBLICAN,777732,REPUBLICAN
1976,DEMOCRAT,717323,DEMOCRAT
1976,INDEPENDENT,36986,OTHER
1976,AMERICAN INDEPENDENT PARTY,8585,OTHER
1976,,5482,OTHER
1976,LIBERTARIAN,5042,OTHER
1976,CONSTITUTION PARTY,1046,OTHER
1976,SOCIALIST WORKERS,905,OTHER
1976,U.S. LABOR,903,OTHER
1976,COMMUNIST PARTY USE,817,OTHER
1976,SOCIALIST LABOR,713,OTHER
1976,DEMOCRAT,435864,DEMOCRAT
1976,REPUBLICAN,314726,REPUBLICAN
1976,DEMOCRAT,1040232,DEMOCRAT
1976,REPUBLICAN,1004987,REPUBLICAN
1976,INDEPENDENT,34943,OTHER
1976,AMERICAN INDEPENDENT PARTY,8552,OTHER
1976,SOCIALIST,4298,OTHER
1976,LIBERTARIAN,3814,OTHER
1976,,2430,OTHER
1976,SOCIALIST WORKERS,1691,OTHER
1976,SOCIALIST LABOR,389,OTHER
1976,REPUBLICAN,92717,REPUBLICAN
1976,DEMOCRAT,62239,DEMOCRAT
1976,,1387,OTHER
1980,REPUBLICAN,654192,REPUBLICAN
1980,DEMOCRAT,636730,DEMOCRAT
1980,INDEPENDENT,16481,OTHER
1980,CONSERVATIVE,15010,OTHER
1980,LIBERTARIAN,13318,OTHER
1980,STATESMAN,1743,OTHER
1980,COMMUNIST PARTY USE,1629,OTHER
1980,SOCIALIST WORKERS,1303,OTHER
1980,SOCIALIST,1006,OTHER
1980,CITIZENS,517,OTHER
1980,REPUBLICAN,86112,REPUBLICAN
1980,DEMOCRAT,41842,DEMOCRAT
1980,LIBERTARIAN,18479,OTHER
1980,INDEPENDENT,11155,OTHER
1980,,857,OTHER
1980,REPUBLICAN,529688,REPUBLICAN
1980,DEMOCRAT,246843,DEMOCRAT
1980,INDEPENDENT,76952,OTHER
1980,LIBERTARIAN,18784,OTHER
1980,SOCIALIST WORKERS,1100,OTHER
1980,CITIZENS,551,OTHER
1980,COMMUNIST PARTY USE,25,OTHER
1980,WORKERS WORLD,2,OTHER
1980,REPUBLICAN,403164,REPUBLICAN
1980,DEMOCRAT,398041,DEMOCRAT
1980,INDEPENDENT,22468,OTHER
1980,LIBERTARIAN,8970,OTHER
1980,CITIZENS,2345,OTHER
1980,STATESMAN,1350,OTHER
1980,COMMUNIST PARTY USE,1244,OTHER
1980,REPUBLICAN,4522994,REPUBLICAN
1980,DEMOCRAT,3082943,DEMOCRAT
1980,INDEPENDENT,739618,OTHER
1980,LIBERTARIAN,148390,OTHER
1980,CITIZENS,61046,OTHER
1980,PEACE & FREEDOM,18106,OTHER
1980,AMERICAN INDEPENDENT PARTY,9841,OTHER
1980,REPUBLICAN,652264,REPUBLICAN
1980,DEMOCRAT,368009,DEMOCRAT
1980,NATIONAL UNITY CAMPAIGN,130633,OTHER
1980,LIBERTARIAN,25744,OTHER
1980,CITIZENS,5614,OTHER
1980,STATESMAN,1180,OTHER
1980,SOCIALIST WORKERS,519,OTHER
1980,COMMUNIST PARTY USE,487,OTHER
1980,REPUBLICAN,677210,REPUBLICAN
1980,DEMOCRAT,541732,DEMOCRAT
1980,ANDERSON COALITION,171807,OTHER
1980,LIBERTARIAN,8570,OTHER
1980,CITIZENS,6130,OTHER
1980,,836,OTHER
1980,REPUBLICAN,111252,REPUBLICAN
1980,DEMOCRAT,105754,DEMOCRAT
1980,INDEPENDENT,16288,OTHER
1980,LIBERTARIAN,1974,OTHER
1980,AMERICAN,400,OTHER
1980,DEMOCRAT,130231,DEMOCRAT
1980,REPUBLICAN,23313,REPUBLICAN
1980,INDEPENDENT,16131,OTHER
1980,CITIZENS,1826,OTHER
1980,LIBERTARIAN,1104,OTHER
1980,,690,OTHER
1980,COMMUNIST PARTY USE,369,OTHER
1980,SOCIALIST WORKERS,173,OTHER
1980,WORKERS WORLD,52,OTHER
1980,REPUBLICAN,2046951,REPUBLICAN
1980,DEMOCRAT,1419475,DEMOCRAT
1980,INDEPENDENT,189692,OTHER
1980,LIBERTARIAN,30524,OTHER
1980,,285,OTHER
1980,DEMOCRAT,890955,DEMOCRAT
1980,REPUBLICAN,654168,REPUBLICAN
1980,INDEPENDENT,36055,OTHER
1980,LIBERTARIAN,15627,OTHER
1980,DEMOCRAT,135879,DEMOCRAT
1980,REPUBLICAN,130112,REPUBLICAN
1980,INDEPENDENT,32021,OTHER
1980,LIBERTARIAN,3269,OTHER
1980,CITIZENS,1548,OTHER
1980,COMMUNIST PARTY USE,458,OTHER
1980,REPUBLICAN,290699,REPUBLICAN
1980,DEMOCRAT,110192,DEMOCRAT
1980,INDEPENDENT,27058,OTHER
1980,LIBERTARIAN,8425,OTHER
1980,AMERICAN INDEPENDENT PARTY,1057,OTHER
1980,REPUBLICAN,2358049,REPUBLICAN
1980,DEMOCRAT,1981413,DEMOCRAT
1980,INDEPENDENT,346754,OTHER
1980,LIBERTARIAN,38939,OTHER
1980,CITIZENS,10692,OTHER
1980,COMMUNIST PARTY USE,9711,OTHER
1980,WORKERS WORLD,2257,OTHER
1980,SOCIALIST WORKERS,1302,OTHER
1980,,604,OTHER
1980,REPUBLICAN,1255656,REPUBLICAN
1980,DEMOCRAT,844197,DEMOCRAT
1980,INDEPENDENT,111639,OTHER
1980,LIBERTARIAN,19627,OTHER
1980,CITIZENS,4852,OTHER
1980,AMERICAN,4750,OTHER
1980,COMMUNIST PARTY USE,702,OTHER
1980,SOCIALIST WORKERS,610,OTHER
1980,REPUBLICAN,676026,REPUBLICAN
1980,DEMOCRAT,508672,DEMOCRAT
1980,NOMINATED BY PETITION,115633,OTHER
1980,LIBERTARIAN,13123,OTHER
1980,CITIZENS,2273,OTHER
1980,SOCIALIST,534,OTHER
1980,,519,OTHER
1980,COMMUNIST PARTY USE,298,OTHER
1980,SOCIALIST WORKERS,244,OTHER
1980,AMERICAN,189,OTHER
1980,STATESMAN,150,OTHER
1980,REPUBLICAN,566812,REPUBLICAN
1980,DEMOCRAT,326150,DEMOCRAT
1980,INDEPENDENT,68231,OTHER
1980,LIBERTARIAN,14470,OTHER
1980,AMERICAN,1555,OTHER
1980,COMMUNIST PARTY USE,967,OTHER
1980,STATESMAN,821,OTHER
1980,AMERICAN INDEPENDENT PARTY,789,OTHER
1980,REPUBLICAN,635274,REPUBLICAN
1980,DEMOCRAT,617417,DEMOCRAT
1980,INDEPENDENT,31127,OTHER
1980,LIBERTARIAN,5531,OTHER
1980,RESPECT FOR LIFE,4233,OTHER
1980,CITIZENS,1304,OTHER
1980,SOCIALIST WORKERS,393,OTHER
1980,COMMUNIST PARTY USE,348,OTHER
1980,REPUBLICAN,792853,REPUBLICAN
1980,DEMOCRAT,708453,DEMOCRAT
1980,INDEPENDENT,26345,OTHER
1980,AMERICAN INDEPENDENT PARTY,10333,OTHER
1980,LIBERTARIAN,8240,OTHER
1980,CITIZENS,1584,OTHER
1980,SOCIALIST WORKERS,783,OTHER
1980,REPUBLICAN,238522,REPUBLICAN
1980,DEMOCRAT,220974,DEMOCRAT
1980,INDEPENDENT,53327,OTHER
1980,LIBERTARIAN,5119,OTHER
1980,CITIZENS,4394,OTHER
1980,COMMUNIST PARTY USE,591,OTHER
1980,,84,OTHER
1980,DEMOCRAT,726161,DEMOCRAT
1980,REPUBLICAN,680606,REPUBLICAN
1980,INDEPENDENT,119537,OTHER
1980,LIBERTARIAN,14192,OTHER
1980,REPUBLICAN,1057631,REPUBLICAN
1980,DEMOCRAT,1053802,DEMOCRAT
1980,INDEPENDENT,382539,OTHER
1980,LIBERTARIAN,22038,OTHER
1980,SOCIALIST WORKERS,3735,OTHER
1980,,2289,OTHER
1980,CITIZENS,2056,OTHER
1980,REPUBLICAN,1915225,REPUBLICAN
1980,DEMOCRAT,1661532,DEMOCRAT
1980,INDEPENDENT,275223,OTHER
1980,LIBERTARIAN,41597,OTHER
1980,CITIZENS,11930,OTHER
1980,COMMUNIST PARTY USE,3262,OTHER
1980,,956,OTHER
1980,DEMOCRAT,954173,DEMOCRAT
1980,REPUBLICAN,873268,REPUBLICAN
1980,INDEPENDENT,174997,OTHER
1980,LIBERTARIAN,31593,OTHER
1980,CITIZENS,8406,OTHER
1980,AMERICAN,6136,OTHER
1980,COMMUNIST PARTY USE,1117,OTHER
1980,SOCIALIST WORKERS,711,OTHER
1980,WORKERS WORLD,698,OTHER
1980,SOCIALIST,536,OTHER
1980,,281,OTHER
1980,REPUBLICAN,441089,REPUBLICAN
1980,DEMOCRAT,429281,DEMOCRAT
1980,INDEPENDENT,12036,OTHER
1980,LIBERTARIAN,4702,OTHER
1980,WORKERS WORLD,2402,OTHER
1980,SOCIALIST WORKERS,2240,OTHER
1980,REPUBLICAN,1074181,REPUBLICAN
1980,DEMOCRAT,931182,DEMOCRAT
1980,INDEPENDENT,77920,OTHER
1980,LIBERTARIAN,14422,OTHER
1980,SOCIALIST WORKERS,1515,OTHER
1980,,604,OTHER
1980,REPUBLICAN,206814,REPUBLICAN
1980,DEMOCRAT,118032,DEMOCRAT
1980,INDEPENDENT,29281,OTHER
1980,LIBERTARIAN,9825,OTHER
1980,REPUBLICAN,419214,REPUBLICAN
1980,DEMOCRAT,166424,DEMOCRAT
1980,INDEPENDENT,44854,OTHER
1980,LIBERTARIAN,9041,OTHER
1980,REPUBLICAN,155017,REPUBLICAN
1980,DEMOCRAT,66666,DEMOCRAT
1980,INDEPENDENT,17651,OTHER
1980,LIBERTARIAN,4358,OTHER
1980,REPUBLICAN,221705,REPUBLICAN
1980,DEMOCRAT,108864,DEMOCRAT
1980,INDEPENDENT,49693,OTHER
1980,LIBERTARIAN,2064,OTHER
1980,CITIZENS,1320,OTHER
1980,COMMUNIST PARTY USE,129,OTHER
1980,WORKERS WORLD,76,OTHER
1980,SOCIALIST WORKERS,71,OTHER
1980,,68,OTHER
1980,REPUBLICAN,1546557,REPUBLICAN
1980,DEMOCRAT,1147364,DEMOCRAT
1980,INDEPENDENT,234632,OTHER
1980,LIBERTARIAN,20652,OTHER
1980,CITIZENS,8203,OTHER
1980,RIGHT-TO-LIFE,3927,OTHER
1980,MIDDLE CLASS CANDIDATE,3694,OTHER
1980,COMMUNIST PARTY USE,2555,OTHER
1980,SOCIALIST WORKERS,2198,OTHER
1980,SOCIALIST,1973,OTHER
1980,DOWN WITH LAWYERS,1718,OTHER
1980,WORKERS WORLD,1288,OTHER
1980,INDEPENDENT,923,OTHER
1980,REPUBLICAN,250779,REPUBLICAN
1980,DEMOCRAT,167826,DEMOCRAT
1980,INDEPENDENT,29459,OTHER
1980,LIBERTARIAN,4365,OTHER
1980,CITIZENS,2202,OTHER
1980,STATESMAN,1281,OTHER
1980,SOCIALIST WORKERS,325,OTHER
1980,DEMOCRAT,2728372,DEMOCRAT
1980,REPUBLICAN,2637700,REPUBLICAN
1980,LIBERAL PARTY,467801,OTHER
1980,CONSERVATIVE,256131,OTHER
1980,FREE LIBERTARIAN,52648,OTHER
1980,RIGHT-TO-LIFE,24159,OTHER
1980,CITIZENS,23186,OTHER
1980,COMMUNIST PARTY USE,7414,OTHER
1980,SOCIALIST WORKERS,2068,OTHER
1980,WORKERS WORLD,1416,OTHER
1980,,1064,OTHER
1980,REPUBLICAN,915018,REPUBLICAN
1980,DEMOCRAT,875635,DEMOCRAT
1980,INDEPENDENT,52800,OTHER
1980,LIBERTARIAN,9677,OTHER
1980,CITIZENS,2287,OTHER
1980,SOCIALIST WORKERS,416,OTHER
1980,REPUBLICAN,193695,REPUBLICAN
1980,DEMOCRAT,79189,DEMOCRAT
1980,INDEPENDENT,23640,OTHER
1980,LIBERTARIAN,3743,OTHER
1980,NATURAL PEOPLE'S LEAGUE,296,OTHER
1980,AMERICAN,235,OTHER
1980,COMMUNIST PARTY USE,93,OTHER
1980,SOCIALIST WORKERS,89,OTHER
1980,SOCIALIST,82,OTHER
1980,STATESMAN,54,OTHER
1980,REPUBLICAN,2206545,REPUBLICAN
1980,DEMOCRAT,1752414,DEMOCRAT
1980,INDEPENDENT,254472,OTHER
1980,LIBERTARIAN,49033,OTHER
1980,CITIZENS,8564,OTHER
1980,COMMUNIST PARTY USE,4729,OTHER
1980,SOCIALIST WORKERS,4029,OTHER
1980,WORKERS WORLD,3790,OTHER
1980,STATESMAN,27,OTHER
1980,REPUBLICAN,695570,REPUBLICAN
1980,DEMOCRAT,402026,DEMOCRAT
1980,INDEPENDENT,38284,OTHER
1980,LIBERTARIAN,13828,OTHER
1980,REPUBLICAN,571044,REPUBLICAN
1980,DEMOCRAT,456890,DEMOCRAT
1980,INDEPENDENT,112389,OTHER
1980,LIBERTARIAN,25838,OTHER
1980,CITIZENS,13642,OTHER
1980,,1713,OTHER
1980,REPUBLICAN,2261872,REPUBLICAN
1980,DEMOCRAT,1937540,DEMOCRAT
1980,INDEPENDENT,292921,OTHER
1980,LIBERTARIAN,33263,OTHER
1980,SOCIALIST WORKERS,20291,OTHER
1980,CITIZENS,10430,OTHER
1980,COMMUNIST PARTY USE,5184,OTHER
1980,DEMOCRAT,198342,DEMOCRAT
1980,REPUBLICAN,154793,REPUBLICAN
1980,INDEPENDENT,59819,OTHER
1980,LIBERTARIAN,2458,OTHER
1980,COMMUNIST PARTY USE,218,OTHER
1980,SOCIALIST,170,OTHER
1980,SOCIALIST WORKERS,90,OTHER
1980,WORKERS WORLD,77,OTHER
1980,REPUBLICAN,439277,REPUBLICAN
1980,DEMOCRAT,428220,DEMOCRAT
1980,INDEPENDENT,13868,OTHER
1980,LIBERTARIAN,4807,OTHER
1980,AMERICAN INDEPENDENT PARTY,2086,OTHER
1980,REPUBLICAN,198343,REPUBLICAN
1980,DEMOCRAT,103855,DEMOCRAT
1980,INDEPENDENT,21431,OTHER
1980,LIBERTARIAN,3824,OTHER
1980,SOCIALIST WORKERS,250,OTHER
1980,REPUBLICAN,787761,REPUBLICAN
1980,DEMOCRAT,783051,DEMOCRAT
1980,INDEPENDENT,35991,OTHER
1980,LIBERTARIAN,7116,OTHER
1980,CITIZENS,1112,OTHER
1980,STATESMAN,521,OTHER
1980,SOCIALIST,519,OTHER
1980,COMMUNIST PARTY USE,503,OTHER
1980,SOCIALIST WORKERS,490,OTHER
1980,WORKERS WORLD,400,OTHER
1980,,152,OTHER
1980,REPUBLICAN,2510705,REPUBLICAN
1980,DEMOCRAT,1881147,DEMOCRAT
1980,INDEPENDENT,111613,OTHER
1980,LIBERTARIAN,37643,OTHER
1980,,528,OTHER
