source,target,rank,gender
0,24,Full,M
0,25,Asst,M
0,25,Assoc,F
0,25,Full,M
0,26,Full,M
0,26,Full,M
0,27,Asst,M
0,27,Assoc,M
0,27,Assoc,M
0,28,Asst,F
0,28,Assoc,M
0,29,Assoc,M
0,30,Asst,M
0,30,Full,M
0,31,Full,M
0,32,Full,M
0,33,Full,M
0,33,Full,M
0,34,Assoc,M
0,35,Assoc,M
0,35,Assoc,M
0,35,Assoc,M
0,35,Assoc,M
0,35,Assoc,F
0,35,Full,M
0,35,Full,M
0,35,Full,M
0,36,Full,M
0,37,Asst,M
0,38,Assoc,M
0,39,Asst,M
0,40,Full,M
0,41,Asst,F
0,42,Full,M
0,43,Asst,F
0,43,Asst,M
0,44,Full,M
0,45,Asst,F
0,46,Full,M
0,47,Assoc,M
0,47,Full,M
0,47,Full,M
0,47,Full,M
0,47,Full,M
0,47,Full,M
0,48,Assoc,M
0,49,Assoc,M
0,50,Assoc,F
0,51,Full,M
0,52,Full,M
0,53,Full,M
0,54,Assoc,F
0,55,Assoc,M
0,56,Asst,M
0,57,Full,M
0,58,Full,M
0,59,Full,M
0,60,Assoc,M
0,61,Assoc,M
0,62,Assoc,F
0,63,Asst,M
0,63,Assoc,M
0,63,Full,M
0,64,Full,M
0,64,Full,M
0,65,Full,M
0,66,Full,M
0,67,Assoc,M
0,68,Full,M
0,69,Full,F
0,70,Assoc,M
0,71,Full,M
0,72,Assoc,M
1,0,Asst,M
1,0,Asst,M
1,0,Asst,M
1,0,Assoc,M
1,0,Assoc,M
1,0,Assoc,M
1,0,Full,M
1,0,Full,F
1,1,Assoc,F
1,1,Assoc,M
1,1,Full,M
1,1,Full,M
1,1,Full,M
1,1,Full,M
1,1,Full,M
1,2,Asst,M
1,2,Asst,M
1,2,Assoc,M
1,2,Assoc,M
1,2,Full,M
1,2,Full,M
1,2,Full,F
1,2,Full,M
1,2,Full,F
1,2,Full,M
1,2,Full,M
1,2,Full,M
1,73,Full,M
1,73,Full,M
1,3,Full,F
1,3,Full,M
1,3,Full,F
1,4,Asst,M
1,4,Asst,M
1,4,Assoc,M
1,4,Full,M
1,4,Full,M
1,5,Asst,M
1,5,Assoc,M
1,5,Assoc,M
1,5,Assoc,M
1,5,Assoc,F
1,5,Assoc,M
1,5,Assoc,M
1,5,Assoc,M
1,5,Assoc,M
1,5,Full,M
1,5,Full,M
1,5,Full,M
1,5,Full,M
1,5,Full,M
1,5,Full,M
1,6,Assoc,M
1,6,Full,M
1,6,Full,M
1,7,Full,M
1,8,Assoc,M
1,8,Assoc,M
1,8,Assoc,M
1,8,Full,M
1,8,Full,F
1,8,Full,M
1,8,Full,M
1,9,Asst,M
1,9,Asst,M
1,9,Assoc,M
1,9,Full,M
1,10,Asst,M
1,10,Full,F
1,10,Full,M
1,10,Full,M
1,10,Full,M
1,10,Full,M
1,10,Full,M
1,11,Asst,M
1,11,Assoc,M
1,11,Full,M
1,13,Assoc,M
1,13,Full,M
1,13,Full,M
1,13,Full,M
1,14,Asst,M
1,14,Assoc,M
1,16,Full,M
1,16,Full,M
1,16,Full,F
1,16,Full,M
1,74,Asst,M
1,74,Full,M
1,17,Assoc,M
1,17,Assoc,M
1,17,Full,M
1,18,Full,F
1,19,Assoc,M
1,20,Full,M
1,20,Full,M
1,22,Asst,F
1,22,Asst,M
1,22,Full,M
1,23,Asst,F
1,23,Assoc,M
1,23,Assoc,M
1,23,Full,M
1,23,Full,M
1,23,Full,M
1,23,Full,M
1,23,Full,M
1,23,Full,M
1,24,Asst,M
1,24,Assoc,M
1,25,Asst,M
1,25,Assoc,F
1,25,Full,M
1,25,Full,M
1,25,Full,M
1,26,Asst,M
1,26,Assoc,M
1,26,Full,F
1,26,Full,M
1,27,Assoc,M
1,27,Assoc,M
1,28,Asst,M
1,28,Asst,F
1,28,Asst,M
1,28,Full,M
1,29,Asst,M
1,29,Asst,M
1,29,Full,M
1,29,Full,F
1,29,Full,M
1,75,Asst,M
1,75,Asst,M
1,31,Full,M
1,31,Full,M
1,31,Full,M
1,32,Asst,M
1,32,Asst,M
1,32,Full,M
1,32,Full,F
1,32,Full,M
1,32,Full,M
1,33,Assoc,M
1,76,Assoc,M
1,77,Assoc,M
1,77,Full,M
1,78,Assoc,M
1,34,Assoc,M
1,79,Asst,M
1,79,Full,M
1,80,Assoc,M
1,35,Assoc,M
1,35,Assoc,M
1,35,Full,M
1,35,Full,M
1,36,Assoc,M
1,36,Full,M
1,37,Asst,M
1,81,Assoc,M
1,81,Full,F
1,81,Full,M
1,81,Full,M
1,81,Full,M
1,82,Assoc,M
1,82,Full,F
1,83,Full,M
1,83,Full,M
1,84,Asst,M
1,84,Assoc,M
1,84,Full,M
1,84,Full,M
1,84,Full,M
1,39,Asst,M
1,39,Assoc,M
1,39,Full,M
1,45,Assoc,M
1,46,Full,M
1,47,Full,M
1,85,Full,M
1,48,Full,M
1,86,Asst,M
1,54,Full,F
1,87,Assoc,M
1,88,Asst,F
1,88,Asst,M
1,89,Assoc,M
1,90,Assoc,M
1,90,Full,M
1,91,Assoc,M
1,92,Full,M
1,93,Full,M
1,94,Full,M
1,95,Full,M
1,95,Full,M
1,96,Asst,M
1,97,Full,M
1,98,Full,F
1,99,Assoc,F
1,100,Full,M
1,100,Full,M
1,101,Full,M
1,101,Full,M
1,102,Full,M
1,103,Assoc,M
1,104,Full,M
2,0,Asst,M
2,0,Assoc,M
2,0,Assoc,M
2,0,Assoc,M
2,0,Assoc,M
2,0,Full,M
2,0,Full,M
2,0,Full,M
2,1,Assoc,M
2,1,Full,M
2,1,Full,M
2,1,Full,M
2,1,Full,M
2,1,Full,F
2,1,Full,M
2,1,Full,M
2,2,Assoc,F
2,2,Assoc,F
2,2,Assoc,M
2,2,Assoc,M
2,2,Assoc,M
2,2,Assoc,M
2,2,Assoc,M
2,2,Assoc,F
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,F
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,M
2,2,Full,F
2,73,Asst,F
2,73,Full,M
2,73,Full,M
2,73,Full,M
2,3,Assoc,F
2,3,Full,M
2,4,Asst,M
2,4,Asst,M
2,4,Asst,M
2,4,Assoc,F
2,4,Full,M
2,4,Full,M
2,4,Full,M
2,4,Full,M
2,5,Assoc,M
2,5,Assoc,M
2,5,Assoc,M
2,5,Assoc,M
2,5,Assoc,M
2,5,Assoc,F
2,5,Full,M
2,5,Full,M
2,5,Full,F
2,5,Full,M
2,5,Full,M
2,5,Full,M
2,5,Full,M
2,5,Full,M
2,5,Full,M
2,5,Full,M
2,5,Full,F
2,6,Full,F
2,6,Full,M
2,6,Full,F
2,7,Asst,M
2,7,Asst,M
2,7,Assoc,M
2,7,Full,M
2,7,Full,M
2,8,Asst,F
2,8,Asst,M
2,8,Assoc,F
2,8,Assoc,M
2,8,Assoc,M
2,8,Assoc,M
2,8,Full,M
2,9,Asst,M
2,9,Assoc,F
2,9,Assoc,M
2,10,Asst,M
2,10,Asst,M
2,11,Assoc,M
2,11,Full,M
2,11,Full,M
2,12,Asst,M
2,12,Assoc,M
2,13,Assoc,M
2,13,Full,F
2,13,Full,M
2,13,Full,M
2,13,Full,M
2,13,Full,M
2,13,Full,M
2,14,Asst,F
2,14,Assoc,M
2,15,Assoc,M
2,15,Full,M
2,15,Full,M
2,15,Full,M
2,15,Full,M
2,16,Asst,F
2,16,Asst,M
2,16,Assoc,M
2,16,Assoc,M
2,16,Full,M
2,16,Full,M
2,16,Full,M
2,74,Asst,M
2,74,Asst,M
2,74,Assoc,F
2,74,Full,M
2,74,Full,M
2,74,Full,M
2,74,Full,M
2,74,Full,M
2,17,Assoc,M
2,17,Assoc,F
2,17,Full,M
2,17,Full,M
2,18,Asst,M
2,18,Assoc,M
2,18,Full,M
2,18,Full,M
2,19,Assoc,F
2,19,Full,M
2,20,Full,M
2,20,Full,F
2,20,Full,M
2,21,Asst,F
2,22,Asst,M
2,22,Assoc,M
2,22,Assoc,M
2,22,Full,M
2,22,Full,M
2,22,Full,F
2,23,Asst,M
2,23,Assoc,M
2,23,Full,M
2,23,Full,M
2,23,Full,F
2,23,Full,M
2,23,Full,M
2,23,Full,M
2,24,Asst,M
2,24,Full,M
2,24,Full,M
2,25,Asst,M
2,25,Asst,M
2,25,Asst,M
2,25,Full,M
2,25,Full,M
2,25,Full,M
2,25,Full,M
2,25,Full,M
2,27,Asst,F
2,27,Assoc,M
2,27,Full,M
2,27,Full,M
2,28,Full,M
2,29,Asst,M
2,29,Assoc,M
2,29,Assoc,M
2,29,Full,M
2,30,Asst,M
2,30,Full,M
2,75,Asst,M
2,75,Assoc,M
2,105,Asst,M
2,105,Full,M
2,105,Full,M
2,32,Asst,M
2,32,Asst,M
2,32,Asst,M
2,32,Asst,F
2,32,Assoc,F
2,32,Assoc,M
2,32,Assoc,M
2,32,Full,M
2,32,Full,M
2,32,Full,M
2,76,Assoc,M
2,77,Asst,F
2,77,Assoc,M
2,77,Assoc,M
2,78,Asst,M
2,78,Assoc,M
2,34,Asst,F
2,34,Assoc,M
2,34,Assoc,M
2,34,Full,M
2,34,Full,M
2,34,Full,M
2,106,Asst,F
2,106,Full,M
2,106,Full,M
2,79,Assoc,M
2,80,Assoc,M
2,80,Full,F
2,80,Full,M
2,80,Full,M
2,80,Full,M
2,80,Full,M
2,35,Asst,M
2,35,Full,F
2,35,Full,M
2,107,Full,M
2,36,Full,M
2,36,Full,M
2,37,Full,M
2,81,Assoc,F
2,81,Full,M
2,82,Asst,F
2,82,Asst,F
2,82,Full,F
2,84,Assoc,M
2,39,Full,F
2,39,Full,M
2,40,Assoc,M
2,40,Full,M
2,108,Full,M
2,41,Assoc,M
2,46,Full,M
2,85,Asst,M
2,85,Assoc,F
2,49,Asst,M
2,49,Full,M
2,109,Full,M
2,50,Full,M
2,86,Asst,F
2,54,Assoc,M
2,87,Assoc,M
2,87,Full,M
2,91,Assoc,M
2,110,Full,M
2,60,Full,M
2,92,Asst,M
2,92,Full,M
2,111,Assoc,M
2,111,Full,M
2,63,Asst,F
2,63,Asst,M
2,63,Full,M
2,63,Full,M
2,63,Full,M
2,112,Full,M
2,112,Full,F
2,96,Asst,F
2,96,Asst,M
2,96,Assoc,M
2,96,Full,M
2,113,Asst,M
2,114,Assoc,M
2,115,Full,F
2,115,Full,M
2,98,Assoc,M
2,98,Full,M
2,116,Full,M
2,117,Asst,M
2,117,Assoc,M
2,117,Full,M
2,68,Asst,M
2,68,Assoc,M
2,68,Full,M
2,68,Full,M
2,118,Full,M
2,119,Assoc,M
2,69,Assoc,F
2,69,Full,F
2,120,Asst,F
2,120,Assoc,M
2,120,Assoc,M
2,121,Assoc,M
2,121,Full,F
2,122,Full,M
2,123,Asst,M
2,123,Assoc,M
2,123,Assoc,M
2,123,Assoc,M
2,123,Assoc,M
2,123,Full,M
2,123,Full,F
2,123,Full,M
2,124,Assoc,M
2,125,Full,M
2,103,Assoc,M
2,126,Full,M
3,0,Assoc,M
3,0,Full,M
3,1,Full,M
3,1,Full,M
3,2,Full,M
3,2,Full,M
3,2,Full,M
3,3,Full,M
3,3,Full,M
3,4,Full,M
3,4,Full,F
3,5,Assoc,M
3,5,Full,F
3,5,Full,M
3,5,Full,M
3,6,Full,M
3,7,Full,M
3,7,Full,M
3,9,Full,M
3,11,Full,M
3,13,Full,M
3,14,Full,M
3,14,Full,M
3,16,Full,M
3,17,Assoc,M
3,17,Full,M
3,18,Full,M
3,18,Full,M
3,24,Full,M
3,24,Full,M
3,24,Full,M
3,26,Full,M
3,26,Full,M
3,27,Full,M
3,27,Full,M
3,28,Assoc,M
3,28,Assoc,M
3,30,Full,M
3,75,Asst,F
3,32,Assoc,F
3,33,Asst,M
3,33,Full,M
3,106,Full,M
3,79,Assoc,F
3,80,Full,M
3,107,Full,F
3,81,Full,M
3,45,Asst,F
3,46,Full,M
3,85,Full,M
3,131,Asst,M
3,88,Assoc,F
3,91,Full,M
3,110,Full,M
3,92,Assoc,M
3,63,Asst,F
3,64,Assoc,M
3,97,Asst,F
3,67,Full,M
3,132,Full,M
3,132,Full,F
3,69,Assoc,M
3,121,Assoc,F
3,72,Asst,M
3,123,Asst,M
3,123,Assoc,M
3,123,Full,M
3,103,Assoc,M
4,0,Asst,M
4,0,Full,M
4,0,Full,F
4,2,Full,F
4,3,Asst,M
4,4,Assoc,M
4,4,Full,M
4,4,Full,M
4,5,Assoc,M
4,5,Full,M
4,5,Full,M
4,6,Assoc,M
4,7,Full,F
4,7,Full,F
4,8,Assoc,M
4,9,Assoc,M
4,9,Full,M
4,10,Full,M
4,10,Full,F
4,10,Full,M
4,11,Assoc,F
4,11,Assoc,M
4,11,Full,M
4,12,Full,M
4,14,Full,M
4,15,Assoc,F
4,15,Full,M
4,15,Full,M
4,15,Full,M
4,15,Full,M
4,16,Assoc,F
4,16,Assoc,M
4,16,Full,M
4,16,Full,M
4,18,Full,M
4,19,Asst,M
4,19,Asst,M
4,19,Full,M
4,20,Assoc,M
4,21,Full,M
4,22,Full,M
4,22,Full,M
4,23,Full,M
4,24,Full,M
4,24,Full,M
4,24,Full,M
4,24,Full,M
4,25,Full,M
4,26,Full,M
4,26,Full,M
4,28,Asst,F
4,28,Full,F
4,28,Full,M
4,30,Assoc,F
4,30,Assoc,M
4,30,Full,M
4,105,Full,M
4,105,Full,M
4,31,Assoc,M
4,32,Full,M
4,32,Full,M
4,32,Full,F
4,77,Asst,M
4,77,Asst,F
4,35,Full,M
4,36,Full,M
4,84,Asst,M
4,84,Assoc,M
4,84,Full,M
4,84,Full,M
4,39,Asst,F
4,40,Full,F
4,133,Full,M
4,44,Full,M
4,45,Assoc,F
4,46,Full,M
4,85,Asst,M
4,85,Full,M
4,109,Full,M
4,134,Assoc,M
4,51,Full,M
4,86,Asst,M
4,55,Full,M
4,88,Asst,M
4,88,Full,M
4,128,Asst,M
4,135,Assoc,M
4,135,Assoc,F
4,136,Full,M
4,137,Full,M
4,137,Full,M
4,111,Full,M
4,62,Full,M
4,93,Assoc,M
4,63,Asst,M
4,63,Full,M
4,94,Full,M
4,112,Assoc,M
4,112,Full,M
4,64,Full,M
4,95,Asst,M
4,95,Assoc,M
4,138,Assoc,M
4,98,Assoc,M
4,139,Full,M
4,101,Assoc,M
4,118,Assoc,M
4,140,Assoc,M
4,130,Assoc,M
4,103,Full,M
4,141,Assoc,M
4,142,Asst,M
4,143,Full,M
5,0,Asst,M
5,0,Full,M
5,0,Full,M
5,0,Full,F
5,0,Full,M
5,1,Assoc,M
5,1,Assoc,M
5,1,Assoc,M
5,1,Full,M
5,1,Full,M
5,2,Assoc,M
5,2,Full,M
5,73,Asst,M
5,73,Asst,F
5,73,Asst,M
5,3,Full,M
5,3,Full,M
5,4,Assoc,F
5,5,Asst,F
5,5,Assoc,M
5,5,Assoc,F
5,5,Assoc,M
5,5,Assoc,M
5,5,Assoc,M
5,5,Full,M
5,5,Full,M
5,5,Full,F
5,5,Full,F
5,5,Full,M
5,5,Full,M
5,5,Full,M
5,5,Full,F
5,5,Full,M
5,5,Full,M
5,5,Full,M
5,5,Full,M
5,5,Full,M
5,5,Full,F
5,5,Full,M
5,5,Full,F
5,5,Full,M
5,6,Full,M
5,6,Full,M
5,7,Full,M
5,8,Asst,M
5,8,Full,M
5,8,Full,M
5,8,Full,M
5,8,Full,M
5,8,Full,M
5,9,Asst,M
5,9,Assoc,M
5,9,Full,M
5,10,Asst,M
5,10,Asst,F
5,10,Asst,M
5,10,Asst,M
5,10,Full,M
5,10,Full,M
5,11,Asst,F
5,11,Full,M
5,12,Assoc,M
5,13,Full,M
5,14,Full,M
5,15,Full,M
5,16,Asst,M
5,16,Assoc,M
5,74,Asst,M
5,17,Full,F
5,17,Full,M
5,17,Full,M
5,18,Asst,F
5,18,Asst,M
5,18,Asst,F
5,18,Assoc,M
5,18,Full,M
5,20,Asst,M
5,20,Asst,M
5,20,Full,M
5,20,Full,M
5,20,Full,M
5,20,Full,M
5,24,Assoc,M
5,25,Asst,M
5,25,Assoc,M
5,25,Assoc,M
5,25,Full,M
5,25,Full,M
5,27,Full,M
5,27,Full,M
5,30,Assoc,M
5,30,Full,M
5,75,Full,F
5,105,Asst,M
5,31,Assoc,M
5,31,Assoc,F
5,31,Full,M
5,32,Asst,F
5,32,Asst,M
5,32,Asst,M
5,32,Asst,M
5,32,Assoc,M
5,32,Assoc,M
5,32,Full,M
5,32,Full,M
5,32,Full,M
5,32,Full,M
5,76,Full,M
5,77,Assoc,M
5,78,Full,M
5,34,Asst,M
5,34,Assoc,M
5,106,Asst,F
5,106,Full,M
5,79,Full,M
5,80,Assoc,M
5,107,Full,M
5,144,Assoc,F
5,37,Assoc,M
5,82,Asst,M
5,82,Full,M
5,38,Assoc,M
5,84,Assoc,M
5,84,Assoc,F
5,40,Asst,M
5,40,Asst,M
5,40,Assoc,F
5,40,Assoc,F
5,42,Asst,M
5,42,Assoc,M
5,45,Assoc,M
5,45,Assoc,M
5,47,Assoc,M
5,49,Asst,F
5,109,Assoc,M
5,145,Full,M
5,53,Assoc,M
5,53,Full,F
5,56,Assoc,M
5,127,Asst,M
5,89,Asst,M
5,89,Full,M
5,57,Assoc,M
5,128,Asst,M
5,137,Assoc,M
5,137,Assoc,M
5,92,Assoc,F
5,92,Full,M
5,63,Assoc,M
5,63,Full,F
5,146,Full,M
5,147,Assoc,M
5,97,Assoc,M
5,66,Asst,M
5,66,Asst,M
5,66,Assoc,M
5,117,Asst,F
5,117,Assoc,M
5,119,Assoc,M
5,148,Assoc,M
5,123,Assoc,M
5,125,Full,M
5,103,Assoc,M
5,103,Assoc,M
5,149,Full,M
5,142,Assoc,M
6,0,Full,M
6,1,Full,M
6,2,Full,M
6,73,Full,M
6,3,Full,M
6,3,Full,M
6,3,Full,M
6,5,Full,M
6,6,Asst,F
6,6,Full,M
6,7,Full,M
6,8,Full,M
6,9,Asst,M
6,11,Assoc,M
6,11,Full,F
6,12,Assoc,M
6,14,Assoc,M
6,15,Full,M
6,16,Asst,M
6,16,Full,F
6,17,Full,M
6,17,Full,M
6,18,Full,M
6,20,Full,M
6,21,Asst,M
6,22,Assoc,M
6,23,Full,F
6,23,Full,M
6,24,Asst,M
6,25,Asst,M
6,25,Asst,M
6,25,Assoc,M
6,25,Full,M
6,29,Full,M
6,30,Assoc,M
6,75,Asst,M
6,75,Full,M
6,105,Assoc,M
6,31,Asst,M
6,33,Asst,M
6,33,Full,M
6,77,Assoc,M
6,34,Assoc,M
6,80,Asst,F
6,35,Full,M
6,36,Full,M
6,81,Asst,M
6,84,Assoc,M
6,39,Asst,F
6,41,Full,M
6,42,Full,M
6,43,Assoc,F
6,150,Asst,M
6,150,Full,M
6,150,Full,M
6,150,Full,M
6,51,Assoc,M
6,52,Full,M
6,86,Full,M
6,127,Assoc,M
6,89,Full,M
6,110,Assoc,M
6,151,Asst,M
6,61,Asst,M
6,93,Assoc,M
6,93,Full,M
6,112,Asst,M
6,112,Full,M
6,146,Assoc,M
6,152,Full,M
6,95,Full,M
6,96,Asst,M
6,98,Full,M
6,100,Assoc,M
6,153,Full,M
6,119,Assoc,M
6,69,Assoc,M
6,69,Full,F
6,140,Full,M
6,123,Asst,F
6,149,Full,M
6,154,Assoc,M
7,0,Full,M
7,5,Full,M
7,5,Full,M
7,5,Full,M
7,5,Full,M
7,6,Full,M
7,6,Full,M
7,9,Full,M
7,9,Full,M
7,11,Assoc,M
7,13,Full,M
7,14,Assoc,M
7,14,Full,M
7,14,Full,M
7,74,Full,M
7,22,Full,F
7,24,Full,M
7,29,Assoc,M
7,29,Full,M
7,30,Full,M
7,32,Assoc,M
7,32,Assoc,M
7,32,Full,F
7,33,Full,F
7,34,Assoc,M
7,34,Full,M
7,34,Full,M
7,107,Assoc,M
7,38,Full,M
7,39,Full,F
7,40,Full,M
7,44,Assoc,M
7,44,Assoc,M
7,85,Assoc,M
7,131,Assoc,M
7,53,Full,M
7,87,Assoc,M
7,91,Asst,M
7,61,Asst,M
7,93,Assoc,M
7,63,Full,M
7,94,Assoc,M
7,68,Assoc,M
7,102,Assoc,M
7,155,Assoc,M
7,156,Full,M
7,103,Full,M
8,1,Full,M
8,3,Asst,M
8,4,Assoc,M
8,4,Assoc,M
8,5,Asst,M
8,5,Assoc,M
8,6,Full,M
8,6,Full,M
8,8,Full,M
8,8,Full,F
8,9,Asst,M
8,10,Asst,M
8,10,Asst,M
8,10,Asst,M
8,10,Assoc,M
8,11,Assoc,M
8,13,Assoc,M
8,14,Asst,M
8,14,Assoc,M
8,16,Full,M
8,17,Asst,F
8,19,Asst,M
8,22,Asst,M
8,23,Asst,M
8,23,Assoc,M
8,23,Full,M
8,23,Full,M
8,23,Full,M
8,23,Full,M
8,24,Asst,M
8,25,Asst,M
8,26,Full,M
8,27,Full,M
8,75,Assoc,M
8,31,Full,M
8,32,Asst,F
8,32,Asst,M
8,32,Assoc,M
8,32,Full,M
8,33,Assoc,M
8,77,Full,M
8,34,Asst,M
8,34,Asst,M
8,106,Assoc,M
8,106,Assoc,M
8,35,Asst,F
8,35,Assoc,M
8,35,Assoc,M
8,35,Full,F
8,35,Full,F
8,107,Asst,M
8,81,Full,M
8,82,Full,M
8,84,Assoc,M
8,84,Assoc,M
8,39,Full,M
8,40,Assoc,M
8,108,Full,M
8,41,Asst,M
8,85,Full,F
8,109,Assoc,M
8,50,Assoc,M
8,131,Asst,M
8,134,Full,F
8,56,Assoc,F
8,60,Asst,M
8,92,Asst,M
8,157,Full,M
8,158,Assoc,M
8,153,Full,F
8,69,Assoc,F
8,159,Assoc,M
8,71,Asst,M
8,160,Assoc,M
8,103,Asst,F
8,142,Full,M
9,1,Asst,M
9,4,Assoc,M
9,4,Full,M
9,6,Assoc,M
9,8,Asst,M
9,9,Full,M
9,9,Full,F
9,9,Full,M
9,10,Asst,F
9,10,Full,M
9,10,Full,M
9,13,Full,M
9,13,Full,M
9,13,Full,M
9,13,Full,M
9,13,Full,M
9,15,Full,M
9,15,Full,M
9,16,Full,M
9,74,Full,M
9,18,Asst,F
9,19,Assoc,M
9,23,Full,M
9,24,Assoc,M
9,25,Full,M
9,25,Full,M
9,25,Full,M
9,25,Full,M
9,25,Full,M
9,25,Full,M
9,26,Asst,F
9,28,Full,M
9,29,Asst,F
9,29,Full,M
9,29,Full,M
9,29,Full,F
9,30,Asst,M
9,75,Full,M
9,75,Full,M
9,105,Assoc,M
9,105,Full,M
9,105,Full,M
9,31,Full,M
9,32,Asst,M
9,32,Assoc,M
9,32,Full,M
9,33,Assoc,M
9,77,Full,F
9,78,Asst,M
9,78,Asst,M
9,78,Assoc,M
9,78,Assoc,M
9,34,Assoc,M
9,34,Full,M
9,34,Full,M
9,106,Assoc,M
9,106,Full,M
9,79,Asst,M
9,107,Full,M
9,36,Asst,M
9,36,Full,F
9,37,Full,M
9,82,Assoc,M
9,82,Assoc,M
9,82,Full,F
9,82,Full,M
9,82,Full,M
9,83,Assoc,M
9,83,Assoc,F
9,38,Full,F
9,38,Full,M
9,38,Full,M
9,39,Full,M
9,40,Asst,F
9,40,Assoc,M
9,45,Full,M
9,46,Assoc,F
9,85,Assoc,M
9,48,Full,M
9,49,Full,M
9,50,Asst,F
9,50,Assoc,F
9,50,Assoc,M
9,50,Full,F
9,131,Asst,M
9,131,Asst,F
9,131,Full,M
9,134,Full,F
9,134,Full,M
9,51,Full,M
9,52,Assoc,M
9,52,Full,M
9,53,Assoc,M
9,55,Assoc,M
9,55,Assoc,M
9,55,Full,M
9,87,Full,M
9,56,Assoc,M
9,127,Asst,M
9,127,Asst,F
9,88,Asst,M
9,88,Asst,M
9,88,Assoc,M
9,88,Assoc,M
9,88,Assoc,M
9,88,Full,M
9,89,Assoc,M
9,57,Assoc,M
9,128,Asst,M
9,161,Full,M
9,137,Full,F
9,59,Asst,M
9,110,Asst,M
9,92,Full,M
9,151,Assoc,M
9,61,Full,M
9,62,Assoc,M
9,162,Asst,M
9,162,Assoc,M
9,157,Full,M
9,163,Full,M
9,63,Asst,M
9,63,Assoc,F
9,63,Full,M
9,63,Full,M
9,94,Assoc,M
9,94,Assoc,F
9,94,Full,M
9,112,Full,M
9,64,Full,M
9,138,Asst,M
9,97,Full,M
9,113,Full,M
9,113,Full,M
9,114,Assoc,M
9,114,Full,M
9,115,Assoc,M
9,115,Full,M
9,98,Full,M
9,98,Full,M
9,164,Full,M
9,165,Full,M
9,153,Assoc,M
9,153,Assoc,M
9,153,Assoc,M
9,153,Full,M
9,153,Full,M
9,116,Asst,M
9,69,Assoc,M
9,140,Asst,M
9,166,Asst,M
9,148,Asst,M
9,130,Asst,M
9,167,Assoc,M
9,71,Full,M
9,122,Asst,M
9,168,Asst,M
9,168,Assoc,M
9,124,Assoc,M
9,124,Full,M
9,124,Full,M
9,126,Assoc,M
9,142,Full,M
9,154,Assoc,F
10,0,Full,M
10,1,Full,M
10,1,Full,M
10,4,Full,M
10,4,Full,M
10,5,Asst,F
10,8,Full,M
10,9,Asst,M
10,9,Assoc,M
10,9,Full,F
10,9,Full,M
10,9,Full,M
10,10,Full,M
10,11,Assoc,M
10,11,Assoc,M
10,11,Full,M
10,14,Full,M
10,18,Full,M
10,18,Full,F
10,19,Full,M
10,20,Assoc,M
10,20,Full,M
10,24,Asst,M
10,24,Full,M
10,25,Asst,M
10,25,Assoc,M
10,25,Full,M
