conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
217,China,Government of China,135,,Taiwanese insurgents,177,,1,Taiwan,1947,2,1,3,1947-02-28,1,1947-02-28,1,1,1947-03-24,,710,,,,710,3,23.1
219,Madagascar (Malagasy),Government of France,33,,MDRM,179,,1,Malagasy,1947,2,1,1,1947-03-29,1,1947-03-29,1,1,1947-12-31,,220,,,,580,4,23.1
220,Paraguay,Government of Paraguay,24,,"Opposition coalition (Febreristas, Liberals and Communists)",722,,2,,1947,2,1,3,1947-03-07,2,1947-03-31,3,1,1947-08-21,,150,,,,150,5,23.1
11884,Hyderabad,Government of Hyderabad,2,,CPI,178,,2,,1947,2,1,3,1947-06-30,4,1947-06-30,4,0,,,751,,,,751,3,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1948,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
202,China,Government of China,135,,PLA,161,,2,,1948,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,23.1
203,Greece,Government of Greece,52,,DSE,162,,2,,1948,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,23.1
204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1948,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1948,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1948,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1948,1,1,3,1944-12-31,6,1946-12-31,5,1,1948-12-31,,365,,,,365,1,23.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,1948,1,1,3,1946-06-30,4,1946-06-30,4,1,1948-12-31,,365,,,,365,1,23.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1948,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1948,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
218,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1948,2,1,2,1948-12-31,5,1948-12-31,5,1,1948-12-31,,750,,770,,"750, 770",3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, CPB-RF, PVO - ""White Band"" faction","182, 183, 184",,2,,1948,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1948,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
225,Costa Rica,Government of Costa Rica,15,,National Liberation Army,725,,2,,1948,2,1,3,1948-03-03,2,1948-03-03,2,1,1948-04-20,,94,,,,94,5,23.1
226,"Hyderabad, India",Government of Hyderabad,2,,Government of India,141,,1,Hyderabad,1948,2,1,2,1948-09-13,2,1948-09-13,2,1,1948-09-18,,751,,750,,"750, 751",3,23.1
227,India,Government of India,141,,CPI,178,,2,,1948,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,23.1
228,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",,Government of Israel,121,,1,Palestine,1948,2,1,2,1948-04-15,1,1948-04-15,1,0,,,"651,  645,  663,  660,  652",,666,,"645, 651, 652, 660, 663, 666",2,23.1
229,Malaysia,Government of United Kingdom,28,,CPM,196,,1,Malaya,1948,1,0,1,1948-06-19,1,1948-06-19,1,0,,,200,,,,820,3,23.1
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,,Opposition coalition,197,,2,,1948,2,1,3,1948-03-15,1,1948-03-15,3,1,1948-03-15,,678,,,,678,2,23.1
11884,Hyderabad,Government of Hyderabad,2,,CPI,178,,2,,1948,2,1,3,1947-06-30,4,1947-06-30,4,1,1948-09-18,,751,,,,751,3,23.1
200,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1949,1,1,3,1946-07-18,1,1949-09-15,3,1,1949-09-15,,145,,,,145,5,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1949,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
202,China,Government of China,135,,PLA,161,,2,,1949,2,1,3,1946-12-31,7,1946-12-31,7,1,1949-12-08,,710,,,,710,3,23.1
203,Greece,Government of Greece,52,,DSE,162,,2,,1949,2,1,3,1946-03-31,4,1946-03-31,4,1,1949-10-16,,350,,,,350,1,23.1
204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1949,1,0,1,1945-10-13,2,1946-12-31,5,1,1949-08-15,,210,,,,850,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1949,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1949,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1949,1,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1949,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1949,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, CPB-RF, PVO - ""White Band"" faction","182, 183, 184",,2,,1949,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1949,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MFL-MUF,188,,1,Mon,1949,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
227,India,Government of India,141,,CPI,178,,2,,1949,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,23.1
228,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",,Government of Israel,121,,1,Palestine,1949,1,1,2,1948-04-15,1,1948-04-15,1,1,1949-01-07,,"651,  645,  663,  660,  652",,666,,"645, 651, 652, 660, 663, 666",2,23.1
229,Malaysia,Government of United Kingdom,28,Government of New Zealand,CPM,196,,1,Malaya,1949,1,1,1,1948-06-19,1,1948-06-19,1,0,,,200,920,,,820,3,23.1
231,Myanmar (Burma),Government of Myanmar (Burma),144,,PNDF,200,,1,Kachin,1949,1,0,3,1949-12-31,6,1949-12-31,6,0,,,775,,,,775,3,23.1
232,"China, Taiwan",Government of China,135,,Government of Taiwan,137,,3,Taiwan strait,1949,2,1,2,1949-10-31,3,1949-10-31,3,0,,,710,,713,,"710, 713",3,23.1
233,Guatemala,Government of Guatemala,11,,Military faction (Guatemala),726,,2,,1949,1,0,3,1949-07-18,1,1949-07-18,1,1,1949-07-19,,90,,,,90,5,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1949,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
235,"North Korea, South Korea",Government of North Korea,138,,Government of South Korea,139,,1,Korea,1949,1,0,2,1949-05-31,3,1949-05-31,3,0,,,731,,732,,"731, 732",3,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1950,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1950,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1950,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1950,1,1,3,1941-12-31,5,1946-12-31,5,1,1950-12-31,,365,,,,365,1,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1950,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1950,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, CPB-RF, PVO - ""White Band"" faction","182, 183, 184",,2,,1950,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1950,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MFL-MUF,188,,1,Mon,1950,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
227,India,Government of India,141,,CPI,178,,2,,1950,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,23.1
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,,1,Malaya,1950,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,23.1
231,Myanmar (Burma),Government of Myanmar (Burma),144,,PNDF,200,,1,Kachin,1950,1,1,3,1949-12-31,6,1949-12-31,6,1,1950-05-05,,775,,,,775,3,23.1
232,"China, Taiwan",Government of China,135,,Government of Taiwan,137,,3,Taiwan strait,1950,1,1,2,1949-10-31,3,1949-10-31,3,1,1950-12-31,,710,,713,,"710, 713",3,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1950,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
235,"North Korea, South Korea",Government of North Korea,138,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,139,"Government of Australia, Government of Canada, Government of France, Government of Greece, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1950,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"365, 710",732,"2, 20, 200, 220, 350, 560, 640, 800, 840, 900, 920","731, 732",3,23.1
236,China,Government of China,135,,Tibet,213,,1,Tibet,1950,1,0,3,1950-10-07,1,1950-10-07,1,1,1950-10-09,,710,,,,710,3,23.1
237,Indonesia,Government of Indonesia,155,,Republic of South Moluccas,214,,1,South Moluccas,1950,2,1,3,1950-08-05,1,1950-08-05,1,1,1950-11-15,,850,,,,850,3,23.1
238,United States of America,Government of United States of America,3,,Puerto Rican Nationalist Party,733,,1,Puerto Rico,1950,1,0,1,1950-10-30,1,1950-10-30,1,1,1950-11-01,,2,,,,2,5,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1951,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1951,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1951,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1951,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1951,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, PVO - ""White Band"" faction","182, 184",,2,,1951,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1951,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MFL-MUF,188,,1,Mon,1951,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
227,India,Government of India,141,,CPI,178,,2,,1951,2,1,3,1948-05-01,1,1948-09-18,2,1,1951-12-31,,750,,,,750,3,23.1
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,,1,Malaya,1951,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1951,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
235,"North Korea, South Korea",Government of North Korea,138,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,139,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1951,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"365, 710",732,"100, 2, 20, 200, 210, 211, 212, 220, 350, 530, 560, 640, 800, 840, 900, 920","731, 732",3,23.1
239,"Egypt, United Kingdom",Government of Egypt,117,,Government of United Kingdom,28,,1,Suez,1951,1,0,2,1951-10-18,1,1951-10-18,1,0,,,651,,200,,"200, 651","1, 2",23.1
240,Thailand,Government of Thailand,147,,Military faction (navy),215,,2,,1951,1,0,3,1951-06-30,1,1951-06-30,1,1,1951-07-01,,800,,,,800,3,23.1
200,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1952,1,1,3,1946-07-18,1,1952-04-09,1,1,1952-04-12,,145,,,,145,5,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1952,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1952,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1952,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1952,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1952,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, PVO - ""White Band"" faction","182, 184",,2,,1952,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1952,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MPF,189,,1,Mon,1952,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,,1,Malaya,1952,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1952,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
235,"North Korea, South Korea",Government of North Korea,138,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,139,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1952,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"365, 710",732,"100, 2, 20, 200, 210, 211, 212, 220, 350, 530, 560, 640, 800, 840, 900, 920","731, 732",3,23.1
239,"Egypt, United Kingdom",Government of Egypt,117,,Government of United Kingdom,28,,1,Suez,1952,1,0,2,1951-10-18,1,1951-10-18,1,1,1952-12-31,,651,,200,,"200, 651","1, 2",23.1
241,Kenya,Government of United Kingdom,28,,Mau Mau,400,,1,Kenya,1952,1,0,1,1952-10-22,2,1952-10-22,2,0,,,200,,,,501,4,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1953,1,0,1,1946-08-31,3,1946-08-31,3,1,1953-11-09,,220,,,,811,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1953,1,1,1,1946-03-31,4,1946-03-31,4,1,1953-12-31,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1953,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1953,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1953,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,"CPB, PVO - ""White Band"" faction","182, 184",,2,,1953,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1953,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MPF,189,,1,Mon,1953,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,,1,Malaya,1953,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1953,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
235,"North Korea, South Korea",Government of North Korea,138,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,139,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1953,2,1,2,1949-05-31,3,1949-05-31,3,1,1953-07-27,,731,"365, 710",732,"100, 2, 20, 200, 210, 211, 212, 220, 350, 530, 560, 640, 800, 840, 900, 920","731, 732",3,23.1
241,Kenya,Government of United Kingdom,28,,Mau Mau,400,,1,Kenya,1953,2,1,1,1952-10-22,2,1952-10-22,2,0,,,200,,,,501,4,23.1
242,Cuba,Government of Cuba,5,,M-26-7,734,,2,,1953,1,0,3,1953-07-26,1,1953-07-26,1,1,1953-07-27,,40,,,,40,5,23.1
243,Indonesia,Government of Indonesia,155,,Darul Islam,217,,2,,1953,2,1,3,1953-12-31,5,1953-12-31,5,1,1953-12-31,,850,,,,850,3,23.1
244,Morocco,Government of France,33,,Istiqlal,401,,1,Morocco,1953,1,0,1,1953-11-07,1,1953-11-07,1,0,,,220,,,,600,4,23.1
245,Tunisia,Government of France,33,,National Liberation Army,402,,1,Tunisia,1953,1,0,1,1953-04-30,3,1953-04-30,3,0,,,220,,,,616,4,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1954,2,1,3,1946-07-31,4,1946-07-31,4,1,1954-12-31,,840,,,,840,3,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1954,2,1,1,1946-11-20,1,1946-11-20,1,1,1954-07-20,,220,,,,816,3,23.1
220,Paraguay,Government of Paraguay,24,,Military faction (forces of Alfredo Stroessner),723,,2,,1954,1,1,3,1947-03-07,2,1954-05-05,1,1,1954-05-05,,150,,,,150,5,23.1
221,Myanmar (Burma),Government of Myanmar (Burma),144,,KNUP,890,,1,Karen,1954,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,23.1
222,Myanmar (Burma),Government of Myanmar (Burma),144,,CPB,182,,2,,1954,1,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,23.1
223,Myanmar (Burma),Government of Myanmar (Burma),144,,"APLP, Mujahid Party","1050, 1065",,1,Arakan,1954,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,23.1
224,Myanmar (Burma),Government of Myanmar (Burma),144,,MPF,189,,1,Mon,1954,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,23.1
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,,1,Malaya,1954,1,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,23.1
232,"China, Taiwan",Government of China,135,,Government of Taiwan,137,Government of United States of America,3,Taiwan strait,1954,2,1,2,1949-10-31,3,1954-12-31,5,1,1954-12-31,,710,,713,2,"710, 713",3,23.1
233,Guatemala,Government of Guatemala,11,,Forces of Carlos Castillo Armas,727,,2,,1954,1,0,3,1949-07-18,1,1954-06-18,2,1,1954-06-27,,90,,,,90,5,23.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1954,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,23.1
241,Kenya,Government of United Kingdom,28,,Mau Mau,400,,1,Kenya,1954,2,1,1,1952-10-22,2,1952-10-22,2,0,,,200,,,,501,4,23.1
244,Morocco,Government of France,33,,Istiqlal,401,,1,Morocco,1954,1,0,1,1953-11-07,1,1953-11-07,1,0,,,220,,,,600,4,23.1
