Date,City,State,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,,
1/18/1993,Grayson,Kentucky,suburban,HS,2,,TRUE,Pah,,,
1/18/1993,Grayson,Kentucky,,HS,2,0,,Wikp,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[256]",,
1/21/1993,Los Angeles,California,urban,HS,1,,,Pah,,,
2/1/1993,Redmond,Washington,urban,MS,1,,,Pah,,,
2/1/1993,Amityville,New York,suburban,HS,1,,,Pah,,,
2/4/1993,Clayton County,Georgia,urban,HS,1,,,Pah,,,
2/8/1993,Middle River,Minnesota,rural,MS,1,,,Pah,,,
2/8/1993,Washington DC,District of Columbia,urban,HS,1,,,Pah,,,
2/18/1993,Dallas,Texas,urban,HS,1,,,Pah,,,
2/22/1993,Los Angeles,California,urban,HS,1,,TRUE,Pah,,,
2/22/1993,Los Angeles,California,,HS,1,0,,Wikp,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[257]",,
2/26/1993,Gloucester,Massachusetts,suburban,HS,0,,,Pah,,,
3/18/1993,Harlem,Georgia,suburban,HS,1,,,Pah,,,
3/25/1993,St. Louis,Missouri,urban,HS,1,,,Pah,,,
4/3/1993,Sacramento,California,urban,HS,1,,,Pah,,,
4/14/1993,Irving,Texas,urban,HS,1,,,Pah,,,
4/15/1993,Acushnet,Massachusetts,suburban,MS,1,,TRUE,Pah,,,
4/15/1993,Acushnet,Massachusetts,,MS,1,0,,Wikp,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[235],,
4/16/1993,Sacramento,California,urban,HS,1,,,Pah,,,
4/26/1993,Raleigh,North Carolina,urban,HS,1,,,Pah,,,
5/14/1993,Irving,Texas,,HS,1,0,,Wikp,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[258][259]",,
5/24/1993,Red Hill,Pennsylvania,rural,HS,1,,,Pah,,,
5/24/1993,Pennsburg,Pennsylvania,,HS,1,0,,Wikp,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[235][260],,
5/27/1993,New Orleans,Louisiana,urban,HS,1,,,Pah,,,
7/8/1993,Ogden,Utah,urban,C,1,,,Pah,,,
8/31/1993,Atlanta,Georgia,urban,HS,1,,,Pah,,,
9/2/1993,Dallas,Texas,urban,HS,1,,,Pah,,,
9/17/1993,Sheridan,Wyoming,,MS,1,4,,Wikp,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[261]",,
9/18/1993,Sheridan,Wyoming,suburban,MS,1,,TRUE,Pah,,,
10/12/1993,New Castle,Delaware,suburban,HS,1,,,Pah,,,
10/14/1993,Detroit,Michigan,urban,HS,1,,,Pah,,,
11/1/1993,Chicago,Illinois,urban,HS,1,,,Pah,,,
11/4/1993,Jacksonville,Florida,urban,HS,1,,,Pah,,,
11/4/1993,New Britain,Connecticut,urban,HS,1,,TRUE,Pah,,,
11/4/1993,New Britain,Connecticut,,HS,1,0,,Wikp,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School.[262]Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[263]",,
11/5/1993,Bay Springs,Mississippi,rural,HS,1,,,Pah,,,
11/29/1993,Kansas City,Missouri,urban,HS,1,,,Pah,,,
12/1/1993,Wauwatosa,Wisconsin,suburban,HS,1,,TRUE,Pah,,,
12/1/1993,Wauwatosa,Wisconsin,,HS,1,0,,Wikp,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.[264] McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[235] His sentence was upheld by the state Court of Appeals in April 1997.[265]",,
12/8/1993,Savannah,Georgia,urban,HS,1,,,Pah,,,
12/17/1993,Chelsea,Michigan,suburban,HS,1,,,Pah,,,
1/20/1994,Kennard,Texas,rural,HS,0,,,Pah,,,
1/20/1994,Hacienda Heights,California,urban,HS,1,,,Pah,,,
1/24/1994,Columbia,South Carolina,,HS,1,0,,Wikp,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[266]",,
1/26/1994,Columbia,South Carolina,urban,HS,1,,,Pah,,,
1/31/1994,Seattle,Washington,urban,MS,1,,TRUE,Pah,,,
1/31/1994,Seattle,Washington,,MS,1,0,,Wikp,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[267]",,
2/8/1994,Detroit,Michigan,urban,HS,1,,,Pah,,,
2/14/1994,Belmont,California,suburban,HS,1,,,Pah,,,
2/18/1994,Spartanburg,South Carolina,,HS,0,1,,Wikp,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[268]",,
3/1/1994,Boonville,Missouri,suburban,C,2,,TRUE,Pah,,,
3/1/1994,Boonville,Missouri,,HS,2,0,,Wikp,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[269]",,
3/15/1994,Charleston,South Carolina,urban,HS,1,,,Pah,,,
3/22/1994,Riveria Beach,Florida,urban,MS,0,,,Pah,,,
3/23/1994,Seattle,Washington,urban,HS,1,,,Pah,,,
3/25/1994,Woodstock,Georgia,suburban,HS,0,,,Pah,,,
4/12/1994,Butte,Montana,suburban,ES,1,,TRUE,Pah,,,
4/12/1994,Butte,Montana,,ES,1,0,,Wikp,"10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[235][259]",,
4/13/1994,Los Angeles,California,urban,ES,0,,,Pah,,,
4/21/1994,Nashville,Tennessee,urban,MS,1,,TRUE,Pah,,,
4/21/1994,Nashville,Tennessee,,MS,1,0,,Wikp,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[270]",,
5/2/1994,North Miami,Florida,suburban,HS,1,,,Pah,,,
5/25/1994,Union,Kentucky,suburban,HS,4,,,Pah,,,
7/25/1994,Ottumwa,Iowa,suburban,HS,1,,,Pah,,,
9/7/1994,Hollywood,California,urban,HS,1,,,Pah,,,
10/12/1994,Greensboro,North Carolina,urban,HS,1,,TRUE,Pah,,,
10/12/1994,Greensboro,North Carolina,,HS,1,1,,Wikp,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[180][271][272]",,
10/17/1994,Chicago,Illinois,,HS,0,1,,Wikp,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[273]",,
11/5/1994,San Leandro,California,urban,ES,1,,,Pah,,,
11/7/1994,Wickliffe,Ohio,suburban,MS,1,,TRUE,Pah,,,
11/7/1994,Wickliffe,Ohio,,MS,1,4,,Wikp,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[235][259][274]",,
11/15/1994,Tacoma,Washington,urban,HS,1,,,Pah,,,
12/14/1994,Albany,New York,,C,0,1,,Wikp,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[275][276][277][278]",,
1/5/1995,Washington DC,District of Columbia,urban,HS,1,,,Pah,,,
1/10/1995,Palm Beach Gardens,Florida,suburban,HS,0,,,Pah,,,
1/12/1995,Seattle,Washington,urban,HS,0,,TRUE,Pah,,,
1/12/1995,Seattle,Washington,,HS,0,2,,Wikp,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.[279],,
1/23/1995,Redlands,California,urban,MS,1,,,Pah,,,
1/26/1995,Chapel Hill,North Carolina,urban,C,2,,,Pah,,,
2/2/1995,Long Beach,California,urban,HS,1,,,Pah,,,
8/29/1995,Laredo,Texas,urban,MS,1,,,Pah,,,
9/12/1995,Memphis,Tennessee,urban,HS,1,,,Pah,,,
9/14/1995,Olathe,Kansas,urban,HS,2,,,Pah,,,
9/29/1995,Tavares,Florida,urban,MS,1,,TRUE,Pah,,,
9/29/1995,Tavares,Florida,,MS,1,0,,Wikp,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[280]",,
10/12/1995,Blackville,South Carolina,rural,HS,1,,TRUE,Pah,,,
10/12/1995,Blackville,South Carolina,,HS,2,1,,Wikp,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School.[235][259][281][282]",,
11/15/1995,Lynnville,Tennessee,rural,HS,2,,TRUE,Pah,,,
11/15/1995,Lynnville,Tennessee,,HS,2,1,,Wikp,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.[235][281][283]",,
11/28/1995,queens,New York,urban,HS,1,,,Pah,,,
1/19/1996,District of Columbia,District of Columbia,urban,MS,1,,,Pah,,,
1/19/1996,Washington,D.C.,,HS,1,0,,Wikp,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[235]",,
1/26/1996,memphis,Tennessee,urban,HS,1,,,Pah,,,
2/2/1996,Moses Lake,Washington,suburban,MS,3,,TRUE,Pah,,,
2/2/1996,Moses Lake,Washington,,MS,3,1,,Wikp,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison.[283][284]",,
2/8/1996,Palo Alto,California,urban,HS,1,,,Pah,,,
2/29/1996,St. Louis,Missouri,,HS,1,1,,Wikp,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.[285]",,
3/11/1996,New London,North Carolina,rural,HS,1,,,Pah,,,
4/11/1996,Talledega,Alabama,suburban,HS,1,,,Pah,,,
6/4/1996,Hemet,California,urban,HS,1,,,Pah,,,
8/15/1996,San Diego,California,urban,C,3,,TRUE,Pah,,,
8/15/1996,San Diego,California,,C,3,0,,Wikp,"San Diego State University shooting: At San Diego State University, 36-year-old graduate student, Frederick Martin Davidson, killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him.[283][286][287] Davidson was sentenced to serve three life terms.[288]",,
8/26/1996,San Antonio,Texas,urban,C,1,,,Pah,,,
9/17/1996,State College,Pennsylvania,urban,C,1,,TRUE,Pah,,,
9/17/1996,State College,Pennsylvania,,C,1,2,,Wikp,"19-year-old Jillian Robbins, killed one student and injured two outside Pennsylvania State University's HUB–Robeson Center.[283][289][290]",,
9/25/1996,Scottdale,Georgia,suburban,HS,1,,TRUE,Pah,,,
9/25/1996,Decatur,Georgia,,HS,1,2,,Wikp,"16-year-old David Dubose Jr., killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Dubose was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital.[167]",,
10/2/1996,Philadelphia,Pennsylvania,urban,ES,2,,,Pah,,,
10/4/1996,Playa del Rey,California,suburban,HS,1,,,Pah,,,
10/9/1996,Sherwood,Arkansas,,-,1,0,,Wikp,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus.[291]",,
10/13/1996,St. Louis,Missouri,urban,HS,1,,,Pah,,,
10/16/1996,West Lafayette,Indiana,suburban,C,1,,,Pah,,,
11/27/1996,Sacramento,California,urban,HS,1,,,Pah,,,
1/11/1997,Brooklyn,New York,urban,HS,1,,,Pah,,,
1/27/1997,West Palm Beach,Florida,urban,MS,1,,TRUE,Pah,,,
1/27/1997,West Palm Beach,Florida,,MS,1,0,,Wikp,"14-year-old Conniston Middle School student, Tronneal Mangum, fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt.[292]",,
1/31/1997,Tulsa,Oklahoma,urban,,1,,,Pah,,,
2/19/1997,Bethel,Alaska,suburban,HS,2,,TRUE,Pah,,,
2/19/1997,Bethel,Alaska,,HS,2,2,,Wikp,"Bethel Regional High School shooting: 16-year-old student, Evan Ramsey, killed Bethel Regional High School principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students.[283][293]",,
2/20/1997,Jacksonville,Florida,urban,HS,1,,,Pah,,,
3/18/1997,Detroit,Michigan,urban,HS,1,,,Pah,,,
10/1/1997,Pearl,Mississippi,suburban,HS,3,,TRUE,Pah,,,
10/1/1997,Pearl,Mississippi,,HS,3,7,,Wikp,"Pearl High School shooting: 16-year-old Luke Woodham, murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others at Pearl High School.[283][294][295][296]",,
10/14/1997,Garland,Texas,urban,HS,1,,,Pah,,,
10/15/1997,Palmetto,Florida,,MS,0,1,,Wikp,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students.[297] Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.[298]",,
10/22/1997,Norwalk,California,urban,HS,2,,,Pah,,,
11/13/1997,Sacramento,California,urban,ES,1,,,Pah,,,
12/1/1997,West Paducah,Kentucky,suburban,HS,3,,TRUE,Pah,,,
12/1/1997,West Paducah,Kentucky,,HS,3,5,,Wikp,"Heath High School shooting: Three students were killed and five wounded by 14-year-old Michael Carneal, as they participated in a prayer circle. Carneal was sentenced to life in prison.[283]",,
12/15/1997,Stamps,Arkansas,rural,HS,2,,TRUE,Pah,,,
12/15/1997,Stamps,Arkansas,,HS,0,2,,Wikp,"Concealed in a wooded area on school grounds, 14-year-old Joseph ""Colt"" Todd, wounded two students as they were entering Stamps High School.[283][299]",,
2/25/1998,Reed City,Michigan,rural,HS,1,,,Pah,,,
3/1/1998,Philadelphia,Pennsylvania,,C,1,3,,Wikp,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.[300]",,
3/24/1998,Jonesboro,Arkansas,urban,MS,5,,,Pah,,,
3/24/1998,Craighead County,Arkansas,,MS,5,10,,Wikp,"Westside Middle School shootings: 13-year-old Mitchell Johnson, and 11-year-old Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden.[301][302]",,
3/25/1998,Coldwater,Michigan,suburban,HS,1,,,Pah,,,
3/30/1998,Chapel Hill,North Carolina,urban,MS,0,,,Pah,,,
4/24/1998,Edinboro,Pennsylvania,suburban,HS,1,,TRUE,Pah,,,
4/24/1998,Edinboro,Pennsylvania,,MS,1,3,,Wikp,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.[302][303]",,
4/28/1998,Pomona,California,urban,ES,2,,,Pah,,,
5/1/1998,Buffalo,New York,urban,ES,1,,,Pah,,,
5/19/1998,Fayetteville,Tennessee,suburban,HS,1,,TRUE,Pah,,,
5/19/1998,Fayetteville,Tennessee,,HS,1,0,,Wikp,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl.[304] Davis received a life sentence on July 29, 1999.[305]",,
5/21/1998,Springfield,Oregon,urban,HS,4,,TRUE,Pah,,,
5/21/1998,Rialto,California,urban,HS,1,,,Pah,,,
5/21/1998,Springfield,Oregon,,HS,4,23,,Wikp,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 23 others.[302] After pleading guilty, he was sentenced to 111 years of prison.[306]",,
5/27/1998,Pasadena,California,urban,MS,0,,,Pah,,,
5/29/1998,Fort Lauderdale,Florida,urban,HS,2,,,Pah,,,
6/15/1998,Richmond,Virginia,urban,HS,0,,TRUE,Pah,,,
6/15/1998,Richmond,Virginia,,HS,0,2,,Wikp,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School.[302][307]",,
9/4/1998,San Bernardino,California,urban,C,2,,,Pah,,,
9/12/1998,Glendale,California,urban,HS,0,,,Pah,,,
12/10/1998,Detroit,Michigan,urban,C,1,,TRUE,Pah,,,
12/10/1998,Detroit,Michigan,,C,1,0,,Wikp,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, at Wayne State University.[308]",,
1/8/1999,Carollton,Georgia,suburban,HS,2,,TRUE,Pah,,,
1/8/1999,Carrollton,Georgia,,HS,1,1,,Wikp,"15-year-old Andrea Garrett was found dead, and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suicide pact because Garrett's mother had previously forbidden her to see Miller.[309]",,
1/21/1999,North Richland Hills,Texas,urban,HS,1,,,Pah,,,
2/11/1999,Elgin,Illinois,urban,HS,0,,,Pah,,,
4/16/1999,Notus,Idaho,rural,HS,0,,TRUE,Pah,,,
4/16/1999,Notus,Idaho,,HS,0,0,,Wikp,"15-year-old Shawn Cooper, fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Cooper had been undergoing treatment for bipolar disorder.[310]",,
4/20/1999,Littleton,Colorado,suburban,HS,15,,TRUE,Pah,,,
4/20/1999,Littleton,Colorado,,HS,15,21,,Wikp,"Columbine High School massacre: 18-year-old Eric Harris and 17-year-old Dylan Klebold, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre. [302][311]",,
4/23/1999,Atlanta,Georgia,urban,MS,1,,,Pah,,,
5/20/1999,Conyers,Georgia,suburban,HS,0,,TRUE,Pah,,,
5/20/1999,Conyers,Georgia,,HS,0,6,,Wikp,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries.[302] Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation.[312]",,
8/25/1999,Monticello,Georgia,suburban,HS,1,,,Pah,,,
9/7/1999,Plano,Texas,urban,HS,1,,,Pah,,,
9/9/1999,San Jose,California,urban,HS,1,,,Pah,,,
11/19/1999,Deming,New Mexico,suburban,MS,0,,TRUE,Pah,,,
11/19/1999,Deming,New Mexico,,MS,1,0,,Wikp,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved.[302][313]",,
12/6/1999,Fort Gibson,Oklahoma,suburban,MS,0,,TRUE,Pah,,,
12/6/1999,Fort Gibson,Oklahoma,,MS,0,6,,Wikp,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face.[302] Trickey brought the gun from home.[314]",,
1/19/2000,New Port Richey,Florida,suburban,HS,0,,,Pah,,,
2/29/2000,Flint,Michigan,urban,ES,1,,TRUE,Pah,,,
2/29/2000,Flint,Michigan,,ES,1,0,,Wikp,"Shooting of Kayla Rolland: At Buell Elementary School, 6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.[316]",,
5/10/2000,Sierra Vista,Arizona,urban,ES,2,,,Pah,,,
