endTime,genre,count
2023-12-23,alternative rock,1
2023-12-23,hip hop,14
2023-12-23,indie,1
2023-12-23,pop,14
2023-12-23,r&b,2
2023-12-23,rap,13
2023-12-23,rock,4
2023-12-23,soul,1
2023-12-24,indie,1
2023-12-24,pop,3
2023-12-26,alternative rock,10
2023-12-26,hip hop,1
2023-12-26,indie,16
2023-12-26,pop,5
2023-12-26,rock,10
2023-12-27,indie,1
2023-12-27,polish alternative,11
2023-12-27,pop,3
2023-12-27,rock,10
2023-12-28,alternative rock,2
2023-12-28,hip hop,7
2023-12-28,pop,3
2023-12-28,r&b,6
2023-12-28,rap,9
2023-12-28,rock,12
2023-12-29,hip hop,3
2023-12-29,indie,1
2023-12-29,pop,2
2023-12-29,r&b,1
2023-12-29,rap,3
2023-12-29,soul,1
2023-12-30,afrofuturism,2
2023-12-30,alternative rock,11
2023-12-30,hip hop,1
2023-12-30,indie,23
2023-12-30,polish alternative,26
2023-12-30,pop,13
2023-12-30,rock,10
2023-12-31,pop,11
2023-12-31,rock,14
2024-01-01,alternative rock,1
2024-01-01,hip hop,6
2024-01-01,indie,8
2024-01-01,polish alternative,17
2024-01-01,pop,30
2024-01-01,r&b,2
2024-01-01,rap,8
2024-01-01,rock,15
2024-01-01,soul,3
2024-01-02,afrofuturism,10
2024-01-02,alternative rock,13
2024-01-02,hip hop,11
2024-01-02,indie,19
2024-01-02,polish alternative,20
2024-01-02,pop,28
2024-01-02,r&b,14
2024-01-02,rap,13
2024-01-02,rock,58
2024-01-02,soul,26
2024-01-03,afrofuturism,11
2024-01-03,alternative rock,13
2024-01-03,hip hop,29
2024-01-03,indie,36
2024-01-03,polish alternative,12
2024-01-03,pop,43
2024-01-03,r&b,27
2024-01-03,rap,28
2024-01-03,rock,21
2024-01-03,soul,61
2024-01-04,afrofuturism,3
2024-01-04,alternative rock,3
2024-01-04,hip hop,47
2024-01-04,indie,9
2024-01-04,polish alternative,13
2024-01-04,pop,29
2024-01-04,r&b,24
2024-01-04,rap,72
2024-01-04,rock,8
2024-01-04,soul,25
2024-01-05,alternative rock,1
2024-01-05,polish alternative,1
2024-01-05,pop,2
2024-01-05,r&b,1
2024-01-05,rap,1
2024-01-05,rock,2
2024-01-05,soul,2
2024-01-06,afrofuturism,27
2024-01-06,alternative rock,4
2024-01-06,hip hop,20
2024-01-06,indie,8
2024-01-06,pop,7
2024-01-06,r&b,9
2024-01-06,rap,20
2024-01-06,rock,3
2024-01-06,soul,7
2024-01-07,afrofuturism,100
2024-01-07,alternative rock,3
2024-01-07,hip hop,41
2024-01-07,indie,16
2024-01-07,polish alternative,1
2024-01-07,pop,23
2024-01-07,r&b,41
2024-01-07,rap,44
2024-01-07,rock,7
2024-01-07,soul,35
2024-01-08,afrofuturism,42
2024-01-08,alternative rock,17
2024-01-08,hip hop,42
2024-01-08,indie,33
2024-01-08,polish alternative,6
2024-01-08,pop,19
2024-01-08,r&b,17
2024-01-08,rap,39
2024-01-08,rock,29
2024-01-08,soul,17
2024-01-09,afrofuturism,8
2024-01-09,alternative rock,7
2024-01-09,hip hop,12
2024-01-09,indie,21
2024-01-09,polish alternative,10
2024-01-09,pop,13
2024-01-09,r&b,8
2024-01-09,rap,16
2024-01-09,rock,18
2024-01-09,soul,13
2024-01-10,afrofuturism,15
2024-01-10,alternative rock,5
2024-01-10,hip hop,44
2024-01-10,indie,22
2024-01-10,polish alternative,60
2024-01-10,pop,57
2024-01-10,r&b,51
2024-01-10,rap,58
2024-01-10,rock,37
2024-01-10,soul,62
