"UgyALwBqhySwh167HeZ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-21T19:28:44.5822+00:00,0,,,Uy6TeDNvSGo,""{""""text"""":""""Kto po wyborze Ochmana z arcydziełem River? ❤️""""}""";
"UgweFRSqh59R7zMowxZ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-21T12:00:50.013541+00:00,0,,,Q5MnbD3_BBA,""{""""text"""":""""Poland rocks this year! ❤️""""}""";
"Ugz4o5TuHdFBHrFawaB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-20T18:02:39.476843+00:00,0,,,HHZlYPvxRT8,""{""""text"""":""""POLAND ROCKS THIS YEAR \u003c3 \u003c3 \u003c3""""}""";
"UgxJ_d1rk3gGAaoYPTx4AaABAg.9MeVkKoQzdH9YfItCO35n9,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-20T12:58:25.232461+00:00,0,UgxJ_d1rk3gGAaoYPTx4AaABAg,,AUxWzwehrL8,""{""""text"""":""""No i właśnie przyjechała 😊""""}""";
"UgxJ_d1rk3gGAaoYPTx4AaABAg.9MeVkKoQzdH9YfIryh2NFP,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-20T12:58:15.151282+00:00,0,UgxJ_d1rk3gGAaoYPTx4AaABAg,,AUxWzwehrL8,""{""""text"""":""""No i właśnie przyjechała 😊""""}""";
"Ugz_1GLiMVhElvBbnSN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-17T21:53:50.016681+00:00,0,,,rE7KG6SL0S0,""{""""text"""":""""Przesympatyczny człowiek, trzymam kciuki za sukces w sobotę""""}""";
"UgysFWgerKganFjv2uF4AaABAg.9Xzq9pKGyTj9YK8_5NEBKD,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-11T22:25:00.068147+00:00,0,UgysFWgerKganFjv2uF4AaABAg,,1Ree9a-ehOk,""{""""text"""":""""@5zefek"""",""""mention"""":{""""externalChannelId"""":""""UCs_XP56oq8lMW8s37ATdNNA""""}},{""""text"""":"""" nawet jeśli chodziloby tylko o piosenkę ( a nie tylko o to chodzi) to i tak river swoją oryginalnością zdecydowanie wygrywa""""}""";
"Ugz0yUiZU83xctB692p4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-11T15:28:58.44749+00:00,0,,,WA5dQL7Q5hw,""{""""text"""":""""Pierwszy z wielu milionów za nami 😊❤️""""}""";
"UgwJJANqk-YGfm4p0Bl4AaABAg.9YG41_60tu79YJOjejSCsR,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-11T15:27:00.858053+00:00,0,UgwJJANqk-YGfm4p0Bl4AaABAg,,WA5dQL7Q5hw,""{""""text"""":""""Mamy to! 🌊""""}""";
"UgzLc_CP45669J6rgvt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-11T13:46:58.0366+00:00,0,,,1pz3acp_4pU,""{""""text"""":""""Miejmy nadziej ze 19 lutego wygra jednak pokora, wrażliwość i prawdziwa muzyka""""}""";
"UgwJJANqk-YGfm4p0Bl4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-10T08:28:22.542626+00:00,0,,,WA5dQL7Q5hw,""{""""text"""":""""Niech rzeka płynie po pierwszy milion 🌊🌊🌊🤍💙""""}""";
"UgysFWgerKganFjv2uF4AaABAg.9Xzq9pKGyTj9Y3reHh0En8,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-05T14:40:34.540784+00:00,0,UgysFWgerKganFjv2uF4AaABAg,,1Ree9a-ehOk,""{""""text"""":""""Ochman umie śpiewać na żywo, a takie radiowe utwory jak paranoja giną w stawce na eurowizji""""}""";
"UgwrkxJyyOT5ipACzG54AaABAg.9Y34ZGVpH5h9Y3AoanpF3q,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-05T08:17:30.374805+00:00,0,UgwrkxJyyOT5ipACzG54AaABAg,,WA5dQL7Q5hw,""{""""text"""":""""Krystian na live wypada jeszcze lepiej niż w klipach 😊, wygrał the voice of Poland, nie ma o co sie martwić""""}""";
"UgyJltdCLtLTf7cgNPR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-03T21:18:45.053473+00:00,0,,,WA5dQL7Q5hw,""{""""text"""":""""🌊🌊🌊""""}""";
"Ugxfsxieiw44YnM9aGl4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-12-01T21:35:57.205663+00:00,0,,,1RG_qhN4e3M,""{""""text"""":""""She looks like Viki Gabor a little bit""""}""";
"Ugzzto5CmdNUzUPmTNt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-11-15T22:27:54.040164+00:00,0,,,7QUAodHNMkQ,""{""""text"""":""""Pozdrawiam próbne listopad 2021""""}""";
"UgzlVl8fVlHMq0C9H-B4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-09-26T15:34:23.451442+00:00,0,,,6nnm9wtG5CM,""{""""text"""":""""❤️""""}""";
"UgzycHFtbIV-u5UkpEx4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-06-06T19:38:11.90181+00:00,0,,,jnRh2IbIvaw,""{""""text"""":""""To może teo zamiast Teodor""""}""";
"UgwA8UIXOZMFU56ETDt4AaABAg.9Kpf1-yq3yY9MBXXUnP7Nm,UCbYIDTfcDLcc1A5lPky6kOg,2021-04-16T07:53:12.153894+00:00,0,UgwA8UIXOZMFU56ETDt4AaABAg,,P5VnLC0WJYE,""{""""text"""":""""@Daria Wiatrowska""""},{""""text"""":"""" dziś mam 95%, 10 miesięcy użytkowania, spadać zaczęło miesiąc temu""""}""";
"UgwA8UIXOZMFU56ETDt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-03-13T14:13:29.341423+00:00,0,,,P5VnLC0WJYE,""{""""text"""":""""Jeszcze niedawno miałam 100% a teraz patrze i 96 nie mam pojęcia czemu tak szybko poleciało""""}""";
"UgyC4Gixq0roPpAsanp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-02-27T18:29:12.557292+00:00,0,,,NYmry_2vGYQ,""{""""text"""":""""Przyszło mi tak na myśl, ze to taka unowocześniona wersja Michała Bajora. GENIALNE!""""}""";
"Ugycn4WBFFf5zeIpcT14AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2021-01-26T12:33:14.973694+00:00,0,,,B4BOIhbS5TA,""{""""text"""":""""Wataha vogule nie gryzie, wataha pożera 🤝""""}""";
"UgzcRo7qgUBEp-5zcAd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-12-04T22:54:04.334221+00:00,0,,,cqJwrvEodvU,""{""""text"""":""""My 2nd place after Wonder ❤️❤️❤️""""},{""""text"""":""""\n""""},{""""text"""":""""Love this album""""}""";
"UgwZ5xgpqxKvHR0QTz54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-11-29T21:54:06.22451+00:00,0,,,a1ImcQruNOQ,""{""""text"""":""""Masterpiece""""}""";
"Ugxn3Oz68qVr6NhQppV4AaABAg.9G_78-C80nd9G_eeIKL9HK,UCbYIDTfcDLcc1A5lPky6kOg,2020-11-27T22:56:49.407428+00:00,0,Ugxn3Oz68qVr6NhQppV4AaABAg,,qk-LTSkqSSA,""{""""text"""":""""@Siema siema"""",""""mention"""":{""""externalChannelId"""":""""UCz_Pvufkx08F46flxkcLl8g""""}},{""""text"""":"""" It was for me or the previous speaker?""""}""";
"Ugxn3Oz68qVr6NhQppV4AaABAg.9G_78-C80nd9G_82PRv77S,UCbYIDTfcDLcc1A5lPky6kOg,2020-11-27T18:03:09.353998+00:00,0,Ugxn3Oz68qVr6NhQppV4AaABAg,,qk-LTSkqSSA,""{""""text"""":""""Why are you saying this? Do you think that somebody for who, God is the most important is less smart or worse than you? Acutally, she is very smart.  I hope that someday you will see that this is a true. I will pray for that. """"},{""""text"""":""""\n""""},{""""text"""":""""Best wishes""""},{""""text"""":""""\n""""},{""""text"""":""""PS. She is not poor. She has God, so she is the richest person  :)""""}""";
"UgymtwwZBGdxmgCJ-Th4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-10-09T12:24:00.236442+00:00,0,,,kaW8m4-fExQ,""{""""text"""":""""Omg, my winner. This song is so catchy. Grettings from Poland ❤️🇵🇱🇪🇸""""}""";
"Ugzr5x6HXB4SPmTXMPp4AaABAg.9Cf2D2vjxaM9CnNzRzpyJ6,UCbYIDTfcDLcc1A5lPky6kOg,2020-08-25T20:46:12.935338+00:00,0,Ugzr5x6HXB4SPmTXMPp4AaABAg,,lnyQmBhr7zQ,""{""""text"""":""""Odręcznie""""}""";
"UgwBChRohjokS4QnlNx4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-06-10T12:45:06.539301+00:00,0,,,qMd5PytbIp0,""{""""text"""":""""„Nie wiem czy mamy wyż czy niż demograficzny” xD""""}""";
"UgwOj7dWiQFuZXE49-t4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-06-05T13:36:50.007425+00:00,0,,,3bFapovNFAM,""{""""text"""":""""Ulubiona emotka:🤷\u200d♀️""""},{""""text"""":""""\n""""},{""""text"""":""""Insta: @gaby_maj""""}""";
"UgyqAw5R3gcIKccsR6R4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-06-03T22:22:49.281787+00:00,0,,,IuBOnIt5M2c,""{""""text"""":""""Ci wszyscy którzy pisza te negatywne kometrze, pomyśleliście wczesniej, że taki komentarz może się bardzi źle odbić na psychice takiej małej dziewczynki? Tak macie rację, nie spotkanie idola to nie jest najgorsza rzecz na świecie i dzieciaki mają dużo większe problemy. Rada dla autorki: zanim wrzucisz filmik, przegadaj może wcześniej sprawe z rodzicami, bądź starszym rodzeństwem, zapytaj ich o opinie na temat filmiku.  😉☺ Może poczekaj aż trochę podrośniesz? Na youtube zawsze przyjdzie czas 😊😉😉.""""}""";
"Ugz996iatGVv33u8IM94AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-05-19T21:43:56.802861+00:00,0,,,u4A6hstelW0,""{""""text"""":""""Hasta lavista wouldnt win esc 2021, please understand this""""}""";
"UgxVuh0cZDiEVFTDVs54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-05-19T21:38:40.256876+00:00,0,,,u4A6hstelW0,""{""""text"""":""""Sebrian people please stop praising yourself. Your song is not as good as you think. I think that hurricane is a little bit trashy. There are so many better songs like tears getting sobber form Blugaria🇧🇬 or that one from Switzerland🇨🇭. So please stop writing these coments 🙏🙏🙏""""}""";
"Ugzz79kHONEX9RKd6FF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-05-19T21:25:46.265389+00:00,0,,,iLmI1T-Mzy4,""{""""text"""":""""O matko mam takie same odczucia co do serbii, straszny kicz. Serbowie jednak strasznie sie podniecają i myslą że mają najlepszą piosenke.""""}""";
"Ugzy-LrAz3yRdkQIYDd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-04-29T21:28:41.550183+00:00,0,,,cXYylnm-4RY,""{""""text"""":""""Kurcze, a ja właśnie się zastanawia nad samsungiem s10, a iphonem 11. Nigdy nie miałam telefonu z IOS i nie wiem czy wygodna będzie teraz taka przesiadka. Co byscie polecali?""""}""";
"Ugw0kk8IDNQ4AYqc6pp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-04-01T22:49:36.902181+00:00,0,,,kKfFt4Qt8AY,""{""""text"""":""""Bardzo proszę niech pani nie podaje jakiś insynuacji na temat Polski, jeśli jest Pani niedoinformowana. Przedstwianie Polski jako jakiegoś zacofanego kraju, z reżimem policyjnym w porównaniu do liberalnej Ameryki jest teraz bardzo szkodliwe. Polska szybko zareagowała na problem i dzięki tym działaniom  \""""ogarniczającym wolność\"""" mamy tych przypadkow znacznie mniej niz w Ameryce. Gdy usłyszlam o selekcji naturalnej, aż mi się zachciało płakać. Prosze postwic się w sytuacji jednoski, a nie ogółu. Rodziny osob zmarłych przezywają wielkie tragedie, we Włoszech nie mogą nawet brać  udziału w pogrzebach swoich bliskich. W polsce na koronawirusa umarła 27 letnia dziewczyna, która kilka dni wczesniej urodziła dziecko, jak w takim przypadku mozna mówic o selekcjo naturalnej? To po prostu nie ludzkie. Ogląda panią dużo młodych osób (w tym ja), więc takie teorie nie są odpowiednią metodą zapobiegania wirusowi. """"},{""""text"""":""""\n""""},{""""text"""":""""Następnym razem wypadałoby zgromadzić więcej informacji, zanim zacznie się Pani wypowiedać na tak ważny w dzisiejszych realiach temat.""""}""";
"Ugw7emHPaHIikfseTfN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-03-11T21:17:54.590869+00:00,0,,,CwBvvnGk6VE,""{""""text"""":""""Thank you fot 13 place 🇵🇱""""},{""""text"""":""""\n""""},{""""text"""":""""Unfortunetly Poland is so underrated this year""""}""";
"Ugx6mk-ovdgmU11d0zR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-03-06T10:42:20.422275+00:00,0,,,gZ5-BosFYzA,""{""""text"""":""""Moim zdaniem oceny powinny zastąpić procenty no bo przecież ile razy zdarzyło się tak, że ktoś miał 74% i to była 3, a ktoś 75% i to była 4. Czy to znaczy, że osoba ktora miała 1% jest na tyle gorsza żeby miec ocene nizej?""""}""";
"UgwXDFGyYbUs4xYblNJ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-02-25T19:56:02.293326+00:00,0,,,I1GkEMG7FOA,""{""""text"""":""""Ewa jesteś ekstra :-). Rób dalej to co robisz . Pięknie mówiss o Bogu ❤""""}""";
"UgzpCHslA2Zf_7C1ldF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-02-23T10:43:38.537139+00:00,0,,,f9o99A5Ejew,""{""""text"""":""""Hania jest bradzo podbna do Wiktorii Gąsiewskiej""""}""";
"Ugylax3wOcOuWf61Klt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-02-23T10:43:20.344157+00:00,0,,,f9o99A5Ejew,""{""""text"""":""""Hania jest bradzo podbna do Wiktorii Gąsiewskiej""""}""";
"UgxRcTNh8ZYIH-d3GNt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-02-16T15:23:17.809638+00:00,0,,Ugwj6jjBJbJWGF1oPX14AaABCQ,,""{""""text"""":""""Alicja bo program jest ustawiony pod nią""""}""";
"Ugw33Z7ab11EhJWEa4x4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-01-16T20:46:06.230254+00:00,0,,,zm3JwzysdvE,""{""""text"""":""""Mi ta pani przypomina rachel z domu z papieru""""}""";
"UgygB2iGVq1OT0L4ON54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-01-01T02:15:07.09659+00:00,0,,,krZ60PCswzE,""{""""text"""":""""Szkoda, że dalej nie myslisz tak jak  mowilas w filmie""""}""";
"Ugy0ii9hTfUtQluqLDZ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2020-01-01T02:14:56.971285+00:00,0,,,krZ60PCswzE,""{""""text"""":""""Szkoda, że dalej nie myslisz tak jak  mowilas w filmie""""}""";
"UgyY9tB5gbUBDr2-5214AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-12-30T15:10:22.802877+00:00,0,,,t1TnRRJHjJs,""{""""text"""":""""Roxie Queen 💞""""}""";
"UgxVTe6siLso0nPDGGt4AaABAg.9228gLqrlIp9229M7jXAPh,UCbYIDTfcDLcc1A5lPky6kOg,2019-12-02T14:00:53.438467+00:00,0,UgxVTe6siLso0nPDGGt4AaABAg,,RCluTpNUqCI,""{""""text"""":""""Jest chyba 7 lub 8 lat starszy od Julki""""}""";
"UgyHsFT0Hjr7Ri8HHkB4AaABAg.91lsD_cqfiw91qu4WD5grF,UCbYIDTfcDLcc1A5lPky6kOg,2019-11-27T19:47:47.304878+00:00,0,UgyHsFT0Hjr7Ri8HHkB4AaABAg,,_pekWutJ3mQ,""{""""text"""":""""Nie ma szans na narodowym.""""},{""""text"""":""""\n""""},{""""text"""":""""Ta impreza jest ogranizowana na jesienii więc będzie to organizowane w obiekcie zamkniętym""""}""";
"UgyAmGxvsx2ytmJYsMB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-11-24T21:12:39.169189+00:00,0,,,y7MZscvW-i8,""{""""text"""":""""She was really really good """"},{""""text"""":""""\n""""},{""""text"""":""""Congratulation spain for 3rd place""""},{""""text"""":""""\n""""},{""""text"""":""""Doesn't matter that you didn't win this year""""},{""""text"""":""""\n""""},{""""text"""":""""With voices like melani you will do it in next years""""},{""""text"""":""""\n""""},{""""text"""":""""Love from Poland ❤❤❤🇵🇱🇵🇱🇪🇸🇪🇸""""}""";
"UgzhE2HLsdm_2f8HIdx4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-11-24T14:02:01.597554+00:00,0,,,MJQDkvHJfFo,""{""""text"""":""""It will stay in Poland!!! ❤🇵🇱""""}""";
"UgyNI_DxZcAoHoQieT94AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-11-02T18:59:48.832887+00:00,0,,,hgWPWEs63DA,""{""""text"""":""""Kurwa is polish word guys""""}""";
"UgxF5BY8k10mLA8UbKV4AaABAg.90M2w3Egh1A90PQdmGfV6q,UCbYIDTfcDLcc1A5lPky6kOg,2019-10-22T21:51:43.756612+00:00,0,UgxF5BY8k10mLA8UbKV4AaABAg,,kaYdTmCYgxA,""{""""text"""":""""Ja do osób homoseksualnych nic nie mam, naprawde niech sobie robią co chcą. ALE cała  ta IDEOLOGIA LGBT bardzo odrzuca i działa na niekorzyść takich osób.""""},{""""text"""":""""\n""""},{""""text"""":""""Jak można skanodwać o tolerancji jednocześnie obrażając wiarę innych?""""}""";
"UgxF5BY8k10mLA8UbKV4AaABAg.90M2w3Egh1A90PQQPexmgW,UCbYIDTfcDLcc1A5lPky6kOg,2019-10-22T21:49:46.057435+00:00,0,UgxF5BY8k10mLA8UbKV4AaABAg,,kaYdTmCYgxA,""{""""text"""":""""Chyba nie odróżniasz pojęcia osób homoseksualnych od ideologii lgbt 😁""""},{""""text"""":""""\n""""},{""""text"""":""""God isn't dead""""}""";
"UgxF5BY8k10mLA8UbKV4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-10-21T14:26:47.455344+00:00,0,,,kaYdTmCYgxA,""{""""text"""":""""Z tego co pamiętam to nagrałeś kilka lat temu materiał z marszu lgbt.""""},{""""text"""":""""\n""""},{""""text"""":""""Wydaje mi się, że w tamtym filmie tak przychylnie nie podchodziles do tej ideologii""""}""";
"Ugx1Fcv1KCe5-tDtJc54AaABAg.9-ZGfx0npKq9-cWWP80Bkd,UCbYIDTfcDLcc1A5lPky6kOg,2019-10-03T12:40:59.242687+00:00,0,Ugx1Fcv1KCe5-tDtJc54AaABAg,,G8Y0Ynaqvsg,""{""""text"""":""""Jak dziecko będzie miało 18 lat to będzie o tym decydowało""""}""";
"Ugx1Fcv1KCe5-tDtJc54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-10-01T21:05:39.459683+00:00,0,,,G8Y0Ynaqvsg,""{""""text"""":""""Dla ludzi piszących, że religia powinna być dla chętnych. RELIGIA W SZKOLE JEST DLA CHĘTNYCH. Każdy rodzic decyduje czy dziecko ma chodzic na religie czy nie.""""}""";
"Ugz_mFCA9YEokbJhcQJ4AaABAg.8zY8Wc36Hmj8zYS2ci6A8_,UCbYIDTfcDLcc1A5lPky6kOg,2019-09-06T16:54:22.39521+00:00,0,Ugz_mFCA9YEokbJhcQJ4AaABAg,,yptO9hcZFVk,""{""""text"""":""""Cavourka  jest w technikum""""}""";
"UgzwKHcfemiZBNpfneB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-09-05T19:35:50.008064+00:00,0,,,hDqz65alvsw,""{""""text"""":""""Dzieciaki bywają okropne""""}""";
"UgydfPTMeYFoeKB5uCp4AaABAg.8xu9mdkQK_P8xuJRROOwZS,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-27T20:58:51.643919+00:00,0,UgydfPTMeYFoeKB5uCp4AaABAg,,cEfl3aMBaBM,""{""""text"""":""""@nonya business"""",""""mention"""":{""""externalChannelId"""":""""UC0pcE372NVz_XjUXUUtjufw""""}},{""""text"""":"""" ...""""}""";
"UgydfPTMeYFoeKB5uCp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-27T19:34:30.881001+00:00,0,,,cEfl3aMBaBM,""{""""text"""":""""Nie popieram oczywiscie tego co stało się w białymstoku, ale również nie rozumiem czemu """"},{""""text"""":""""np.na"""",""""link"""":{""""linkUrl"""":""""http://np.na/""""}},{""""text"""":"""" paradzie równości w Gdańsku, obrazano wizerunek Matki Boskiej, urzadzono sobie pseudo pielgrzymke, a na paradzie w Warszawie urządzono pseudo \""""msze\"""".""""},{""""text"""":""""\n""""},{""""text"""":""""Dla mnie tolerancja jest tylko wtedy gdy działa w obie strony""""}""";
"Ugxtcr_12ybTghKv-_Z4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-25T09:12:19.195306+00:00,0,,,BafkwvNSixU,""{""""text"""":""""Ja w turcji polecam hotel eftalia, jest tam przesuper""""}""";
"UgxMd79659yyNztkqD54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-09T13:37:06.549325+00:00,0,,,A_MjCqQoLLA,""{""""text"""":""""Who is here after movie \""""yesterday\""""?""""}""";
"UgxTN_TqAUdvjsSOs654AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-06T12:48:46.780137+00:00,0,,,biZLJ-yIyBk,""{""""text"""":""""Ludzie, czy wy nie widzicie, że to jest ustwione pod publike?""""},{""""text"""":""""\n""""},{""""text"""":""""Przestańcie się juz tak spuszczać na głos wariatki bo to też było USTAWIONE.""""}""";
"Ugx6h20JA4yo-LK5djJ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-07-04T11:11:49.254574+00:00,0,,,qwY4ZItTpkg,""{""""text"""":""""Melissa jest taka śliczniutka 😍😊😊""""}""";
"UgwYikrzXfOjjC9_HA54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-30T15:39:14.970365+00:00,0,,,U4ZnGfc566M,""{""""text"""":""""Te szare kolczyki to h&m""""}""";
"Ugw0WFY0dAhkOft_vJp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-08T20:46:42.825928+00:00,0,,,QoD0-Vm_M-A,""{""""text"""":""""Ja budzę się często z pogryzionymi rękami😂😂""""}""";
"Ugzf8oKW5Js9hFBZylN4AaABAg.8vnUQNxJWk88vujWkVNrgU,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-08T07:52:43.667955+00:00,0,Ugzf8oKW5Js9hFBZylN4AaABAg,,G_n0Q6brGlM,""{""""text"""":""""A obrażanie Matki Boskiej, prawicowych politykach, katolików nie zalicza się już pod nienawiść?""""}""";
"UgytxgKnNsgnIoU5UrB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-08T07:46:43.07429+00:00,0,,,G_n0Q6brGlM,""{""""text"""":""""Dlaczego obrażasz Matke Boską?""""},{""""text"""":""""\n""""},{""""text"""":""""Tolerancja chyba polega na tym, że   my nie obrażamy was, a wy nas.""""}""";
"UgyweJR812XLNX_RBHN4AaABAg.8vs-VjTuxaC8vt6pn0QXdJ,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-07T16:46:41.86422+00:00,0,UgyweJR812XLNX_RBHN4AaABAg,,vYaM0633_nA,""{""""text"""":""""Ja kupiłam hugo boss za 1000, może u mojego optyka są takie ceny""""}""";
"UgyweJR812XLNX_RBHN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-06-07T06:23:25.118046+00:00,0,,,vYaM0633_nA,""{""""text"""":""""W Polsce takie firmowe okulary kosztują od 1000zł w górę (bez szkieł)""""}""";
"UgxsQE8f0LoUYkzsPYd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-05-22T15:51:30.314001+00:00,0,,,t-FGI2f0deM,""{""""text"""":""""Thanks for your greetings ❤""""}""";
"UgyaLkDDk6ULEwHmAbd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-05-16T20:32:39.225085+00:00,0,,,zEGgKQf1cws,""{""""text"""":""""Totally tonight's winner!!!""""}""";
"Ugy8rEzcQDttPMaHnl54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-05-13T20:07:50.488174+00:00,0,,,9ws6nxMk6I0,""{""""text"""":""""We are going to 12 ml sisters!""""}""";
"UgybxLEnFXSkv2h-iHh4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-05-06T14:02:04.202377+00:00,0,,,jEMJ9PYGDfY,""{""""text"""":""""This will be the best show😍""""}""";
"Ugxa_YqUfT_gXcsRjAB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-04-21T21:58:42.436958+00:00,0,,,oIx44T54Pjc,""{""""text"""":""""Kto też w refrenie ma ochote zaśpiewać I'am a survivor?""""}""";
