Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Bhutan; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0.01;0.01;0.01;0.01;0.04;0.04;0.25;0.18;0.17;0.11
Bhutan; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0.05;0.05;0.05;0;0;0;0;0.01;0.01;0.01
Bhutan; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0;0;0;0;0;0.16;0.05;0.13;0.08;0.11
Bhutan; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Bolivia (Plurinational State of); (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;2.98;3;3.05;3.12;3.15;3.17;3.21;3.24;3.3;3.37
Bolivia (Plurinational State of); (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;2.22;2.22;2.26;2.31;2.36;2.4;2.38;2.44;2.52;2.63
Bolivia (Plurinational State of); (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.14;0.14;0.14;0.16;0.13;0.13;0.16;0.14;0.16;0.16
Bolivia (Plurinational State of); (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.54;0.56;0.57;0.57;0.59;0.58;0.62;0.61;0.59;0.56
Bolivia (Plurinational State of); (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.08;0.08;0.08;0.07;0.07;0.05;0.05;0.04;0.04;0.02
Bosnia and Herzegovina; (FAO) 1987-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;5.46;5.44;5.25;5.04;4.9;4.69;4.69;4.83;4.71;4.57
Bosnia and Herzegovina; (FAO) 1987-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;4.19;4.19;4.01;3.85;3.72;3.52;3.53;3.69;3.55;3.39
Bosnia and Herzegovina; (FAO) 1987-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.47;0.47;0.48;0.45;0.46;0.47;0.46;0.42;0.42;0.44
Bosnia and Herzegovina; (FAO) 1987-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.62;0.61;0.6;0.57;0.56;0.55;0.55;0.58;0.61;0.61
Bosnia and Herzegovina; (FAO) 1987-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.17;0.17;0.17;0.16;0.15;0.15;0.15;0.14;0.14;0.13
Botswana; (FAO),1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;5.98;5.89;5.77;6.14;6.14;6.04;5.07;5.46;6.24;5.7
Botswana; (FAO),1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;2.93;2.93;2.93;3.34;3.33;3.15;2.79;2.39;2.39;2.48
Botswana; (FAO),1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.46;0.36;0.24;0.28;0.29;0.36;0.34;0.36;0.41;0.5
Botswana; (FAO),1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.96;0.96;0.96;0.89;0.88;0.89;0.3;0.6;1.58;0.67
Botswana; (FAO),1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;1.64;1.64;1.64;1.64;1.64;1.64;1.64;2.11;1.87;2.05
Brazil; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;6.12;6.19;6.25;6.37;6.63;6.91;6.86;7.12;7.13;7.16
Brazil; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;3.84;3.84;3.86;3.94;4.1;4.27;4.1;4.3;4.21;4.2
Brazil; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.24;0.24;0.24;0.23;0.24;0.25;0.28;0.25;0.29;0.3
Brazil; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;2;2.07;2.12;2.17;2.26;2.35;2.46;2.53;2.6;2.63
Brazil; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Brunei Darussalam; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;0.69;0.69;0.69;0.67;0.67;0.67;0.69;0.96;0.91;0.25
Brunei Darussalam; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0.66;0.66;0.66;0.66;0.66;0.66;0.67;0.87;0.84;0.19
Brunei Darussalam; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0.04;0.04;0.03;0.02;0.01;0.01;0.02;0.04;0.03;0.01
Brunei Darussalam; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0;0;0;0;0;0;0;0.05;0.03;0.05
Brunei Darussalam; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Bulgaria; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;11.18;11.53;10.93;11.13;10.89;10.3;10.32;10.88;9.88;9.82
Bulgaria; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;4.44;4.44;4.32;4.37;4.22;4.04;4.24;4.28;4.08;4
Bulgaria; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;1.72;2.07;1.72;2.01;1.95;1.8;1.52;1.93;0.95;1.11
Bulgaria; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;4.96;4.85;4.72;4.61;4.62;4.39;4.5;4.62;4.81;4.67
Bulgaria; (WDT) 1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.06;0.17;0.16;0.14;0.1;0.08;0.06;0.05;0.04;0.04
Burkina Faso; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;7.28;7.25;7.23;7.09;7.03;6.93;5.49;5.57;5.32;5.44
Burkina Faso; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;1;1;1;0.91;0.88;0.85;0.67;0.63;0.53;0.46
Burkina Faso; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.08;0.06;0.04;0.04;0.04;0.02;0.04;0.07;0.06;0.06
Burkina Faso; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.31;0.31;0.31;0.27;0.24;0.27;0.24;0.2;0.13;0.12
Burkina Faso; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;5.88;5.88;5.88;5.88;5.88;5.78;4.55;4.67;4.6;4.8
Burundi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;4.07;4.07;4.18;3.93;3.99;3.95;3.98;4.33;4.56;4.61
Burundi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;1.84;1.84;1.94;1.69;1.76;1.7;1.73;1.66;1.63;1.63
Burundi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0;0;0;0;0.01;0.01;0.01;0;0
Burundi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0;0;0;0;0;0.01;0.01;0;0;0
Burundi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.66;2.93;2.98
Cote d'Ivoire; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;1.7;1.73;1.59;1.5;1.54;1.35;1.22;1.2;1.14;1.12
Cote d'Ivoire; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;1.13;1.13;0.99;0.94;1.03;0.91;0.78;0.77;0.71;0.68
Cote d'Ivoire; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.33;0.37;0.4;0.37;0.33;0.28;0.28;0.28;0.29;0.31
Cote d'Ivoire; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.2;0.16;0.13;0.13;0.13;0.11;0.12;0.11;0.11;0.1
Cote d'Ivoire; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.04;0.07;0.06;0.06;0.06;0.05;0.04;0.04;0.03;0.03
Cabo Verde; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;4.7;4.9;5.06;4.89;4.54;4.31;3.73;4.93;5.09;4.93
Cabo Verde; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;2.28;2.28;2.28;2.27;2.26;2.28;2.25;2.3;2.8;2.51
Cabo Verde; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;1.82;2.02;2.18;2.03;1.7;1.45;1.2;1.48;1.6;1.81
Cabo Verde; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0.6;0.6;0.6;0.59;0.58;0.58;0.28;1.15;0.69;0.61
Cabo Verde; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Cambodia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;4.56;4.56;4.26;3.85;3.34;3.07;2.8;2.52;2.4;2.16
Cambodia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;4.12;4.12;3.85;3.44;2.93;2.64;2.38;2.09;1.99;1.75
Cambodia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.03;0.02;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.01
Cambodia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.41;0.42;0.4;0.39;0.4;0.4;0.41;0.41;0.4;0.39
Cambodia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Cameroon; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;4.09;4.1;4.15;4.15;4.55;4.7;6.56;6.42;5.9;5.88
Cameroon; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;2.36;2.36;2.42;2.43;2.82;3.03;3.02;2.85;2.54;2.58
Cameroon; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.16;0.17;0.16;0.14;0.16;0.12;0.1;0.12;0.12;0.1
Cameroon; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.01;0.01;0.01;0.01;0.01;0.01;0;0.03;0;0
Cameroon; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;1.56;1.56;1.56;1.56;1.56;1.54;3.43;3.42;3.24;3.21
Canada; (WDT) 1961-1992, Statistics Canada 1993-2018; All types;8;8.1;8.1;8.2;8;8.1;8.2;8.3;8.2;8.4
Canada; (WDT) 1961-1992, Statistics Canada 1993-2018; Beer;3.5;3.6;3.6;3.7;3.7;3.8;3.9;4;4;4.2
Canada; (WDT) 1961-1992, Statistics Canada 1993-2018; Wine;2;2.1;2.1;2.1;2;2;2;2;1.9;1.9
Canada; (WDT) 1961-1992, Statistics Canada 1993-2018; Spirits;2.1;2.1;2.1;2.1;2;2;2.1;2.1;2.1;2.1
