,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
32,106 Wolf Rd,Fast Food Restaurants,Albany,US,42.716812,-73.809319,McDonald's,12205,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
33,101 E 170th St,Fast Food,Bronx,US,40.839569,-73.915927,McDonald's,10452,NY,"http://mcdonalds.com,http://mcdonalds.com/"
34,103 Brookview Dr,Fast Food,Schenectady,US,42.741061,-73.913673,McDonald's,12303,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
35,1028 Mckinley Pkwy,Fast Food Restaurants,Buffalo,US,42.857899,-78.825089,McDonald's,14220,NY,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
36,10 Main St,Fast Food Restaurants,Tonawanda,US,43.021019,-78.878167,McDonald's,14150,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
37,300 Mishawum Rd,Fast Food,Woburn,US,42.503903,-71.132748,McDonald's,1801,MA,"http://mcdonalds.com,http://www.mcdonalds.com"
38,1190 Providence Rd,Fast Food Restaurant,Whitinsville,US,42.125526,-71.645913,McDonald's,1588,MA,http://www.mcdonalds.com
39,212 Main St,Fast Food,Wilmington,US,42.557448,-71.181499,McDonald's,1887,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
40,44 E Main St,Fast Food,Webster,US,42.055826,-71.873999,McDonald's,1570,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
41,789 Main St,Fast Food,Waltham,US,42.376247,-71.241667,McDonald's,2451,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
42,20 Main St,Fast Food Restaurant,Townsend,US,42.650503,-71.662674,McDonald's,1469,MA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
43,595 Main St,Fast Food Restaurant,Walpole,US,42.157222,-71.243549,McDonald's,2081,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
44,282 Winthrop St,Fast Food,Taunton,US,41.88896,-71.120789,McDonald's,2780,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
45,660 Liberty St,Fast Food,Springfield,US,42.12193,-72.584242,McDonald's,1104,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
46,360 Main St,Fast Food Restaurants,Springfield,US,42.091561,-72.579647,McDonald's,1105,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
47,2392 Main St,Fast Food Restaurants,Springfield,US,42.111552,-72.603359,McDonald's,1107,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
48,1402 Allen St,Fast Food Restaurant,Springfield,US,42.095053,-72.512539,McDonald's,1118,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
49,1610 Boston Rd,Fast Food Restaurants,Springfield,US,42.142989,-72.48923,McDonald's,1129,MA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
50,59 W Main St,Fast Food Restaurants,Spencer,US,42.23341,-72.012516,McDonald's,1562,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
51,59 W Main St,Fast Food,Spencer,US,42.23341,-72.012516,McDonald's,1562,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
52,1433 SW 107th Ave,Fast Food Restaurant,Miami,US,25.754984,-80.368058,Five Guys,33174,FL,http://fiveguys.com
53,1601 W Kirby St,Fast Food Restaurant and Mexican Restaurant,Wylie,US,33.007329,-96.554127,Taco Bell,75098,TX,http://www.tacobell.com
54,7425 S Broadway Ave,Fast Food Restaurant,Tyler,US,32.274786,-95.306757,Taco Bell,75703,TX,"https://locations.tacobell.com/tx/tyler/7425-s--broadway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028285andutm_content=website,http://www.tacobell.com"
55,100 Business Loop 70 E,Fast Food Restaurants,Columbia,US,38.964944,-92.336364,Burger King,65203,MO,https://locations.bk.com/mo/columbia/100-east-bus-loop-70.html
56,615 Martin Luther King Jr Blvd,Fast Food Restaurant and Burger Joint,Savannah,US,32.070343,-81.101032,Wendy's,31401,GA,http://www.wendys.com
57,1123 Roswell Rd,Fast Food Restaurant and Burger Joint,Marietta,US,33.95111,-84.518962,Wendy's,30062,GA,http://www.wendys.com
58,273 Keys Ferry St,Fast Food Restaurants,McDonough,US,33.446887,-84.138326,Wendy's,30253,GA,http://www.wendys.com
59,1117 W Spring St,Fast Food Restaurant,Monroe,US,33.792748,-83.731443,Wendy's,30655,GA,"http://www.wendys.com,http://wendys.com"
60,430 S Belair Rd,Fast Food Restaurants,Augusta,US,33.486344,-82.13351,Wendy's,30907,GA,"http://wendys.com,http://www.wendys.com"
61,2341 N Columbia St,Fast Food Restaurant,Milledgeville,US,33.108582,-83.254192,Wendy's,31061,GA,"http://www.wendys.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJYD3APfFyZb1SUEABa1jmpS3OwA6Ks1I57XZf6k02m5Dvu9lByiHtpkoNNoG8cU_ZaobcdIQRWWL0md66ueT5A43ZGYiNwtovEGOgxdPQDfBzBm_AmXzmBTBk62JzmDO7Dtx-HHkNoox5ES3Ec5dXFLuW5rWaPa1RvXLXPzhDXm3S_YlAKU2Boro-4PLACNUmcza8nrVy_fzm0xyTULUoEEZ9wFukyZHufUtWn-LoyAAUrKHW_eNWV5yj61VM-YKgztWPxr1m69CU3Xcnsy9RtabxZMeaeGXJWfgH0dotSNjDkyPtXFSEVmYtKsAZJBPQgMVY7eZIMgUPPdIqHv5K0g&placement=listing_profile&cs_user=unknown&cs_session=e403c58902631e046092996f08c79277aa889e60"
62,260 Cooper Rd,Fast Food Restaurant and Burger Joint,Loganville,US,33.880381,-83.939657,Wendy's,30052,GA,"http://www.wendys.com,http://wendys.com"
63,4331 Atlanta Hwy,Fast Food Restaurant,Loganville,US,33.839726,-83.905798,Wendy's,30052,GA,http://www.wendys.com
64,3015 Panola Rd,Fast Food Restaurant,Lithonia,US,33.699522,-84.17274,Wendy's,30038,GA,http://www.wendys.com
65,184 Endicott St,Fast food restaurants,Danvers,US,42.547923,-70.942014,Burger King,1923,MA,http://www.bk.com
66,1291 Boston Rd,Fast Food Restaurants,Springfield,US,42.140526,-72.50087,Boston Road Pizza,1119,MA,http://bostonroadpizza.com
67,6134 State Route 14,Fast Food Restaurant,Ravenna,US,41.157059,-81.219054,McDonald's,44266,OH,http://mcdonalds.com
68,4402 Little Rd,Fast Food Restaurant,Arlington,US,32.679467,-97.195027,Boston Market,76016,TX,"http://www.bostonmarket.com,http://bostonmarket.com"
69,15 Highland Ave,Fast Food Restaurants,Attleboro,US,41.92023235,-71.35787658,D'Angelo Grilled Sandwiches,2703,MA,"http://www.dangelos.com,http://dangelos.com"
70,2992 Jamacha Rd,Fast Food,El Cajon,US,32.739923,-116.942156,Burger King,92019,CA,"http://www.burgerking.com/,http://www.bk.com"
71,706 Fletcher Pkwy,Fast Food Restaurants,El Cajon,US,32.80827,-116.97137,Boston Market,92020,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735"
72,706 Fletcher Pkwy,Fast Food Restaurant,El Cajon,US,32.80827,-116.97137,Boston Market,92020,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735"
73,822 N Johnson Ave,Fast food restaurants,El Cajon,US,32.805945,-116.971542,Burger King,92020,CA,http://www.burgerking.com/
74,2819 Easton Rd,Fast Food Restaurants,Willow Grove,US,40.170877,-75.127393,Nino's Pizzarama,19090,PA,"http://www.ninospizzarama.com,http://ninospizzarama.net"
75,8924 Sierra Ave,Fast Food Restaurant,Fontana,US,34.091528,-117.43637,Carl's Jr,92335,CA,http://www.carlsjr.com
76,18025 Ventura Blvd,Fast Food,Encino,US,34.16469,-118.52474,Carl's Jr,91316,CA,http://www.carlsjr.com/
77,242 N El Camino Real,Fast food restaurants,Encinitas,US,33.051949,-117.260994,Burger King,92024,CA,http://www.burgerking.com/
78,9002 Firestone Blvd,Fast Food Restaurant,Downey,US,33.93527552,-118.1238946,Carl's Jr,90241,CA,http://www.carlsjr.com
79,9110 Imperial Hwy,Fast Food Restaurants,Downey,US,33.91684597,-118.1337577,Carl's Jr,90242,CA,http://www.carlsjr.com
80,962 Garnet Ave,Fast Food Restaurants,San Diego,US,32.797188,-117.2525,Filippi's Pizza Grotto,92109,CA,"http://www.realcheesepizza.com,http://www.realcheesepizza.com/web/locations/pb.html"
81,7011 Barker Cypress Rd,Fast food restaurants,Cypress,US,29.88081,-95.683922,Burger King,77433,TX,http://www.bk.com
82,7011 Barker Cypress Rd,Fast Food Restaurant and Burger Joint,Cypress,US,29.88081,-95.683922,Burger King,77433,TX,http://www.bk.com
83,2180 Contra Costa Blvd,Fast Food Restaurant,Pleasant Hill,US,37.946879,-122.060174,Boston Market,94523,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/pleasant-hill-ca-1961/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=1961"
84,3035 Castro Valley Blvd,Fast Food,Castro Valley,US,37.695437,-122.081735,Jack in the Box,94546,CA,"http://www.jackinthebox.com,http://www.jackinthebox.com/"
85,4302 Moorpark Ave,Fast Food,San Jose,US,37.315904,-121.977843,Round Table Pizza,95129,CA,"http://www.roundtablepizza.com/,http://roundtablepizza.com"
86,1751 S Alameda St,Fast Food Restaurants,Compton,US,33.894566,-118.220228,El Pollo Loco,90220,CA,http://www.elpolloloco.com
87,2244 Otay Lakes Rd,Fast Food Restaurant,Chula Vista,US,32.646857,-116.967527,Arby's,91915,CA,"http://www.arbys.com,https://locations.arbys.com/us/ca/chula-vista/2244-otay-lakes-rd.html,http://www.arbys.com/"
88,962 East Ave,Fast food restaurants,Chico,US,39.76117,-121.842187,Burger King,95926,CA,"https://locations.bk.com/ca/chico/962-east-ave.html,http://www.bk.com"
89,1170 W Branch St,Fast Food Restaurants,Arroyo Grande,US,35.1273,-120.598,In-N-Out Burger,93420,CA,http://www.in-n-out.com
90,73196 Highway 111,Fast Food Restaurants,Palm Desert,US,33.72118,-116.38791,Copper Oven Artisan Pizza,92260,CA,http://copperovenartisanpizza.com
91,20900 Roscoe Blvd,Fast Food Restaurant,Canoga Park,US,34.218957,-118.58903,Carl's Jr,91304,CA,"http://www.carlsjr.com,http://www.carlsjr.com/"
92,1760 41st Ave,Fast Food Restaurant,Capitola,US,36.975287,-121.963929,McDonald's,95010,CA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1Dtta5XsdiyvBJEV0mlmPAVL2Pu6RmeqLjpOAn33qz2UnedC1_zx5rpnLNrmgDLP8JD5ybb_0Q39GTiHHETlR-P6De5PcnwdlW-y8vyj8ebfPFpzbn9rFADOxR89FY8oXj4UIhDD_VtoRyzgHJH5V9Y-VMW6tYYPV1Mo1HKgwIeySRaqAGLkVvLdGz_CsMZ1suQUbuVO4npEtgjXhkTN1M6U6OnMStBos6B3SKu2FskRfaKS79IW6dtIJMgMX6YDrO3fsrAwOvRxD3y_9wUQipDE74g-3ujGiLw9Hu1VZzqhXGXny8vDUMMm7W9lxwbR6gY5u0kN8pas5HAodV4YJoO2wlriR6AFoJf1&placement=listing_profile.b&cs_user=unknown&cs_session=563e0edec6600f42076961856207b2e00e43040a"
93,401 Las Posas Rd,Fast Food Restaurant,Camarillo,US,34.221478,-119.070243,Carl's Jr,93010,CA,http://www.carlsjr.com
94,2871 Lenwood Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,US,34.867566,-117.114747,Del Taco,92311,CA,http://www.deltaco.com
95,12690 Ramona Blvd,Fast Food Restaurant,Baldwin Park,US,34.077713,-117.996169,Del Taco,91706,CA,"http://www.deltaco.com/,http://www.deltaco.com"
96,1210 N Hacienda Blvd,Fast Food,La Puente,US,34.0422696,-117.9493495,Little Caesars Pizza,91744,CA,"http://www.littlecaesars.com,http://www.littlecaesars.com/"
97,562 N Main St,Fast Food Restaurant,Bishop,US,37.365314,-118.39508,McDonald's,93514,CA,http://mcdonalds.com
98,1310 E Lamar St,Fast Food Restaurants,Americus,US,32.07128,-84.216974,McDonald's,31709,GA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJLAJ_vfQBtbvB4zGTnIYoWRbIEgmM7GACT2nb6P4T534O6zsqWMT1dGYn2yZmThdG2l6bxRAehX9MMRYzPPYWyr41EJtdRX7k2W2WlBonHxD4LoeEKDlC6HoS_lxNDt4TdZGM073h_gpe34ufzx1v9MJp9LaquUJq-1ADLw6yAaZQYpZYbTJ6EcC6EfvO9ETkn3vDUWIRGp_dWtsgvTj2j_rMgdtj0BF2b71HuiaZF9wJxPHjZM0xyP5GAMXUbwE9Eil7_kubblHoZV1pgJy9TsaPTE2jphduEIq5AoFtq0Xr5preciKefI9xkeVpjaUUFPnXuPQd2tiRlJ_TWt5Z4N7qfdZS2BAJ&placement=listing_profile&cs_user=unknown&cs_session=387e0e1c0d4afa4d7f617762d1f04373dd312c3d"
99,2009 E Greenville St,Fast Food Restaurant,Anderson,US,34.54701,-82.6319,Burger King,29621,SC,"https://locations.bk.com/sc/anderson/2009-e-greenville-st.html,http://www.bk.com"
100,2521 W Commonwealth Ave,Fast Food Restaurant,Alhambra,US,34.088183,-118.151437,Carl's Jr,91803,CA,"http://www.carlsjr.com,http://www.carlsjr.com/,http://carlsjr.com"
101,3450 Wrightsboro Rd Ste 2340,Fast Food Restaurants,Augusta,US,33.46734,-82.07989,Sbarro,30909,GA,http://www.sbarro.com
102,810 Oak Ave,Fast Food,Neoga,US,39.321895,-88.451273,Casey's General Store,62447,IL,http://www.caseys.com
103,701 S Van Buren St,Fast Food,Newton,US,38.983809,-88.161001,Casey's General Store,62448,IL,http://www.facebook.com/caseysgenstore
104,9175 De Soto Ave,Fast Food Restaurants,Chatsworth,US,34.23765,-118.58919,Chipotle Mexican Grill,91311,CA,"http://www.chipotle.com,http://chipotle.com"
105,328 N Main St,Fast Food Restaurants,Cedartown,US,34.017911,-85.253614,McDonald's,30125,GA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJdTI6hwkTdO70YISz9gWhZfxgpeYkj_-R9vOeA-p1khZDhlZfUGWLzjorWZg3AbwYZrHfJw5wxFp6UvANO_y4sUDxEjtjqYRURVajG48cn8DG8XtxI_quyfbdkLD8UAAE6l2unFkm-j08eNMRITEhxrf-0J0t7QQl_m5QBqQxGUAIJbP4tuCKlQ5UkS_2fbv0TNkOmTRColjTv49Ic8j4qdTS8opNbGJI7wG3MpG-XO2aQiFOAPyWLWvX5xc7tgkkSrWFPPf6568Z0ebn5QPYCxsczgnGFxXTbEtNwrbSzXMr0bAXtLCc7THhEc6fIeLJLRY2-BiFu2XQugiS_Jnt2c17suE6c9DV&placement=listing_profile&cs_user=unknown&cs_session=c67eaf7275f5c760207335f24d46a3bfc849009c"
106,3025 Main St,Fast food restaurants,Glastonbury,US,41.726353,-72.617608,Burger King,6033,CT,"http://www.bk.com,http://bk.com"
107,2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,US,41.720514,-72.614164,Boston Market,6033,CT,"http://www.bostonmarket.com,http://bostonmarket.com"
