Economy;Year;Economy Code;Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)
Mauritius;2017;MUS;36.02903
Malawi;2019;MWI;
Malaysia;2018;MYS;34.16717
Namibia;2017;NAM;42.49578
New Caledonia;2019;NCL;
Niger;2018;NER;18.02791
Nigeria;2019;NGA;
Nicaragua;2019;NIC;
Netherlands;2017;NLD;29.29293
Norway;2017;NOR;28.46429
Nepal;2019;NPL;
Nauru;2019;NRU;
New Zealand;2017;NZL;34.96016
Oman;2018;OMN;55.73442
Pakistan;2019;PAK;
Panama;2016;PAN;43.22296
Peru;2017;PER;47.80991
Philippines;2017;PHL;36.25297
Palau;2019;PLW;
Papua New Guinea;2019;PNG;
Poland;2017;POL;43.36165
Puerto Rico;2016;PRI;38.50121
Portugal;2017;PRT;37.76102
Paraguay;2019;PRY;
West Bank and Gaza;2018;PSE;44.27376
French Polynesia;2019;PYF;
Qatar;2018;QAT;47.57709
Romania;2016;ROU;41.21575
Russian Federation;2019;RUS;
Rwanda;2018;RWA;35.36145
Saudi Arabia;2018;SAU;36.822
Sudan;2015;SDN;47.18265
Senegal;2019;SEN;
Singapore;2017;SGP;34.26117
Solomon Islands;2019;SLB;
Sierra Leone;2019;SLE;
El Salvador;2018;SLV;23.1384
San Marino;2018;SMR;36
Somalia;2019;SOM;
Serbia;2018;SRB;42.55736
South Sudan;2019;SSD;
Sao Tome and Principe;2019;STP;
Suriname;2019;SUR;
Slovakia;2017;SVK;35.22112
Slovenia;2017;SVN;33.32192
Sweden;2017;SWE;35.47829
Eswatini;2015;SWZ;0
Sint Maarten (Dutch part);2015;SXM;75
Seychelles;2018;SYC;31.57895
Syrian Arab Republic;2016;SYR;49.50636
Turks and Caicos Islands;2019;TCA;
Chad;2019;TCD;
Togo;2019;TGO;
Thailand;2016;THA;30.13622
Tajikistan;2019;TJK;
Turkmenistan;2019;TKM;
Timor-Leste;2019;TLS;
Tonga;2019;TON;
Trinidad and Tobago;2019;TTO;
Tunisia;2018;TUN;55.4091
Turkiye;2014;TUR;34.68608
Tuvalu;2019;TUV;
Tanzania;2019;TZA;
Uganda;2019;UGA;
Ukraine;2018;UKR;28.78557
Uruguay;2017;URY;43.96355
United States;2016;USA;33.98544
Uzbekistan;2018;UZB;24.60623
St. Vincent and the Grenadines;2019;VCT;
British Virgin Islands;2019;VGB;
Virgin Islands (U.S.);2019;VIR;
Vietnam;2016;VNM;36.50885
Vanuatu;2019;VUT;
Samoa;2019;WSM;
Kosovo;2019;XKX;
South Africa;2017;ZAF;42.75694
Zambia;2019;ZMB;
Zimbabwe;2015;ZWE;28.79315
