Entity,Code,Year,Annual CO₂ emissions (per capita)
Angola,AGO,1990,0.4302999
Angola,AGO,1991,0.41411227
Angola,AGO,1992,0.40882212
Angola,AGO,1993,0.44088563
Angola,AGO,1994,0.2870682
Angola,AGO,1995,0.78699714
Angola,AGO,1996,0.72472626
Angola,AGO,1997,0.49408856
Angola,AGO,1998,0.472993
Angola,AGO,1999,0.5752866
Angola,AGO,2000,0.5804578
Angola,AGO,2001,0.57084024
Angola,AGO,2002,0.71922946
Angola,AGO,2003,0.49596107
Angola,AGO,2004,0.9962435
Angola,AGO,2005,0.9771234
Angola,AGO,2006,1.0961848
Angola,AGO,2007,1.1945307
Angola,AGO,2008,1.1749413
Angola,AGO,2009,1.2246922
Angola,AGO,2010,1.235416
Angola,AGO,2011,1.2502408
Angola,AGO,2012,1.0139624
Angola,AGO,2013,0.9453697
Angola,AGO,2014,0.9269858
Angola,AGO,2015,0.9076792
Angola,AGO,2016,0.9332855
Angola,AGO,2017,0.8045412
Angola,AGO,2018,0.72839534
Angola,AGO,2019,0.6743616
Angola,AGO,2020,0.60654044
Angola,AGO,2021,0.6191414
Anguilla,AIA,1990,6.1505995
Anguilla,AIA,1991,5.9384117
Anguilla,AIA,1992,6.167658
Anguilla,AIA,1993,7.2125983
Anguilla,AIA,1994,7.0303807
Anguilla,AIA,1995,6.8521557
Anguilla,AIA,1996,7.0418773
Anguilla,AIA,1997,6.857368
Anguilla,AIA,1998,7.371527
Anguilla,AIA,1999,7.502606
Anguilla,AIA,2000,7.942914
Anguilla,AIA,2001,8.380752
Anguilla,AIA,2002,8.224467
Anguilla,AIA,2003,8.723068
Anguilla,AIA,2004,10.112235
Anguilla,AIA,2005,10.555602
Anguilla,AIA,2006,11.573338
Anguilla,AIA,2007,11.973856
Anguilla,AIA,2008,11.77858
Anguilla,AIA,2009,11.299923
Anguilla,AIA,2010,11.387507
Anguilla,AIA,2011,10.693407
Anguilla,AIA,2012,10.60138
Anguilla,AIA,2013,8.541414
Anguilla,AIA,2014,9.844587
Anguilla,AIA,2015,10.573588
Anguilla,AIA,2016,10.368414
Anguilla,AIA,2017,9.501064
Anguilla,AIA,2018,9.4004345
Anguilla,AIA,2019,9.987539
Anguilla,AIA,2020,8.415962
Anguilla,AIA,2021,9.173204
Antigua and Barbuda,ATG,1957,0.42065784
Antigua and Barbuda,ATG,1958,0.55015016
Antigua and Barbuda,ATG,1959,0.53960717
Antigua and Barbuda,ATG,1960,0.66189754
Antigua and Barbuda,ATG,1961,0.8465804
Antigua and Barbuda,ATG,1962,1.7989444
Antigua and Barbuda,ATG,1963,1.4581444
Antigua and Barbuda,ATG,1964,1.5609556
Antigua and Barbuda,ATG,1965,2.5178332
Antigua and Barbuda,ATG,1966,5.740295
Antigua and Barbuda,ATG,1967,9.154947
Antigua and Barbuda,ATG,1968,15.784284
Antigua and Barbuda,ATG,1969,19.709738
Antigua and Barbuda,ATG,1970,7.153589
Antigua and Barbuda,ATG,1971,6.560835
Antigua and Barbuda,ATG,1972,5.7752504
Antigua and Barbuda,ATG,1973,5.1138268
Antigua and Barbuda,ATG,1974,6.6740565
Antigua and Barbuda,ATG,1975,11.040108
Antigua and Barbuda,ATG,1976,6.2964177
Antigua and Barbuda,ATG,1977,7.255106
Antigua and Barbuda,ATG,1978,7.6296563
Antigua and Barbuda,ATG,1979,6.292708
Antigua and Barbuda,ATG,1980,2.20155
Antigua and Barbuda,ATG,1981,1.6323972
Antigua and Barbuda,ATG,1982,4.492536
Antigua and Barbuda,ATG,1983,1.2880507
Antigua and Barbuda,ATG,1984,2.2416985
Antigua and Barbuda,ATG,1985,3.8291018
Antigua and Barbuda,ATG,1986,3.8489773
Antigua and Barbuda,ATG,1987,4.2688704
Antigua and Barbuda,ATG,1988,4.4653606
Antigua and Barbuda,ATG,1989,4.489561
Antigua and Barbuda,ATG,1990,3.4704638
Antigua and Barbuda,ATG,1991,3.3386016
Antigua and Barbuda,ATG,1992,3.2291422
Antigua and Barbuda,ATG,1993,3.2829049
Antigua and Barbuda,ATG,1994,3.2221313
Antigua and Barbuda,ATG,1995,3.2667904
Antigua and Barbuda,ATG,1996,3.4112036
Antigua and Barbuda,ATG,1997,3.6005785
Antigua and Barbuda,ATG,1998,3.7352216
Antigua and Barbuda,ATG,1999,3.821164
Antigua and Barbuda,ATG,2000,3.9046223
Antigua and Barbuda,ATG,2001,3.8934236
Antigua and Barbuda,ATG,2002,4.2706175
Antigua and Barbuda,ATG,2003,4.5040526
Antigua and Barbuda,ATG,2004,4.640618
Antigua and Barbuda,ATG,2005,4.6786766
Antigua and Barbuda,ATG,2006,4.7549715
Antigua and Barbuda,ATG,2007,4.957689
Antigua and Barbuda,ATG,2008,5.016345
Antigua and Barbuda,ATG,2009,5.2438197
Antigua and Barbuda,ATG,2010,5.300852
Antigua and Barbuda,ATG,2011,5.1106524
Antigua and Barbuda,ATG,2012,5.2230635
Antigua and Barbuda,ATG,2013,5.215835
Antigua and Barbuda,ATG,2014,5.17259
