DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Lithuania,2022,15.4,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Luxembourg,2022,17.8,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Latvia,2022,,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Malta,2022,23.5,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Netherlands,2022,15.2,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Poland,2022,9.7,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Portugal,2022,12.7,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Romania,2022,29.9,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Sweden,2022,23.3,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Slovenia,2022,,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Slovakia,2022,,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Austria,2022,85.4,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Belgium,2022,88.7,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Bulgaria,2022,68.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Cyprus,2022,69.8,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Czechia,2022,89.9,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Germany,2022,84.8,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Denmark,2022,68.7,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Estonia,2022,83.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Greece,2022,77.2,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Spain,2022,83.3,d
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,European Union - 27 countries (from 2020),2022,84.4,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Finland,2022,83.4,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,France,2022,86.6,d
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Croatia,2022,87.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Hungary,2022,88.3,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Ireland,2022,76.4,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Italy,2022,85.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Lithuania,2022,84.6,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Luxembourg,2022,82.2,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Latvia,2022,91.0,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Malta,2022,76.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Netherlands,2022,84.8,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Poland,2022,90.3,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Portugal,2022,87.3,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Romania,2022,70.1,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Sweden,2022,76.7,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Slovenia,2022,93.0,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Males,Slovakia,2022,88.5,
