"person","date"
"a",2023-10-03
"a",2023-10-02
"a",2023-09-30
"a",2023-09-20
"a",2023-09-18
"a",2023-09-14
"a",2023-09-10
"a",2023-09-08
"a",2023-09-02
"a",2023-09-02
"a",2023-09-02
"a",2023-08-29
"a",2023-08-26
"a",2023-08-21
"a",2023-08-19
"a",2023-08-14
"a",2023-08-11
"a",2023-08-10
"a",2023-08-10
"a",2023-08-10
"a",2023-08-10
"a",2023-08-09
"a",2023-08-09
"a",2023-08-07
"a",2023-08-07
"a",2023-08-06
"a",2023-08-06
"a",2023-08-05
"a",2023-08-05
"a",2023-08-05
"a",2023-08-05
"a",2023-08-05
"a",2023-08-05
"a",2023-08-05
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-04
"a",2023-08-03
"a",2023-08-02
"a",2023-08-02
"a",2023-08-01
"a",2023-07-31
"a",2023-06-25
"a",2023-06-11
"a",2023-06-10
"a",2023-06-10
"a",2023-06-06
"a",2023-06-03
"a",2023-06-01
"a",2023-05-28
"a",2023-05-27
"a",2023-05-23
"a",2023-05-19
"a",2023-05-18
"a",2023-04-23
"a",2023-04-22
"a",2023-04-17
"a",2023-04-16
"a",2023-04-16
"a",2023-04-07
"a",2023-04-05
"a",2023-03-20
"a",2023-03-14
"a",2023-03-10
"a",2023-03-08
"a",2023-03-05
"a",2023-03-03
"a",2023-03-03
"a",2023-02-28
"a",2023-02-26
"a",2023-02-25
"a",2023-02-18
"a",2023-02-18
"a",2023-02-10
"a",2023-02-09
"a",2023-02-07
"a",2023-02-04
"a",2023-02-02
"a",2023-01-29
"a",2023-01-22
"a",2023-01-21
"a",2023-01-21
"a",2023-01-20
"a",2023-01-17
"a",2023-01-12
"a",2023-01-10
"a",2023-01-10
"a",2023-01-10
"a",2023-01-10
"a",2023-01-10
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-09
"a",2023-01-08
"a",2023-01-08
"a",2023-01-08
"a",2023-01-08
"a",2023-01-08
"a",2023-01-08
"a",2023-01-07
"a",2023-01-05
"a",2023-01-04
"a",2023-01-01
"a",2023-01-01
"a",2022-12-31
"a",2022-12-26
"a",2022-12-03
"a",2022-12-02
"a",2022-12-01
"a",2022-11-30
"a",2022-11-30
"a",2022-11-30
"a",2022-11-16
"a",2022-11-13
"a",2022-11-12
"a",2022-11-11
"a",2022-11-10
"a",2022-11-06
"a",2022-11-05
"a",2022-11-05
"a",2022-11-03
"a",2022-11-03
"a",2022-11-01
"a",2022-10-30
"a",2022-10-28
"a",2022-10-27
"a",2022-10-27
"a",2022-10-27
"a",2022-10-26
"a",2022-10-24
"a",2022-10-20
"a",2022-10-18
"a",2022-10-16
"a",2022-10-15
"a",2022-10-12
"a",2022-10-09
"a",2022-10-08
"a",2022-10-08
"a",2022-10-08
"a",2022-10-08
"a",2022-10-08
"a",2022-10-07
"a",2022-10-06
"a",2022-10-06
"a",2022-10-05
"a",2022-10-05
"a",2022-10-05
"a",2022-10-04
"a",2022-10-04
"a",2022-10-04
"a",2022-10-04
"a",2022-10-04
"a",2022-10-04
"a",2022-10-03
"a",2022-10-03
"a",2022-10-03
"a",2022-10-02
"a",2022-10-02
"a",2022-10-02
"a",2022-10-02
"a",2022-10-02
"a",2022-10-02
"a",2022-10-02
"a",2022-10-01
"a",2022-10-01
"a",2022-10-01
"a",2022-10-01
"a",2022-10-01
"a",2022-09-30
"a",2022-09-30
"a",2022-09-29
"a",2022-09-26
"a",2022-09-26
"a",2022-09-26
"a",2022-09-26
"a",2022-09-26
"a",2022-09-25
"a",2022-09-25
"a",2022-09-25
"a",2022-09-23
"a",2022-09-23
"a",2022-09-23
"a",2022-09-22
"a",2022-09-22
"a",2022-09-22
"a",2022-09-21
"a",2022-09-20
"a",2022-09-20
"a",2022-09-20
"a",2022-09-19
"a",2022-09-19
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-17
"a",2022-09-14
"a",2022-09-13
"a",2022-09-11
"a",2022-09-11
"a",2022-09-10
"a",2022-09-03
"a",2022-09-03
"a",2022-09-02
"a",2022-09-02
"a",2022-09-01
"a",2022-08-27
"a",2022-08-27
"a",2022-08-27
"a",2022-08-27
"a",2022-08-27
"a",2022-08-26
"a",2022-08-25
"a",2022-08-22
"a",2022-08-21
"a",2022-08-20
"a",2022-08-15
"a",2022-08-13
"a",2022-08-05
"a",2022-08-02
"a",2022-07-31
"a",2022-07-30
"a",2022-07-30
"a",2022-07-30
"a",2022-07-30
"a",2022-07-30
"a",2022-07-29
"a",2022-07-28
"a",2022-07-28
"a",2022-07-28
"a",2022-07-27
"a",2022-07-26
"a",2022-07-26
"a",2022-07-22
"a",2022-06-03
"a",2022-05-18
"a",2022-05-18
"a",2022-03-29
"a",2022-01-16
"a",2022-01-13
"a",2022-01-12
"a",2021-12-19
"a",2021-12-14
"a",2021-12-14
"a",2021-12-06
"a",2021-12-05
"a",2021-12-05
"a",2021-11-03
"a",2021-10-24
"a",2021-10-23
"a",2021-09-29
"a",2021-09-26
"a",2021-09-25
"a",2021-09-23
"a",2021-09-09
"a",2021-09-05
"a",2021-09-05
"a",2021-09-05
"a",2021-09-04
"a",2021-09-01
"a",2021-08-26
"a",2021-08-26
"a",2021-08-26
"a",2021-08-19
"a",2021-08-19
"a",2021-08-18
"a",2021-08-15
"a",2021-08-15
"a",2021-08-14
"a",2021-08-12
"a",2021-08-11
"a",2021-08-07
"a",2021-08-07
"a",2021-08-06
"a",2021-08-04
"a",2021-08-03
"a",2021-08-03
"a",2021-08-02
"a",2021-08-02
"a",2021-08-02
"a",2021-08-01
"a",2021-07-31
"a",2021-07-31
"a",2021-07-30
"a",2021-07-30
"a",2021-07-29
"a",2021-07-29
"a",2021-07-29
"a",2021-07-29
"a",2021-07-28
"a",2021-07-28
"a",2021-07-27
"a",2021-07-26
"a",2021-07-25
"a",2021-07-24
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-22
"a",2021-07-19
"a",2021-07-16
"a",2021-07-16
"a",2021-07-12
"a",2021-07-11
"a",2021-07-10
"a",2021-07-09
"a",2021-07-06
"a",2021-07-06
"a",2021-06-28
"a",2021-06-26
"a",2021-06-24
"a",2021-06-23
"a",2021-06-04
"a",2021-06-02
"a",2021-06-02
"a",2021-05-19
"a",2021-05-17
"a",2021-05-15
"a",2021-05-12
"a",2021-05-08
"a",2021-04-13
"a",2021-01-22
"a",2021-01-22
"a",2020-12-22
"a",2020-11-04
"a",2020-10-30
"a",2020-10-20
"a",2020-10-19
"a",2020-10-13
"a",2020-10-11
"a",2020-10-10
"a",2020-10-07
"a",2020-10-05
"a",2020-09-22
"a",2020-08-30
"a",2020-08-22
"a",2020-08-18
"a",2020-08-18
"a",2020-08-16
"a",2020-08-14
"a",2020-08-14
"a",2020-08-13
"a",2020-08-13
"a",2020-08-13
"a",2020-08-12
"a",2020-08-12
"a",2020-08-12
"a",2020-08-12
"a",2020-08-06
"a",2020-08-06
"a",2020-08-03
"a",2020-07-31
"a",2020-07-29
"a",2020-07-29
"a",2020-07-29
"a",2020-07-23
"a",2020-07-21
"a",2020-07-06
"a",2020-06-21
"a",2020-06-18
"a",2020-06-06
"a",2020-06-02
"a",2020-05-25
"a",2020-05-24
"a",2020-03-25
"a",2020-03-23
"a",2020-03-14
"a",2020-03-11
"a",2020-03-10
"a",2020-03-09
"a",2020-03-08
"a",2020-03-08
"a",2020-03-07
"a",2020-03-06
"a",2020-03-03
"a",2020-02-20
"a",2020-02-09
"a",2020-02-06
"a",2020-02-04
"a",2020-02-01
"a",2020-01-31
"a",2020-01-28
"a",2020-01-27
"a",2020-01-27
"a",2020-01-24
"a",2020-01-20
"a",2020-01-08
"a",2020-01-07
"a",2020-01-04
"a",2020-01-02
"a",2020-01-01
"a",2020-01-01
"a",2019-12-29
"a",2019-12-28
"a",2019-12-23
"a",2019-12-21
"a",2019-12-20
"a",2019-12-18
"a",2019-12-18
"a",2019-12-17
"a",2019-12-16
"a",2019-12-13
"a",2019-12-12
"a",2019-12-11
"a",2019-12-11
"a",2019-12-08
"a",2019-12-08
"a",2019-12-07
"a",2019-12-05
"a",2019-12-04
"a",2019-12-03
"a",2019-11-28
"a",2019-11-26
"a",2019-11-23
"a",2019-11-17
"a",2019-11-17
"a",2019-11-16
"a",2019-11-15
"a",2019-11-09
"a",2019-11-07
"a",2019-11-04
"a",2019-11-03
"a",2019-11-01
"a",2019-11-01
"a",2019-10-31
"a",2019-10-30
"a",2019-10-29
"a",2019-10-27
"a",2019-10-25
"a",2019-10-25
"a",2019-10-24
"a",2019-10-24
"a",2019-10-24
"a",2019-10-23
"a",2019-10-23
"a",2019-10-22
"a",2019-10-19
"a",2019-10-17
"a",2019-10-16
"a",2019-10-15
"a",2019-10-15
"a",2019-10-15
"a",2019-10-15
"a",2019-10-14
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-12
"a",2019-10-10
"a",2019-10-08
"a",2019-10-08
"a",2019-10-05
"a",2019-10-05
"a",2019-10-05
"a",2019-10-03
"a",2019-10-01
"a",2019-10-01
"a",2019-09-30
"a",2019-09-29
"a",2019-09-29
"a",2019-09-29
"a",2019-09-22
"a",2019-09-21
"a",2019-09-18
"a",2019-09-16
"a",2019-09-16
"a",2019-09-16
"a",2019-09-15
"a",2019-09-15
"a",2019-09-14
"a",2019-09-14
"a",2019-09-13
"a",2019-09-13
"a",2019-09-11
"a",2019-09-07
"a",2019-09-07
"a",2019-09-06
"a",2019-09-06
"a",2019-09-06
"a",2019-09-05
"a",2019-09-05
"a",2019-09-05
"a",2019-09-04
"a",2019-09-04
"a",2019-09-03
"a",2019-09-03
"a",2019-09-03
"a",2019-09-03
"a",2019-09-03
"a",2019-09-02
"a",2019-09-02
"a",2019-09-02
"a",2019-09-02
"a",2019-09-02
"a",2019-09-02
"a",2019-09-02
"a",2019-09-01
"a",2019-09-01
"a",2019-09-01
"a",2019-09-01
"a",2019-09-01
"a",2019-08-30
"a",2019-08-29
"a",2019-08-29
"a",2019-08-27
"a",2019-08-26
"a",2019-08-26
"a",2019-08-25
"a",2019-08-23
"a",2019-08-19
"a",2019-08-11
"a",2019-08-09
"a",2019-08-08
"a",2019-08-07
"a",2019-08-07
"a",2019-08-07
"a",2019-08-06
"a",2019-08-06
"a",2019-08-06
"a",2019-08-06
"a",2019-08-02
"a",2019-07-26
"a",2019-07-26
"a",2019-07-22
"a",2019-07-22
"a",2019-07-21
"a",2019-07-18
"a",2019-07-17
"a",2019-07-17
"a",2019-07-17
"a",2019-07-17
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-16
"a",2019-07-15
"a",2019-07-14
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-13
"a",2019-07-08
"a",2019-06-21
"a",2019-06-01
"a",2019-05-31
"a",2019-05-30
"a",2019-05-30
"a",2019-04-20
"a",2019-04-14
"a",2019-04-14
"a",2019-04-09
"a",2019-04-06
"a",2019-03-27
"a",2019-02-23
"a",2019-02-23
"a",2019-02-22
"a",2019-02-02
"a",2019-01-31
"a",2019-01-31
"a",2019-01-28
"a",2019-01-27
"a",2019-01-20
"a",2019-01-02
"a",2018-12-17
"a",2018-12-12
"a",2018-11-25
"a",2018-11-21
"a",2018-11-19
"a",2018-11-18
"a",2018-11-17
"a",2018-11-17
"a",2018-11-17
"a",2018-11-17
"a",2018-11-16
"a",2018-11-15
"a",2018-11-11
"a",2018-10-30
"a",2018-10-30
"a",2018-10-30
"a",2018-10-29
"a",2018-10-28
"a",2018-10-28
"a",2018-10-28
"a",2018-10-22
"a",2018-10-12
"a",2018-09-19
"a",2018-09-14
"a",2018-09-14
"a",2018-09-12
"a",2018-09-12
"a",2018-09-11
"a",2018-09-11
"a",2018-09-10
"a",2018-09-09
"a",2018-09-09
"a",2018-09-07
"a",2018-09-04
"a",2018-09-01
"a",2018-08-31
"a",2018-08-31
"a",2018-08-29
"a",2018-08-23
"a",2018-08-22
"a",2018-08-14
"a",2018-08-02
"a",2018-07-29
"a",2018-07-23
"a",2018-07-19
"a",2018-07-08
"a",2018-07-06
"a",2018-07-06
"a",2018-07-06
"a",2018-07-06
"a",2018-07-06
"a",2018-07-05
"a",2018-07-05
"a",2018-07-05
"a",2018-07-05
"a",2018-07-05
"a",2018-07-04
"a",2018-07-03
"a",2018-06-28
"a",2018-06-27
"a",2018-06-27
"a",2018-06-26
"a",2018-06-26
"a",2018-06-24
"a",2018-06-21
"a",2018-06-20
"a",2018-06-16
"a",2018-06-16
"a",2018-06-13
"a",2018-06-13
"a",2018-06-13
"a",2018-06-12
"a",2018-06-07
"a",2018-06-07
"a",2018-06-06
"a",2018-06-05
"a",2018-06-02
"a",2018-06-02
"a",2018-06-01
"a",2018-05-29
"a",2018-05-26
"a",2018-05-25
"a",2018-05-25
"a",2018-05-25
"a",2018-05-25
"a",2018-05-24
"a",2018-05-22
"a",2018-05-21
"a",2018-05-20
"a",2018-05-20
"a",2018-05-17
"a",2018-04-16
"a",2018-02-28
"a",2018-02-11
"a",2018-02-10
"a",2018-02-10
"a",2018-02-10
"a",2018-02-09
"a",2018-02-07
"a",2018-02-07
"a",2018-02-07
"a",2018-02-04
"a",2018-02-01
"a",2018-01-31
"a",2018-01-26
"a",2018-01-15
"a",2018-01-09
"a",2018-01-04
"a",2018-01-04
"a",2017-12-25
"a",2017-12-20
"a",2017-12-20
"a",2017-12-19
"a",2017-12-14
"a",2017-12-10
"a",2017-12-10
"a",2017-12-10
"a",2017-12-09
"a",2017-12-08
"a",2017-12-07
"a",2017-12-07
"a",2017-12-05
"a",2017-12-05
"a",2017-12-05
"a",2017-11-21
"a",2017-11-20
"a",2017-11-12
"a",2017-11-10
"a",2017-11-02
"a",2017-11-02
"a",2017-10-28
"a",2017-10-28
"a",2017-10-27
"a",2017-10-27
"a",2017-10-27
"a",2017-10-19
"a",2017-10-19
"a",2017-10-17
"a",2017-10-17
"a",2017-10-13
"a",2017-10-05
"a",2017-10-03
"a",2017-09-29
"a",2017-09-29
"a",2017-09-28
"a",2017-09-27
"a",2017-09-26
"a",2017-09-26
"a",2017-09-23
"a",2017-09-23
"a",2017-09-16
"a",2017-09-14
"a",2017-09-11
"a",2017-09-11
"a",2017-09-11
"a",2017-09-10
"a",2017-09-10
"a",2017-09-08
"a",2017-09-08
"a",2017-09-07
"a",2017-09-07
"a",2017-09-03
"a",2017-09-01
"a",2017-09-01
"a",2017-09-01
"a",2017-08-17
"a",2017-07-30
"a",2017-07-29
"a",2017-07-29
"a",2017-07-28
"a",2017-07-25
"a",2017-07-22
"a",2017-07-22
"a",2017-07-18
"a",2017-07-18
"a",2017-07-18
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-17
"a",2017-07-16
"a",2017-07-16
"a",2017-07-14
"a",2017-07-14
"a",2017-07-14
"a",2017-07-14
"a",2017-07-14
"a",2017-07-14
"a",2017-07-13
"a",2017-07-11
"a",2017-07-11
"a",2017-07-11
"a",2017-07-11
"a",2017-07-11
"a",2017-07-11
"a",2017-07-07
"a",2017-06-24
"a",2017-06-24
"a",2017-06-20
"a",2017-06-03
"a",2017-06-02
"a",2017-05-25
"a",2017-05-11
"a",2017-05-08
"a",2017-05-05
"a",2017-05-02
"a",2017-05-01
"a",2017-05-01
"a",2017-04-13
"a",2017-03-30
"a",2017-03-10
"a",2017-03-06
"a",2017-03-04
"a",2017-03-02
"a",2017-03-01
"a",2017-02-27
"a",2017-02-24
"a",2017-02-19
"a",2017-02-19
"a",2017-02-09
"a",2017-02-09
"a",2017-02-09
"a",2017-01-27
"a",2017-01-22
"a",2017-01-13
"a",2017-01-02
"a",2016-12-23
"a",2016-12-19
"a",2016-12-17
"a",2016-12-16
"a",2016-12-16
"a",2016-12-05
"a",2016-11-29
"a",2016-11-26
"a",2016-11-23
"a",2016-11-15
"a",2016-11-15
"a",2016-11-14
"a",2016-11-09
"a",2016-11-03
"a",2016-11-03
"a",2016-11-03
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-11-02
"a",2016-10-27
"a",2016-10-22
"a",2016-10-11
"a",2016-10-11
"a",2016-10-10
"a",2016-10-08
"a",2016-10-06
"a",2016-10-04
"a",2016-09-28
"a",2016-09-27
"a",2016-09-25
"a",2016-09-18
"a",2016-09-17
"a",2016-09-13
"a",2016-09-12
"a",2016-09-07
"a",2016-09-05
"a",2016-09-03
"a",2016-09-02
"a",2016-09-01
"a",2016-09-01
"a",2016-08-31
"a",2016-08-31
"a",2016-08-31
"a",2016-08-31
"a",2016-08-31
"a",2016-08-31
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"a",2016-08-30
"z",2023-11-16
"z",2023-11-15
"z",2023-11-03
"z",2023-11-02
"z",2023-10-29
"z",2023-09-21
"z",2023-09-20
"z",2023-09-17
"z",2023-08-31
"z",2023-08-30
"z",2023-08-21
"z",2023-08-18
