"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1590.23435097738,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1587.29507479661,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1585.59508664181,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1581.59598872649,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1575.45686873281,,
"BEL","Belgium","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1574.11319301848,,
"BEL","Belgium","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1578.01368853322,,
"BEL","Belgium","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1579.84267657375,,
"BEL","Belgium","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1577.09552214414,,
"BEL","Belgium","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1445.92409611498,,
"BEL","Belgium","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1525.81527730452,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1717.52060369463,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1715.7206151063,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1725.37933679401,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1718.37640905171,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1716.49357799,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1716.37506325532,,
"CAN","Canada","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1709.74907516599,,
"CAN","Canada","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1698.90460612687,,
"CAN","Canada","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1714.64583208854,,
"CAN","Canada","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1703.17555532997,,
"CAN","Canada","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1676.15833265167,,
"CAN","Canada","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1705.94076386003,,
"CAN","Canada","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1702.24771311254,,
"CAN","Canada","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1715,,
"CAN","Canada","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1711,,
"CAN","Canada","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1721,,
"CAN","Canada","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1714,,
"CAN","Canada","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1709,,
"CAN","Canada","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1710,,
"CAN","Canada","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1701,,
"CAN","Canada","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1689,,
"CAN","Canada","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1702,,
"CAN","Canada","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1691,,
"CAN","Canada","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1653,,
"CAN","Canada","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1685,,
"CAN","Canada","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1686,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1731.39213840517,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1740.03901512805,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1728.54097273498,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1725.44064538446,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1733.03710861788,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1709.20963649054,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1733.59678576477,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1730.9899384819,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1738.43331326127,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1747.26491290474,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1644.01281778734,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1688.40164470695,,
"CZE","Czechia","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1716.62429837283,,
"CZE","Czechia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1799.09974628458,,
"CZE","Czechia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1805.47336955466,,
"CZE","Czechia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776.44831609381,,
"CZE","Czechia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1764.30200770331,,
"CZE","Czechia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1773.81180970635,,
"CZE","Czechia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1751.47421425254,,
"CZE","Czechia","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1774.04635487219,,
"CZE","Czechia","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1776.44770281944,,
"CZE","Czechia","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1784.66636269155,,
"CZE","Czechia","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1786.03344465839,,
"CZE","Czechia","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1676.85340055456,,
"CZE","Czechia","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1722.1239522772,,
"CZE","Czechia","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1754.05032952875,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1398.97933553883,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1412.80068596507,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1400.97237774206,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1402.70600024123,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1391.12569915217,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1379.93548011519,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1389.80435733225,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1383.85454646369,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1362.70325429809,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1359.61647405393,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1332.07377421123,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1351.32605696172,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1360.15385733661,,
"DNK","Denmark","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1422.30839756429,,
"DNK","Denmark","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1436.98118299249,,
"DNK","Denmark","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1423.3462832508,,
"DNK","Denmark","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1425.63357544074,,
"DNK","Denmark","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1413.80721530672,,
"DNK","Denmark","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1407.14910367558,,
"DNK","Denmark","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1412.04476904186,,
"DNK","Denmark","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1404.20432783947,,
"DNK","Denmark","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1380.85898408217,,
"DNK","Denmark","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1371.38626775091,,
"DNK","Denmark","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1344.85132862429,,
"DNK","Denmark","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1362.87913386047,,
"DNK","Denmark","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1371.60609615354,,
"FIN","Finland","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1521.39633917698,,
"FIN","Finland","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1521.33877222061,,
"FIN","Finland","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1512.7586323513,,
"FIN","Finland","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1509.04136376565,,
"FIN","Finland","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1506.26164573486,,
"FIN","Finland","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1504.89442202407,,
"FIN","Finland","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1505.15608599404,,
"FIN","Finland","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1502.22127202304,,
"FIN","Finland","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1499.39759706372,,
"FIN","Finland","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1494.28717968551,,
"FIN","Finland","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1488.74566692943,,
"FIN","Finland","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1481.89785590095,,
"FIN","Finland","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1459.23954820877,,
"FIN","Finland","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1585.26353620659,,
"FIN","Finland","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1577.89762882815,,
"FIN","Finland","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1567.66869862406,,
"FIN","Finland","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1560.35181150273,,
"FIN","Finland","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1557.79734354888,,
"FIN","Finland","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1555.48033116489,,
"FIN","Finland","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1554.67045169749,,
"FIN","Finland","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1548.87961089044,,
"FIN","Finland","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1546.37323846403,,
"FIN","Finland","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1538.37118618515,,
"FIN","Finland","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1529.94896559755,,
"FIN","Finland","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1525.04134175477,,
"FIN","Finland","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1498.06870354781,,
"FRA","France","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1438.6353066842,,
"FRA","France","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1445.2938842299,,
"FRA","France","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1439.77200589005,,
"FRA","France","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1427.37394940757,,
"FRA","France","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1421.86100559572,,
"FRA","France","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1422.21671624761,,
"FRA","France","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1427.59900469332,,
"FRA","France","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1416.45472724364,,
"FRA","France","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1424.02123613312,,
"FRA","France","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1428.33308480163,,
"FRA","France","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1322.74069665953,,
"FRA","France","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1401.37608889233,,
"FRA","France","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1427.44828238499,,
"FRA","France","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1539.80306190866,,
"FRA","France","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1546.33118899734,,
"FRA","France","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1540.88061901253,,
"FRA","France","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1526.24200073556,,
"FRA","France","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1518.11103387722,,
"FRA","France","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1519.48435617539,,
"FRA","France","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1522.06935829071,,
"FRA","France","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1507.60482048707,,
"FRA","France","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1514.41032743803,,
"FRA","France","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1518.15725565889,,
"FRA","France","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1402.64350837515,,
"FRA","France","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1483.79270520909,,
"FRA","France","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1511.40022225215,,
"DEU","Germany","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1349.9,,
"DEU","Germany","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1353.5,,
"DEU","Germany","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1336.1,,
"DEU","Germany","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1326.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1333.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1336.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1333.9,,
"DEU","Germany","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1331.2,,
"DEU","Germany","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1325.6,,
"DEU","Germany","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1319.6,,
"DEU","Germany","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1275.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1295.4,,
"DEU","Germany","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1295.2,,
"DEU","Germany","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1425.74159520561,,
"DEU","Germany","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1426.90082803774,,
"DEU","Germany","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1407.98776743854,,
"DEU","Germany","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1396.46680047225,,
"DEU","Germany","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1400.41288827509,,
"DEU","Germany","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1400.95176476045,,
"DEU","Germany","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1395.59735232816,,
"DEU","Germany","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1389.13344331202,,
"DEU","Germany","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1380.67732804351,,
"DEU","Germany","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1372.15252777348,,
"DEU","Germany","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1319.1306913058,,
"DEU","Germany","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1340.16562916852,,
"DEU","Germany","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1340.86197059469,,
"GRC","Greece","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1711.86163174536,,
"GRC","Greece","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1726.19239762868,,
"GRC","Greece","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1737.00433448151,,
"GRC","Greece","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1735.88807014703,,
"GRC","Greece","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1707.26885576668,,
"GRC","Greece","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1706.06073998713,,
"GRC","Greece","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1726.70086592117,,
"GRC","Greece","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1714.91964545261,,
"GRC","Greece","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1734.15069827828,,
"GRC","Greece","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1708.04888873537,,
"GRC","Greece","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1538.99136090655,,
"GRC","Greece","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1649.44055553636,,
"GRC","Greece","DE","Dependent employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1687.29529961217,,
"GRC","Greece","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1931.07982475913,,
"GRC","Greece","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1950.22069420752,,
"GRC","Greece","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1989.93137331474,,
"GRC","Greece","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1996.60648416968,,
"GRC","Greece","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1949.33400057264,,
"GRC","Greece","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1934.9868080525,,
"GRC","Greece","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1942.72654348523,,
"GRC","Greece","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1946.94095359204,,
"GRC","Greece","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1961.08118109017,,
"GRC","Greece","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1917.59521022887,,
"GRC","Greece","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1731.88831125499,,
"GRC","Greece","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1854.2687906331,,
"GRC","Greece","TE","Total employment","A","Annual","2022","2022","HOUR","Hours","0","Units",,,1886.2939579691,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1684.0472792307,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1674.93567459841,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1665.52326458591,,
