disappearance,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Malta,19.6129985,12.9450024,15.8150009,21.7720011,11.590998,21.2016405,9.0750699,8.8473596,6.5857612,8.6434385,8.8105016,9.0843982,8.8342425,10.562217,15.5230233,16.2784546,28.8119257,15.906515,22.7471165,14.1236398,12.027799,15.5570067,20.9978384,22.0,,,,,
   Netherlands,2382.753011,2487.6610111,3260.867014,2719.4520038,2122.2060116,2293.421015,2509.3582115,2366.7278203,1960.9175199,1471.2489168,1859.7716796,1677.0782898,1573.917885,1742.5018889,1978.1406346,1926.9309681,2128.7880598,2292.0910668,1323.56366,897.8116087,1347.0822875,909.250259,1382.4607587,1625.0,,,,,
   Poland,334.5920014,243.0240021,1650.229026,1544.7148774,1742.1634066,1636.6600966,1755.4562076,1966.0176058,1964.5376172,1985.3050368,2045.5876921,2222.4250766,2201.1288641,2242.1160696,2281.1074448,2267.4295739,1993.0765295,1554.3648505,1681.0872063,2001.0076874,2155.7120183,2034.2879275,1936.1266915,1669.0,,,,,
   Portugal,467.0189996,448.3889996,572.9140007,529.1770023,672.8110024,632.178999,615.0945992,602.8805005,695.8544007,736.9021018,646.3940922,745.4962916,719.5821928,657.3692826,762.6503143,744.2368889,768.0140824,768.8582821,746.5084817,731.0854139,812.1722278,858.9247851,828.0796456,840.0,,,,,
   Romania,441.5340034,335.4170121,600.6830223,419.5900155,347.0469961,549.7760057,696.168,630.3010049,584.4650038,506.8734077,551.0259948,632.5168953,737.5490064,754.9938936,818.2387046,857.0627917,835.1256111,823.5732369,806.767141,774.9448214,795.8747431,801.9002007,849.2236104,891.0,,,,,
   Slovakia,,,,275.6959934,233.55522,222.9942398,244.4693742,234.4557885,241.4932251,249.0184932,263.3157415,283.7148754,275.2957982,285.4262863,283.1756553,293.2365048,280.9030874,356.3345739,341.0349294,212.7452448,337.0669734,387.7413126,201.0764773,328.0,,,,,
   Slovenia,,,115.4989991,147.5879977,152.0600034,139.5290004,163.8322315,160.7265888,162.0289662,170.5529448,172.6641424,182.8490011,188.4655142,166.5988968,184.9618615,181.471872,175.6884316,194.9588755,194.1698724,198.2751228,205.0660836,207.7191547,184.991224,184.0,,,,,
   Spain,2713.7130002,2651.2680008,3044.6790016,2727.6109999,2774.1880012,2731.7360034,2901.2022034,2977.1332993,2996.3625006,3324.0301,2991.3638381,2795.0254889,2833.0362799,2740.3989013,2705.4122029,3007.2495604,3016.6484311,3198.1131017,3485.4755818,3351.8664825,3231.8615047,3148.7311307,3435.225278,3234.0,,,,,
   Sweden,1689.3419997,1603.5569941,1634.1349954,1618.3940015,1669.3730005,1203.8419909,1297.7987908,1240.7410891,1248.1246908,1279.2211944,1173.0894861,1251.4479866,1224.3520036,1178.293186,1233.5061894,1169.8317427,1315.0355558,1244.3056564,1272.45469,1132.8926737,1221.4490829,1125.013125,1159.3298765,1175.0,,,,,
   United Kingdom,2348.0870104,2341.7400035,2516.0080077,2533.6880114,2639.7380123,2199.8060182,2406.0605155,2440.7665182,2587.8203149,2275.7643115,2342.2825933,2214.8251521,2260.7400997,2235.795821,2458.4958999,2680.2344747,3058.7887185,2823.698258,3067.4315451,3220.1118656,3134.1443042,2925.4494609,2925.8733238,2828.0,,,,,
Japan,5059.8480044,5808.9740021,5132.4319982,5739.8360051,5973.0320057,6116.0080055,5837.9470044,5968.1690001,6051.9450025,6272.902,6625.6599099,6935.5949381,6874.6949428,6769.7719493,7116.9799495,7127.9509492,7268.1863162,7282.0825522,7064.6851125,7130.4034603,7192.3980023,7014.8538097,7130.9466472,7435.0,7494.0,7695.0,7872.0,7742.0,7833.5956675
Norway,726.6640023,757.6529997,736.464001,690.2300011,799.61,657.1400004,713.2946015,675.019402,702.4738002,785.173602,657.200694,709.938594,692.2479945,683.0016581,708.9383708,743.4161967,721.2665981,771.4217104,714.555655,715.2394977,745.6995295,785.1266543,723.3666752,763.0,729.0,788.0,782.0,781.0,734.1667393
Russian Federation,,,1377.157008,1794.7310127,1712.2060188,1650.2920132,1063.1220063,1857.4601794,1647.0716206,1351.7104347,1863.0968085,3032.0986122,3451.4307902,3678.9769849,3076.5782372,3184.7579585,3220.8113718,3977.4379322,3632.5801136,3112.8719557,3700.2797932,3754.1902538,3696.1643005,3648.0,4021.0,3846.0,4439.0,4512.0,4233.5037736
Switzerland,907.4790035,948.8900007,994.8910031,868.7910049,944.3770038,935.1260026,922.0929996,712.4299971,810.5270007,862.7050016,826.9300283,816.0902158,821.0258781,852.4299329,722.0164368,1099.3324491,931.8893723,988.9741938,1149.3016902,965.5446285,1011.808333,1034.9743064,1047.0824941,1123.0,1028.0,1096.0,1066.0,894.0,1170.286972
Tunisia,100.999998,90.2010012,110.5830012,100.6240008,137.2670004,136.7830008,143.6500008,164.6170008,147.417,185.4045404,191.7425547,231.7800844,234.173039,119.6613939,262.9766299,189.7958557,200.4041458,253.3957801,317.4853005,288.7271606,301.4742487,415.3742658,421.1362765,429.0,460.0,458.0,465.0,546.0,532.8003905
USA,18297.6180013,18661.1800011,18290.4529958,19217.136997,17326.1039936,17362.8709859,18059.0007895,17795.4481947,18603.7986929,19359.4276931,18745.5637179,19553.6538074,19124.5109135,20192.6776434,20972.7629194,20997.5440389,20667.3795803,21033.2731039,21652.4270057,21435.9671121,21783.457919,22043.8913838,22231.6637149,23417.0,23767.0,24438.0,25243.0,26183.0,26514.327404
