raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
21,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
22,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
23,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
24,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
25,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
26,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
27,2008,10,10,"German Grand Prix","2008-07-20","12:00:00","http://en.wikipedia.org/wiki/2008_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
28,2008,11,11,"Hungarian Grand Prix","2008-08-03","12:00:00","http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
29,2008,12,12,"European Grand Prix","2008-08-24","12:00:00","http://en.wikipedia.org/wiki/2008_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
30,2008,13,13,"Belgian Grand Prix","2008-09-07","12:00:00","http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
31,2008,14,14,"Italian Grand Prix","2008-09-14","12:00:00","http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
32,2008,15,15,"Singapore Grand Prix","2008-09-28","12:00:00","http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
33,2008,16,16,"Japanese Grand Prix","2008-10-12","04:30:00","http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
34,2008,17,17,"Chinese Grand Prix","2008-10-19","07:00:00","http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
35,2008,18,18,"Brazilian Grand Prix","2008-11-02","17:00:00","http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
36,2007,1,1,"Australian Grand Prix","2007-03-18","03:00:00","http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
37,2007,2,2,"Malaysian Grand Prix","2007-04-08","07:00:00","http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
38,2007,3,3,"Bahrain Grand Prix","2007-04-15","11:30:00","http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
39,2007,4,4,"Spanish Grand Prix","2007-05-13","12:00:00","http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
40,2007,5,6,"Monaco Grand Prix","2007-05-27","12:00:00","http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
41,2007,6,7,"Canadian Grand Prix","2007-06-10","17:00:00","http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
42,2007,7,19,"United States Grand Prix","2007-06-17","17:00:00","http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
43,2007,8,8,"French Grand Prix","2007-07-01","12:00:00","http://en.wikipedia.org/wiki/2007_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
44,2007,9,9,"British Grand Prix","2007-07-08","12:00:00","http://en.wikipedia.org/wiki/2007_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
45,2007,10,20,"European Grand Prix","2007-07-22","12:00:00","http://en.wikipedia.org/wiki/2007_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
46,2007,11,11,"Hungarian Grand Prix","2007-08-05","12:00:00","http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
47,2007,12,5,"Turkish Grand Prix","2007-08-26","12:00:00","http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
48,2007,13,14,"Italian Grand Prix","2007-09-09","12:00:00","http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
49,2007,14,13,"Belgian Grand Prix","2007-09-16","12:00:00","http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
50,2007,15,16,"Japanese Grand Prix","2007-09-30","04:30:00","http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
51,2007,16,17,"Chinese Grand Prix","2007-10-07","06:00:00","http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
52,2007,17,18,"Brazilian Grand Prix","2007-10-21","16:00:00","http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
53,2006,1,3,"Bahrain Grand Prix","2006-03-12","14:30:00","http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
54,2006,2,2,"Malaysian Grand Prix","2006-03-19","15:00:00","http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
55,2006,3,1,"Australian Grand Prix","2006-04-02","14:00:00","http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
56,2006,4,21,"San Marino Grand Prix","2006-04-23","14:00:00","http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
57,2006,5,20,"European Grand Prix","2006-05-07","14:00:00","http://en.wikipedia.org/wiki/2006_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
58,2006,6,4,"Spanish Grand Prix","2006-05-14","14:00:00","http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
59,2006,7,6,"Monaco Grand Prix","2006-05-28","14:00:00","http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
60,2006,8,9,"British Grand Prix","2006-06-11","12:00:00","http://en.wikipedia.org/wiki/2006_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
61,2006,9,7,"Canadian Grand Prix","2006-06-25","13:00:00","http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
62,2006,10,19,"United States Grand Prix","2006-07-02","14:00:00","http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
63,2006,11,8,"French Grand Prix","2006-07-16","14:00:00","http://en.wikipedia.org/wiki/2006_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
64,2006,12,10,"German Grand Prix","2006-07-30","14:00:00","http://en.wikipedia.org/wiki/2006_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
65,2006,13,11,"Hungarian Grand Prix","2006-08-06","14:00:00","http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
66,2006,14,5,"Turkish Grand Prix","2006-08-27","15:00:00","http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
67,2006,15,14,"Italian Grand Prix","2006-09-10","14:00:00","http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
68,2006,16,17,"Chinese Grand Prix","2006-10-01","14:00:00","http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
69,2006,17,22,"Japanese Grand Prix","2006-10-08","14:00:00","http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
70,2006,18,18,"Brazilian Grand Prix","2006-10-22","14:00:00","http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
71,2005,1,1,"Australian Grand Prix","2005-03-06","14:00:00","http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
72,2005,2,2,"Malaysian Grand Prix","2005-03-20","15:00:00","http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
73,2005,3,3,"Bahrain Grand Prix","2005-04-03","14:30:00","http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
74,2005,4,21,"San Marino Grand Prix","2005-04-24","14:00:00","http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
75,2005,5,4,"Spanish Grand Prix","2005-05-08","14:00:00","http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
76,2005,6,6,"Monaco Grand Prix","2005-05-22","14:00:00","http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
77,2005,7,20,"European Grand Prix","2005-05-29","14:00:00","http://en.wikipedia.org/wiki/2005_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
78,2005,8,7,"Canadian Grand Prix","2005-06-12","13:00:00","http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
79,2005,9,19,"United States Grand Prix","2005-06-19","14:00:00","http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
80,2005,10,8,"French Grand Prix","2005-07-03","14:00:00","http://en.wikipedia.org/wiki/2005_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
81,2005,11,9,"British Grand Prix","2005-07-10","14:00:00","http://en.wikipedia.org/wiki/2005_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
82,2005,12,10,"German Grand Prix","2005-07-24","14:00:00","http://en.wikipedia.org/wiki/2005_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
83,2005,13,11,"Hungarian Grand Prix","2005-07-31","14:00:00","http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
84,2005,14,5,"Turkish Grand Prix","2005-08-21","15:00:00","http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
85,2005,15,14,"Italian Grand Prix","2005-09-04","14:00:00","http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
86,2005,16,13,"Belgian Grand Prix","2005-09-11","14:00:00","http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
87,2005,17,18,"Brazilian Grand Prix","2005-09-25","14:00:00","http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
88,2005,18,22,"Japanese Grand Prix","2005-10-09","14:00:00","http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
89,2005,19,17,"Chinese Grand Prix","2005-10-16","14:00:00","http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
90,2004,1,1,"Australian Grand Prix","2004-03-07",\N,"http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
91,2004,2,2,"Malaysian Grand Prix","2004-03-21",\N,"http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92,2004,3,3,"Bahrain Grand Prix","2004-04-04",\N,"http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93,2004,4,21,"San Marino Grand Prix","2004-04-25",\N,"http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
94,2004,5,4,"Spanish Grand Prix","2004-05-09",\N,"http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
95,2004,6,6,"Monaco Grand Prix","2004-05-23",\N,"http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
96,2004,7,20,"European Grand Prix","2004-05-30",\N,"http://en.wikipedia.org/wiki/2004_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
97,2004,8,7,"Canadian Grand Prix","2004-06-13",\N,"http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
98,2004,9,19,"United States Grand Prix","2004-06-20",\N,"http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
99,2004,10,8,"French Grand Prix","2004-07-04",\N,"http://en.wikipedia.org/wiki/2004_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
100,2004,11,9,"British Grand Prix","2004-07-11",\N,"http://en.wikipedia.org/wiki/2004_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
101,2004,12,10,"German Grand Prix","2004-07-25",\N,"http://en.wikipedia.org/wiki/2004_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
102,2004,13,11,"Hungarian Grand Prix","2004-08-15",\N,"http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
103,2004,14,13,"Belgian Grand Prix","2004-08-29",\N,"http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
104,2004,15,14,"Italian Grand Prix","2004-09-12",\N,"http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
105,2004,16,17,"Chinese Grand Prix","2004-09-26",\N,"http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
106,2004,17,22,"Japanese Grand Prix","2004-10-10",\N,"http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
107,2004,18,18,"Brazilian Grand Prix","2004-10-24",\N,"http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
108,2003,1,1,"Australian Grand Prix","2003-03-09",\N,"http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
109,2003,2,2,"Malaysian Grand Prix","2003-03-23",\N,"http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
110,2003,3,18,"Brazilian Grand Prix","2003-04-06",\N,"http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
111,2003,4,21,"San Marino Grand Prix","2003-04-20",\N,"http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
112,2003,5,4,"Spanish Grand Prix","2003-05-04",\N,"http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
113,2003,6,70,"Austrian Grand Prix","2003-05-18",\N,"http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
114,2003,7,6,"Monaco Grand Prix","2003-06-01",\N,"http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
115,2003,8,7,"Canadian Grand Prix","2003-06-15",\N,"http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
116,2003,9,20,"European Grand Prix","2003-06-29",\N,"http://en.wikipedia.org/wiki/2003_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
117,2003,10,8,"French Grand Prix","2003-07-06",\N,"http://en.wikipedia.org/wiki/2003_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
118,2003,11,9,"British Grand Prix","2003-07-20",\N,"http://en.wikipedia.org/wiki/2003_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
119,2003,12,10,"German Grand Prix","2003-08-03",\N,"http://en.wikipedia.org/wiki/2003_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
120,2003,13,11,"Hungarian Grand Prix","2003-08-24",\N,"http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
121,2003,14,14,"Italian Grand Prix","2003-09-14",\N,"http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
122,2003,15,19,"United States Grand Prix","2003-09-28",\N,"http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
123,2003,16,22,"Japanese Grand Prix","2003-10-12",\N,"http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
124,2002,1,1,"Australian Grand Prix","2002-03-03",\N,"http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
125,2002,2,2,"Malaysian Grand Prix","2002-03-17",\N,"http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
126,2002,3,18,"Brazilian Grand Prix","2002-03-31",\N,"http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
127,2002,4,21,"San Marino Grand Prix","2002-04-14",\N,"http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
128,2002,5,4,"Spanish Grand Prix","2002-04-28",\N,"http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
129,2002,6,70,"Austrian Grand Prix","2002-05-12",\N,"http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
130,2002,7,6,"Monaco Grand Prix","2002-05-26",\N,"http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
131,2002,8,7,"Canadian Grand Prix","2002-06-09",\N,"http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
132,2002,9,20,"European Grand Prix","2002-06-23",\N,"http://en.wikipedia.org/wiki/2002_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
133,2002,10,9,"British Grand Prix","2002-07-07",\N,"http://en.wikipedia.org/wiki/2002_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
134,2002,11,8,"French Grand Prix","2002-07-21",\N,"http://en.wikipedia.org/wiki/2002_French_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
135,2002,12,10,"German Grand Prix","2002-07-28",\N,"http://en.wikipedia.org/wiki/2002_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
136,2002,13,11,"Hungarian Grand Prix","2002-08-18",\N,"http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
137,2002,14,13,"Belgian Grand Prix","2002-09-01",\N,"http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
138,2002,15,14,"Italian Grand Prix","2002-09-15",\N,"http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
139,2002,16,19,"United States Grand Prix","2002-09-29",\N,"http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
140,2002,17,22,"Japanese Grand Prix","2002-10-13",\N,"http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
141,2001,1,1,"Australian Grand Prix","2001-03-04",\N,"http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
142,2001,2,2,"Malaysian Grand Prix","2001-03-18",\N,"http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
143,2001,3,18,"Brazilian Grand Prix","2001-04-01",\N,"http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
144,2001,4,21,"San Marino Grand Prix","2001-04-15",\N,"http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
145,2001,5,4,"Spanish Grand Prix","2001-04-29",\N,"http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
146,2001,6,70,"Austrian Grand Prix","2001-05-13",\N,"http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
