name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,91,November 2017,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish."
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,November 2017,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood."
100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,33.05,97,November 2017,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a long, lingering finish.   "
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,95,November 2017,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical fruit in the short, grounded by pleasing notes of toasted barley in the long."
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Kenya,5.29,92,November 2017,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish."
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,95,November 2017,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, carrying through on the promise of the cup."
Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Kenya,4.65,94,November 2017,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity; plush, syrupy mouthfeel. The balanced finish is resonant with notes of red currant and dark chocolate, with hints of lime zest. "
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.58,93,November 2017,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond."
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Kenya,5.86,93,November 2017,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish."
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.41,92,November 2017,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish."
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Ethiopia,5.58,93,November 2017,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the short and cocoa butter in the long."
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,92,November 2017,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, with notes of dried fruit, nuts and warming spices. "
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Colombia,4.98,89,December 2017,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. "
Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Ethiopia,7.35,93,December 2017,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate. "
Kenya Thaitu,Good Folks Coffee,Medium-Light,United States,Kenya,6.47,95,December 2017,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry and citrus zest in the short, rounding to chocolate in the long, with spicy florals throughout."
Yule Blend 2018,Flight Coffee Co.,Medium-Light,United States,Kenya,4.41,94,December 2017,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long."
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Ethiopia,8.44,94,December 2017,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate in the long."
Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium-Light,United States,Panama,16.17,96,December 2017,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals in the short and deep fruit notes in the long, where a new element, a soft fruit tone suggesting coconut, surfaces."
Panama Elida Green Tip Gesha Natural,Equator Coffees & Teas,Medium-Light,United States,Panama,32.63,94,December 2017,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure; full, satiny mouthfeel. The resonant, flavor-saturated finish is characterized by notes of rich chocolate with berry and bittersweet citrus complications."
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,19.82,95,November 2017,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish."
Kenya AB Muchoki,Klatch Coffee,Medium-Light,United States,Kenya,5.86,95,November 2017,"Crisply and sweetly tart, delicate yet confident. Peach, vanilla bean, grapefruit zest, almond, pink peppercorn in aroma and cup. Poised in structure: sweet, tart, savory. Mouthfeel is cushiony, plush. Flavor saturates a savory-edged, drying finish."
Colombia Nariño Duende,Paradise Roasters,Medium-Light,United States,Colombia,4.98,93,November 2017,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure; velvety-smooth mouthfeel. The finish is richly chocolate-toned with a hint of cinnamon."
Estate Medium Roast,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Hawai'I,13.0,93,January 2018,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel; flavor saturates a deep, richly floral and chocolate-toned finish."
Ethiopia Holy Grail Natural Yirgacheffe,Simon Hsieh’s Aroma Roast Coffees,Medium,Taiwan,Ethiopia,17.7,93,January 2018,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel; nut-toned, richly tannic finish. In cappuccino-scaled milk, invitingly bittersweet, with notes of dark chocolate and jasmine in harmony."
Blue Label La Esmeralda Porton Pascua Gesha,PT's Coffee Roasting,Medium-Light,United States,Panama,26.46,95,December 2017,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure; crisp, satiny mouthfeel. The quietly resonant finish is flavor-saturated: stonefruit and bergamot carry the short and sandalwood-nuanced lilac notes resurface in the long."
Auromar Gesha Natural,PT's Coffee Roasting,Light,United States,Panama,17.64,93,December 2017,"Delicate, crisply sweet. Dried coconut, baker’s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure; silky mouthfeel. The gently drying finish is carried by notes of chocolate-toned coconut in the short and cedar in the long, with a whisper of sweet candied violet."
“Naturals”,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Hawai'I,13.23,92,December 2017,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet florals and aromatic wood notes in the long."
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.0,93,December 2017,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long. "
El Peñon Nicaragua,Barrington Coffee Roasting,Light,United States,Nicaragua,5.28,94,December 2017,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity; crisp, velvety mouthfeel. The deep, resonant finish is flavor-laden, fulfilling the promise of the cup with spicy floral notes in the short and cocoa-toned fruit in the long."
Static Kenya Kavutiri,Espresso Republic,Medium-Light,United States,Kenya,7.35,92,December 2017,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate."
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,United States,Kenya,7.05,91,December 2017,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon. "
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Ethiopia,4.11,90,February 2018,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long."
Gedeb Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.51,95,January 2018,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: flavor-saturated, floral-, chocolate- and fruit-toned in both short and long."
Civet Yirgacheffe Sisota,"Good Chance Biotechnology, Ltd.",Medium-Light,Taiwan,Ethiopia,90.83,93,January 2018,"Richly savory, sweetly herb-toned. Baker’s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure; syrupy mouthfeel. The cocoa-toned finish leads with black cherry in the short, which settles into a cedar-toned flowers in the long. "
Civet Ethiopia Papilio Sidamo,"Good Chance Biotechnology, Ltd.",Medium-Light,Taiwan,Ethiopia,90.83,93,January 2018,"Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure; satiny-smooth in mouthfeel. A hint of aged rum carries the finish, accompanied by berry notes in the short and spice-toned savory notes in the long."
Estate Carbonic Maceration,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Hawai'I,13.0,90,January 2018,"Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   "
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Light,United States,Ethiopia,4.99,94,January 2018,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long."
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,Light,United States,Colombia,5.0,92,January 2018,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish is laden with sweet notes of caramel and papaya in the short, turning more savory-leaning in the long, with hints of pink peppercorn wrapped in vanilla. "
Panama Auromar Estate Geisha Peaberry,Bird Rock Coffee Roasters,Medium-Light,United States,Panama,22.49,95,January 2018,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long. "
Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Hong Kong,Indonesia,8.02,92,January 2018,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla. "
Panama Finca Hartmann Geisha Natural,Temple Coffee and Tea,Light,United States,Panama,23.81,95,January 2018,"Delicate, deeply sweet, complexly layered. Passionfruit, roasted cacao nib, frankincense, lilac, almond in aroma and cup. Balanced, sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. The richly cocoa-toned finish is redolent of tropical fruit and fragrant aromatic wood."
Ethiopia Reko Estate Yirgacheffe,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.58,92,January 2018,"Deep, intense, sweetly perfumy, savory-edged. Dark chocolate, vanilla, dried mango, sandalwood, a hint of dried mint in aroma and cup. Very sweet though also rather drying and tannic in structure; satiny mouthfeel. Resonant, flavor-saturated finish, sweet yet spicy, particularly impressive in the long."
Mini-Me Washed Kaffa Forest,Simon Hsieh’s Aroma Roast Coffees,Medium-Dark,Taiwan,Ethiopia,9.2,95,January 2018,"Evaluated as espresso. Intensely chocolaty, vivaciously fruit-toned. Dark chocolate, narcissus, pie cherry, molasses, sandalwood in aroma and small cup. Rich, syrupy mouthfeel. A resonant finish leads with cherry and narcissus notes in the short and sandalwood-toned chocolate in the long. In three parts milk, dark chocolate envelopes deeply stated fruit and floral notes. "
Ethiopia Dumerso Light Roast,The WestBean Coffee Roasters,Medium,United States,Ethiopia,7.05,92,February 2018,"Fruit-forward, delicate yet intense. Complex flowers (lily to lavendar), sandalwood, dark chocolate, plum, a hint of brandy in aroma and cup. Roundly and deeply crisp in structure; lightly satiny in mouthfeel. The finish is resonant and sweet with chocolate and a continuing hint of brandy."
Kenya AA Karamundi,Revel Coffee,Medium-Light,United States,Kenya,4.56,92,February 2018,"Delicate, sweetly tart. Roasted cacao nib, honeysuckle, tamarind, spearmint, plum in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Bittersweet in the short finish and sweetly wood-framed in the long."
Ethiopia Natural Sidamo Papilio,Kakalove Cafe,Light,Taiwan,Ethiopia,4.25,93,February 2018,"Delicate but richly intricate. Cocoa, almond paste, lemon verbena, hints of lily and grappa-like spirits in aroma and cup. Savory-sweet and brisk, though juicy in structure. Very lightly syrupy in mouthfeel. The finish is deeply savory-sweet and crisply flavor-saturated. "
Ethiopia Banko Gotiti Natural,Kakalove Cafe,Light,Taiwan,Ethiopia,4.6,94,February 2018,"Deeply and richly sweet; spice-toned. Lavender, mulberry, bay leaf, lemon zest, allspice in aroma and cup. Sweet-toned structure with vibrant acidity; buoyant, silky mouthfeel. The long, resonant finish is laden with spice-toned floral notes and bright berry suggestions."
Peru Finca Ecológica Agua Colorada,Red Rooster Coffee Roaster,Light,United States,Peru,4.85,93,February 2018,"Richly sweet, floral-toned. Wisteria, roasted cacao nib, almond, caramel, hint of musk in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisply velvety mouthfeel. The finish consolidates to a pretty cocoa-toned musk in the short, with almond and caramel resurfacing in the long."
Guatemala Retiro Natural Process,Durango Coffee Company,Medium-Light,United States,Guatemala,4.63,94,February 2018,"Delicate but deeply and quietly intense. Cocoa, peach, fresh-cut fir, brown sugar, a hint of lush, lily-like flowers in aroma and cup. Balanced, crisply sweet in structure; light-footed and lively in mouthfeel. Cocoa dominates in a resonant, flavor-saturated finish. "
Gaitania Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.63,93,February 2018,"Big, round, deeply resonant, layered. Fresh-cut cedar, baker’s chocolate, autumn squash, a hint of thyme in aroma and cup. Sweet-savory, low-toned in structure; full, syrupy in mouthfeel. In the finish most flavor details fade, but a powerful, chocolate-complicated sweetness rings on."
Rwanda Remera Kabeza,Durango Coffee Company,Medium,United States,Rwanda,4.98,93,February 2018,"Roundly and sweetly citrusy. Ripe tangerine, caramel, freesia-like flowers, cedar, a hint perhaps of fresh parsley-like herb in aroma and cup. Sweetly and gently tart, pure and juicy in structure. Very smooth, fullish, satiny mouthfeel. Flavor consolidates in a layered, resonant finish. "
Dodora Double,Barrington Coffee Roasting,Light,United States,Ethiopia,8.77,96,March 2018,"Lush, vibrant; intricate and balanced. Fine musk, dried jasmine, passionfruit, bergamot, dark chocolate in aroma and cup. Complex, richly sweet structure with bright acidity. Buoyant, silky mouthfeel. The resonant finish fulfills the promise of the cup, carrying all of the flavor notes, including a hint of white sage, well into the long."
Lekali (Nepal),Barrington Coffee Roasting,Medium,United States,Nepal,8.77,90,March 2018,"Delicate, crisply sweet-savory, roast-rounded. Dark chocolate, orange blossom, almond, sandalwood, tamari in aroma and cup. Savory sweet in structure  with gentle acidity; crisp, satiny mouthfeel. The finish is rich with notes of dark chocolate and almond in the short, with savory-sweet hints of tamari and sandalwood incense in the long."
Costa Rica Tarrazu,Caffe Luxxe,Medium-Light,United States,Costa Rica,7.35,91,March 2018,"Deeply sweet, richly wood-framed. Watermelon candy, sandalwood, narcissus-like flowers, toasted pecan, maple syrup in aroma and cup. Bittersweet structure; crisp, satiny mouthfeel. Aromatic wood leads in the short finish, while notes of watermelon candy (think Jolly Rancher) and sweet florals resurface in the long."
Ethiopia Reko,Java Blend Coffee Roasters,Medium-Light,Canada,Ethiopia,3.31,92,March 2018,"Deeply and richly sweet. Strawberry, peach, sandalwood, almond butter, chrysanthemum in aroma and cup. Sweetly tart structure; crisp, satiny mouthfeel. The quiet finish consolidates around notes of almond and sandalwood."
Kenya Kirinyaga,Big Shoulders Coffee,Light,United States,Kenya,4.41,94,March 2018,"Intricately layered, deeply and sweetly pungent. Roasted cacao nib, lemon zest, lilac, candied ginger, frankincense in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, syrupy mouthfeel. The complex finish sustains all of the flavor notes from the cup, sweet flowers in particular."
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,4.12,93,March 2018,"Richly sweet, spice-toned. Dried cherry, lemon zest, baker’s chocolate, cashew, a hint of cayenne in aroma and cup. Delicate, sweetly tart structure with bright acidity; crisp, velvety mouthfeel. The flavor-saturated finish centers on citrus notes and chocolate in the short, with a suggestion of cayenne in the long."
Ethiopia Guji Deri Korcha White Honey,Kakalove Cafe,Light,Taiwan,Ethiopia,3.92,93,March 2018,"Sweetly pungent, high-toned. Dried apple, orange blossom, toffee, cedar, dark chocolate in aroma and cup. Sweetly tart structure, with juicy acidity; buoyant, silky mouthfeel. The finish is deeply sweet and resonant, with notes of orange blossom and toffee in the short, rounding to chocolate in the long."
Rwanda Bufcafe Remera,Mr. Espresso,Medium,United States,Rwanda,4.26,92,March 2018,"Balanced and bright with a savory, root-vegetable depth. Lemon verbena, ripe orange zest, roasted cacao nib, rhododendron, a hint of brothy cooked root vegetables in aroma and cup. Structure is quietly sweet/tart with a savory edge; the mouthfeel round, syrupy and full. The finish is richly drying, consolidating around cacao nib and a ripe zesty orange."
Kona Mocca®,Hula Daddy Kona Coffee,Medium,Hawai'i,Hawai'I,19.82,95,February 2018,"Crisp, delicate, yet intense and original. Lush, rose-like flowers, dark chocolate, cedar, almond, ripe pineapple in aroma and cup. Balanced and complete in structure, poised at a round, satisfying intersection of sweet, tart and bitter. Light but syrupy in texture. Layered and resonant in the finish: rose, chocolate, almond all ring on."
Ethiopia Suke Quto Honey,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,94,February 2018,"Bright, richly sweet. Lime blossom, raspberry jam, sandalwood, roasted cacao nib, maple syrup in aroma and cup. Sweetly tart in structure with juicy acidity; viscous, buoyant mouthfeel. The finish leads with citrus and berry notes in the short, segueing to sandalwood-framed sweet florals in the long."
Ethiopia Worka Natural,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,4.85,93,April 2018,"Richly sweet, fruit-toned. Raspberry jam, almond butter, rhododendron-like flowers, grappa, cocoa powder in aroma and cup. Sweet-tart structure with fruit-forward acidity; plush, syrupy mouthfeel. The finish consolidates around deep raspberry and cocoa notes, with a heady hint of sweet ferment."
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Ecuador,6.15,93,April 2018,"Delicate, intricately sweet. Dried mango, roasted cacao nib, honeysuckle, freesia-like flowers, a hint of cumin in aroma and cup. Deeply rich, balanced  structure; crisp, satiny mouthfeel. The finish is animated by lively mango and freesia notes in the short, quieting to cocoa-toned honeysuckle in the long."
Kenya Ndnunduri,Greater Goods Coffee Roasters,Medium-Light,United States,Kenya,5.0,93,April 2018,"Richly sweet, spice-toned. Black currant, molasses, amber oil, allspice, wisteria-like flowers in aroma and cup. Deeply sweet structure; smooth, rounded acidity. The finish displays an unusual sweetly musky quality suggesting amber oil, complicated by black currant and wisteria. "
Ethiopia Gedeb Gotiti,Tico Coffee Roasters,Light,United States,Ethiopia,5.88,93,April 2018,"High-toned, richly sweet-savory. Mango, honey, lemongrass, oak, narcissus in aroma and cup. Balanced, sweetly savory structure with lively acidity; crisp though velvety mouthfeel. The sweetly herb-toned finish is redolent of lemongrass, supported by mango, honey and a hint of oak."
Finca La Maria Geisha Natural,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,22.49,95,April 2018,"Lush, high-toned, richly sweet. Apricot, bergamot zest, nougat, sandalwood, honeysuckle in aroma and cup. Deeply sweet in structure, with juicy, bright acidity; plump, syrupy mouthfeel. The finish is seemingly eternal, resonant with all the flavor notes from the cup: stone fruit, citrus zest, nutty caramel, aromatic wood and sweet florals."
Ethiopia Guji Gigessa,Roasters Note,Light,Taiwan,Ethiopia,6.51,94,April 2018,"High-toned, deeply sweet. Black currant, honey, sandalwood, narcissus-like flowers, roasted cacao nib in aroma and cup. Sweet-tart in structure with juicy, bright acidity; full, syrupy-smooth mouthfeel. The resonant finish consolidates to notes of black currant and honey in the short, rich cocoa-toned sandalwood in the long."
