Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1991,,2218,11796,332,189,1391,2001,41,102,4743,4472,2885,24504,17128,75,1347,4927,113,2153,751,3370,2120,351,2119,68,45492,3724,6050,2728,5120,3092,1136,374
Afghanistan,AFG,1992,,2475,12218,360,239,1514,2299,48,118,4976,5106,3315,27404,20060,80,614,6123,38,2441,855,4344,2153,386,2404,49,46557,3776,6223,2830,5335,3325,1162,378
Afghanistan,AFG,1993,,2812,12634,396,108,1687,2589,56,132,5254,5681,3671,31116,22335,85,225,8174,41,2837,943,4096,2195,425,2797,,47951,3862,6445,2943,5568,3601,1187,384
Afghanistan,AFG,1994,,3027,12914,420,211,1809,2849,63,142,5470,6001,3863,33390,23288,88,160,8215,44,3081,993,8959,2231,451,3038,22,49308,3932,6664,3027,5739,3816,1211,391
Afghanistan,AFG,1995,,3102,13106,434,175,1881,2969,71,151,5628,6211,4035,34030,23722,91,381,9566,46,3131,1032,5525,2248,467,3087,5,50158,3974,6823,3076,5843,3946,1225,394
Afghanistan,AFG,1996,,3193,13335,450,175,1969,3331,78,159,5821,6447,4203,34787,24104,93,70,9682,49,3175,1070,3255,2298,485,3130,31,51125,4041,7000,3133,5966,4098,1239,398
Afghanistan,AFG,1997,,3303,13572,469,240,2078,3028,84,168,5949,6677,4351,35565,24368,96,175,10656,50,3250,1104,6723,2347,504,3203,4,52039,4094,7168,3200,6096,4252,1253,402
Afghanistan,AFG,1998,,3281,13695,472,563,2098,3098,89,173,5930,6683,4397,34943,24010,97,7123,11155,51,3193,1114,12073,2388,505,3145,8,52720,4120,7287,3231,6154,4310,1267,405
Afghanistan,AFG,1999,,3200,13811,470,468,2084,2917,93,178,5887,6603,4327,33713,23386,98,70,11313,51,3115,1120,5104,2437,502,3068,39,53413,4150,7400,3247,6182,4332,1281,409
Afghanistan,AFG,2000,,3105,13977,465,263,2048,2871,97,186,5864,6581,4271,32395,22920,99,0,11323,52,3060,1137,5429,2515,499,3013,38,53919,4182,7471,3249,6206,4334,1291,416
Afghanistan,AFG,2001,,3063,14312,467,211,2044,2971,104,197,5900,6720,4385,31594,23276,101,4,11446,380,2973,1183,5689,2657,502,2924,174,54642,4251,7565,3267,6277,4363,1300,424
Afghanistan,AFG,2002,,2990,14437,455,2883,1979,3277,111,202,5660,6696,4498,30346,23976,101,1286,11393,53,2795,1190,977,2745,490,2746,74,54213,4239,7455,3238,6246,4251,1311,429
Afghanistan,AFG,2003,,3300,14951,499,2188,2282,3458,118,216,5676,7243,4702,32361,24628,104,137,12348,55,3039,1235,864,2865,531,2984,163,54274,4336,7471,3342,6443,4373,1326,434
Afghanistan,AFG,2004,,3350,15360,516,773,2386,3479,125,229,5607,7522,4799,32222,24780,107,18,12258,57,3033,1283,1049,2986,547,2978,275,54438,4413,7477,3394,6541,4345,1344,439
Afghanistan,AFG,2005,,3238,15556,507,545,2315,3506,132,239,5403,7577,4936,30898,24725,109,561,11532,78,2879,1300,2114,3070,540,2824,367,54196,4431,7391,3388,6528,4194,1362,442
Afghanistan,AFG,2006,,3098,15724,496,414,2235,3609,140,245,5203,7484,4884,29406,24229,110,382,10356,57,2727,1303,5677,3130,527,2675,732,54080,4461,7310,3366,6494,3870,1381,446
Afghanistan,AFG,2010,,2410,16718,451,377,1837,4130,176,281,4416,7379,4940,23701,23821,118,350,6889,57,1974,1367,8273,3413,484,1932,1157,53934,4693,6969,3304,6367,2482,1476,465
Afghanistan,AFG,2017,,1665,20111,476,399,1723,5191,272,372,3783,8013,4123,19868,23956,139,226,5328,59,1367,1548,19356,4497,512,1332,6092,59553,5419,6982,3693,6841,2046,1728,537
Afghanistan,AFG,2018,,1576,20673,475,466,1669,5500,291,390,3681,8095,4102,19014,23841,143,123,4597,59,1279,1582,27079,4664,514,1245,,60893,5531,7036,3732,6861,1972,1757,551
Afghanistan,AFG,2019,,1563,21247,485,530,1687,5015,318,406,3627,8254,4038,18697,23701,147,128,4320,59,1244,1613,24295,4817,525,1210,,61995,5637,7082,3797,6929,1940,1775,560
Africa,,1990,,181355,303352,24850,597606,33214,51916,265851,1379,439918,179869,87274,872177,739754,4413,327,1017529,4613,229997,46106,82573,86557,19502,222244,,908471,82834,153928,167077,256641,25520,32001,8654
Africa,,1991,,182500,311337,24884,616285,33184,54815,344004,1453,445474,181011,87465,874351,746377,4520,575,1035707,4693,229653,47123,43022,88962,19483,221926,,926504,84871,156391,169299,260455,25479,33151,8905
Africa,,1992,,186503,320755,25256,629689,33263,61738,434746,1560,453052,185306,88386,881268,754696,4652,582,1021926,4819,230907,48800,14442,92128,19754,223174,,948765,87309,159314,172089,265283,25502,34410,9196
Africa,,1993,,187341,327814,25332,648400,33254,65170,536652,1615,458208,186756,88670,884118,764311,4717,173,1015835,4869,230513,49429,20816,94550,19788,222825,,971126,89383,161701,174827,269576,25507,35641,9496
Africa,,1994,,186937,337067,25566,660775,33197,60569,646952,1703,467625,189791,89526,888817,774005,4833,1775,1034167,4969,229249,50863,533642,98036,19889,221594,,995019,91806,165034,177769,274384,25694,36926,9820
Africa,,1995,,188961,345122,25574,678985,32998,60985,762467,1779,477290,191521,89503,892970,784850,4937,1152,1022887,5091,227157,52088,30402,100885,19904,219563,,1013534,93696,167736,179917,278206,25912,38126,10095
Africa,,1996,,204319,354624,25504,698523,32608,62749,878672,1839,482316,192662,90302,891045,794477,5046,503,1023214,5173,223859,53092,60992,105175,19842,216360,,1037585,96064,170982,182387,282416,26023,39435,10409
Africa,,1997,,194093,367045,25854,718764,32754,64298,993389,1959,485650,197304,91467,892110,805661,5216,3254,1017598,5217,220576,55440,75559,110639,20059,213169,,1067052,99018,174755,185940,288105,26214,40759,10778
Africa,,1998,,194116,376404,26136,737164,32548,67245,1105601,2034,491416,200414,93498,893166,816901,5317,378,1013141,5318,217774,57360,80393,114547,20098,210467,,1089559,101489,177667,189423,293854,26426,42081,11105
Africa,,1999,,197126,383517,26114,754055,32399,70114,1209221,2100,494210,202818,95395,894136,826597,5351,744,1001473,5370,214102,58505,104984,117176,20181,206971,,1106162,103417,178733,192529,299039,26522,43342,11359
Africa,,2000,,198442,391643,26355,774815,32252,72627,1300824,2179,501131,205637,96699,895221,835285,5401,1441,985549,5446,208546,59995,89503,120678,20348,201747,,1116855,105627,180450,194640,303008,26643,44799,11664
Africa,,2001,,199506,399365,26389,804629,31990,71802,1377221,2221,499812,207538,98153,888733,843318,5413,1647,968918,5479,201031,60915,33264,123985,20236,194627,,1135411,108213,182335,198615,308189,26641,46237,12048
Africa,,2002,,199720,409830,26595,813479,32012,74927,1438236,2280,497235,210580,100531,886582,853023,5482,841,946408,5610,195376,62285,41559,128175,20407,189291,,1159402,111528,185388,202974,314604,26072,48160,12589
Africa,,2003,,203232,421232,26671,843578,32021,74310,1482330,2337,495221,214144,103424,879717,863235,5580,2876,919641,5651,187455,63795,39653,132648,20517,181641,,1183509,114936,188619,207874,321415,25550,49860,13077
Africa,,2004,,201696,431773,26879,848293,31861,75438,1500899,2385,489453,216132,105851,870830,872424,5668,1628,894702,5648,180359,64768,34198,136285,20636,174790,,1196490,117426,190463,211168,326435,25025,51661,13477
Africa,,2005,,202339,441759,27137,837920,32124,74468,1479893,2433,480782,217383,107243,861689,883005,5745,513,876172,5678,175815,65371,19808,139936,20798,170462,,1206914,119416,191906,213648,330361,24664,53479,13860
Africa,,2006,,204752,454037,27458,840019,32407,75507,1417984,2494,477310,219953,108038,860117,888622,5848,1524,873858,5743,169715,66131,9611,144706,21017,164535,,1227100,122227,194376,215637,335154,24120,55466,14341
Africa,,2007,,203718,464207,27628,840601,32246,74820,1328488,2568,470820,220827,108484,851231,892937,5927,1048,857813,5797,162923,66478,9240,148162,21062,157929,,1242441,124305,195284,217446,339093,23078,57142,14694
Africa,,2008,,197783,476978,27535,836270,31677,74953,1228654,2665,464263,221679,108301,836741,893435,6032,835,836396,5782,155618,67163,14157,152484,20957,150793,,1267542,127248,197174,220400,344080,22016,59217,15227
Africa,,2009,,195659,492681,27557,825002,31480,77076,1139314,2776,458138,223017,108723,824994,892483,6178,725,819141,5809,148939,68085,21698,157549,20914,144228,,1295473,130956,199565,224402,350423,21249,61189,15734
Africa,,2010,,190405,507415,27509,806971,31052,76386,1066544,2846,449051,223607,108433,810740,889668,6310,1342,794960,5800,152935,68786,10891,162514,21015,147972,,1318686,134362,201725,228347,356210,20718,63293,16241
Africa,,2011,,180831,522438,27425,767184,30593,77525,998167,2944,439838,224358,108104,796432,886575,6468,814,769967,5770,148744,69244,18928,167052,20769,143856,,1343135,137474,203689,231237,362190,20332,65558,16757
Africa,,2012,,176984,538878,27563,730915,30445,77157,926425,3040,434327,226143,106718,789353,880951,6629,1035,745951,5777,134317,70083,13860,172053,20854,129794,,1377033,141323,206472,235215,369494,19987,67834,17330
Africa,,2013,,168973,555476,27707,699271,30087,79087,863013,3143,432209,225861,105378,785228,874884,6806,975,728522,5826,130921,70832,23785,176507,20888,126416,,1407255,145213,209460,237620,375288,19648,70060,17935
Africa,,2014,,165722,572912,27912,661674,30040,82375,815152,3268,432223,227846,104050,781910,866409,6985,585,712255,5894,127631,71988,34796,182179,20966,123146,,1438444,149888,212224,241079,381717,19342,72041,18396
Africa,,2015,,158017,590527,28180,637769,29680,81885,779297,3376,428937,230882,101970,776251,856035,7127,1174,693412,6035,124441,72881,30910,188484,20902,119961,,1485865,154918,215363,244918,388073,18993,74420,19070
Africa,,2016,,157570,607182,28148,611260,29447,82051,753149,3502,421748,231452,100992,766845,845792,7271,1211,680430,5925,122382,73978,21730,193602,20926,117876,,1514682,158874,217765,249659,395791,18746,76602,19536
Africa,,2017,,154957,624486,28056,584965,28714,84812,717507,3649,411913,233167,100036,748640,829964,7447,2590,670237,5899,119662,75520,25728,197563,20810,115144,,1542057,161894,220306,255649,404387,18539,79241,20029
Africa,,2018,,149625,642586,28082,584779,28138,87300,670658,3813,402484,235029,99314,732732,816729,7640,1068,636068,5880,113335,77516,22431,201208,20727,108899,,1573933,165473,222918,260379,410325,18145,82110,20665
Africa,,2019,,146327,660855,28067,596585,27475,84118,645652,3958,395860,236531,98899,720724,803444,7835,1642,610399,5867,108409,79224,13042,206002,20603,104022,,1608114,169235,225993,265361,416690,17887,85007,21313
African Region,,1990,,172206,250601,19552,588508,27182,50714,265452,1068,417463,130403,77668,767792,636099,4098,290,931601,4236,215934,40058,74534,74790,17453,208628,,612041,64609,123351,119201,198446,17666,24312,6573
African Region,,1991,,174087,257246,19696,607330,27357,52671,343399,1121,423140,132658,78143,774437,644498,4199,574,953765,4318,216068,41029,30864,76945,17461,208785,,625730,66230,125505,121587,202452,17844,25173,6754
African Region,,1992,,178190,265162,20040,620445,27469,56013,433895,1199,430416,136413,79202,784696,654317,4323,30,942943,4433,217480,42534,9683,79846,17712,210192,,643699,68274,128229,124268,207105,18069,26141,6988
African Region,,1993,,179299,270050,20065,638935,27435,59415,535470,1225,435082,136847,79594,790421,665821,4377,115,939403,4477,217090,42902,18618,81711,17734,209852,,656275,69626,129724,126184,210463,18165,27051,7182
African Region,,1994,,178971,277583,20307,650973,27428,58643,645341,1290,444128,139782,80682,798497,677899,4485,892,958854,4573,215874,44173,532119,84769,17835,208675,,673422,71447,132378,128478,214555,18447,28014,7414
African Region,,1995,,181068,284299,20343,668983,27334,59011,760306,1340,453413,142066,80878,805722,690353,4582,324,950527,4659,213775,45298,28496,87414,17862,206636,,689162,72963,134766,130830,218580,18793,28896,7628
African Region,,1996,,196542,292146,20342,688268,27045,60209,875836,1373,458276,143610,81732,808447,702368,4683,297,952899,4750,210452,46115,55439,91209,17815,203405,,709224,74777,137669,133001,222476,19003,29893,7886
African Region,,1997,,186353,302488,20682,708186,27287,61570,989767,1461,461361,148113,82906,812036,714742,4843,853,949363,4812,207241,48221,69745,96062,18037,200289,,730919,77039,140773,135612,227076,19258,30890,8162
African Region,,1998,,186059,310208,21022,726403,27224,64521,1101108,1509,466997,151827,85047,815131,726949,4938,275,944588,4909,204485,50023,74054,99506,18097,197634,,747403,78881,143155,138302,231909,19560,31883,8386
African Region,,1999,,188150,315331,21093,743180,27200,66899,1203809,1543,469673,154153,87025,817469,737415,4965,706,935033,4958,200991,51001,103105,101632,18195,194314,,759038,80166,143858,140632,236196,19735,32834,8559
African Region,,2000,,190368,322351,21459,763846,27216,69723,1294485,1596,476694,157798,88500,820652,746944,5014,1433,920205,5034,195624,52486,86062,104931,18383,189269,,774070,82261,146081,143006,240487,20009,33987,8862
African Region,,2001,,191541,326917,21558,793502,27093,69003,1369991,1607,475313,158898,90121,815453,756089,5017,1628,905740,5069,188347,53194,29179,107134,18288,182390,,780921,83822,147041,144955,243386,20181,34988,9103
African Region,,2002,,191641,334650,21775,804507,27244,71584,1430201,1639,472564,161684,92591,814555,766943,5079,703,884881,5194,182910,54425,34932,110345,18473,177278,,793244,86103,149095,147447,247642,19959,36412,9472
African Region,,2003,,195470,343083,21991,835458,27422,70893,1473615,1670,470406,164941,95596,808557,777999,5169,2806,859799,5230,175227,55796,30846,113751,18612,169874,,802676,88296,151126,150174,251955,19800,37641,9750
African Region,,2004,,193935,351470,22274,841388,27387,71582,1491641,1698,464556,167244,98071,801123,788135,5250,635,836517,5223,168344,56686,20148,116667,18747,163232,,811469,90177,152768,152951,256351,19614,39085,10072
African Region,,2005,,194506,359312,22463,831177,27583,70507,1470200,1721,455817,168488,99452,792862,799180,5320,487,818603,5250,163907,57189,17479,119691,18871,159014,,819013,91710,154107,155471,260230,19428,40564,10406
African Region,,2006,,196650,368885,22817,833619,27887,71134,1407953,1754,452305,170604,100304,791879,806174,5415,1376,817072,5313,158053,57820,6419,123593,19086,153330,,832698,93883,156139,157350,264639,18981,42185,10811
African Region,,2007,,195161,376491,22983,835237,27732,70464,1318224,1785,445259,171057,100767,782861,812008,5484,851,801386,5356,151048,58014,5278,126345,19117,146513,,841784,95310,156575,158696,267813,18048,43425,11069
African Region,,2008,,189839,386074,22859,832282,27146,70859,1218332,1839,438248,171025,100614,768014,814701,5578,698,782170,5331,143418,58492,9782,129587,18993,139051,,856898,97223,157675,160136,270956,17050,45053,11469
African Region,,2009,,187657,397522,22863,821742,26969,70542,1129009,1906,432015,171249,101003,756479,815765,5713,656,767137,5354,136904,59195,17706,133384,18954,132650,,874100,99802,159341,162454,275342,16377,46598,11840
African Region,,2010,,182351,409619,22849,804031,26638,71445,1056095,1940,422921,171282,100748,743510,815881,5835,1191,745735,5344,131125,59715,6128,137205,19084,126961,,889338,102208,161018,165084,279644,15977,48285,12232
African Region,,2011,,172992,422028,22821,764244,26284,72653,987518,2000,413729,171257,100550,730110,816032,5982,792,722725,5315,127263,60078,6727,140898,18866,123154,,908139,104596,162543,166714,284185,15720,50114,12632
African Region,,2012,,169244,435399,22957,727320,26188,72562,915689,2062,408150,172395,99221,723919,813920,6134,964,701462,5320,123130,60815,8152,144621,18964,119060,,928397,107177,164344,168677,289181,15470,51923,13039
African Region,,2013,,161754,449450,23166,694438,25939,73762,852253,2140,405933,173218,97999,720857,810553,6303,707,685617,5360,120077,61688,19938,148440,19026,116021,,947673,110019,166320,170798,294354,15255,53737,13440
African Region,,2014,,158749,463478,23365,655614,25925,76260,804418,2226,405962,175064,96746,718903,804266,6472,481,671049,5427,117086,62792,27247,152765,19096,113055,,968596,113314,168346,172476,298780,15044,55350,13760
African Region,,2015,,151136,476591,23658,631381,25661,75765,768624,2297,402753,177278,94701,713145,794969,6603,1113,653813,5442,114234,63572,24033,157094,19054,110216,,996806,116436,170376,173551,302088,14778,57349,14219
African Region,,2016,,150715,489801,23658,604566,25516,77100,742638,2382,395453,177824,93796,705550,786830,6735,977,642033,5455,112307,64565,13019,160957,19089,108266,,1016603,119305,172175,176506,307832,14626,59145,14537
African Region,,2017,,148223,504198,23607,578326,24882,79592,707227,2483,385580,179171,92905,689041,772864,6898,2565,632875,5429,110048,65978,18316,164342,18993,105990,,1039287,121844,174525,181635,315441,14517,61384,14956
African Region,,2018,,142925,518707,23652,578552,24363,82156,660555,2600,375906,180937,92260,673757,761498,7078,949,601166,5407,103714,67819,15283,166817,18910,99740,,1061135,124402,176494,184726,319603,14176,63753,15435
African Region,,2019,,139590,533567,23657,590252,23768,79735,635623,2703,369065,182243,91905,662060,749955,7261,1642,576592,5391,98704,69367,9519,170540,18792,94780,,1085321,127158,178908,187968,324066,13950,66124,15930
African Union,,1990,,181355,303352,24850,597606,33214,51916,265851,1379,439918,179869,87274,872177,739754,4413,327,1017529,4613,229997,46106,82573,86557,19502,222244,,908471,82834,153928,167077,256641,25520,32001,8654
African Union,,1991,,182500,311337,24884,616285,33184,54815,344004,1453,445474,181011,87465,874351,746377,4520,575,1035707,4693,229653,47123,43022,88962,19483,221926,,926504,84871,156391,169299,260455,25479,33151,8905
African Union,,1992,,186503,320755,25256,629689,33263,61738,434746,1560,453052,185306,88386,881268,754696,4652,582,1021926,4819,230907,48800,14442,92128,19754,223174,,948765,87309,159314,172089,265283,25502,34410,9196
African Union,,1993,,187341,327814,25332,648400,33254,65170,536652,1615,458208,186756,88670,884118,764311,4717,173,1015835,4869,230513,49429,20816,94550,19788,222825,,971126,89383,161701,174827,269576,25507,35641,9496
African Union,,1994,,186937,337067,25566,660775,33197,60569,646952,1703,467625,189791,89526,888817,774005,4833,1775,1034167,4969,229249,50863,533642,98036,19889,221594,,995019,91806,165034,177769,274384,25694,36926,9820
African Union,,1995,,188961,345122,25574,678985,32998,60985,762467,1779,477290,191521,89503,892970,784850,4937,1152,1022887,5091,227157,52088,30402,100885,19904,219563,,1013534,93696,167736,179917,278206,25912,38126,10095
African Union,,1996,,204319,354624,25504,698523,32608,62749,878672,1839,482316,192662,90302,891045,794477,5046,503,1023214,5173,223859,53092,60992,105175,19842,216360,,1037585,96064,170982,182387,282416,26023,39435,10409
African Union,,1997,,194093,367045,25854,718764,32754,64298,993389,1959,485650,197304,91467,892110,805661,5216,3254,1017598,5217,220576,55440,75559,110639,20059,213169,,1067052,99018,174755,185940,288105,26214,40759,10778
African Union,,1998,,194116,376404,26136,737164,32548,67245,1105601,2034,491416,200414,93498,893166,816901,5317,378,1013141,5318,217774,57360,80393,114547,20098,210467,,1089559,101489,177667,189423,293854,26426,42081,11105
African Union,,1999,,197126,383517,26114,754055,32399,70114,1209221,2100,494210,202818,95395,894136,826597,5351,744,1001473,5370,214102,58505,104984,117176,20181,206971,,1106162,103417,178733,192529,299039,26522,43342,11359
African Union,,2000,,198442,391643,26355,774815,32252,72627,1300824,2179,501131,205637,96699,895221,835285,5401,1441,985549,5446,208546,59995,89503,120678,20348,201747,,1116855,105627,180450,194640,303008,26643,44799,11664
African Union,,2001,,199506,399365,26389,804629,31990,71802,1377221,2221,499812,207538,98153,888733,843318,5413,1647,968918,5479,201031,60915,33264,123985,20236,194627,,1135411,108213,182335,198615,308189,26641,46237,12048
African Union,,2002,,199720,409830,26595,813479,32012,74927,1438236,2280,497235,210580,100531,886582,853023,5482,841,946408,5610,195376,62285,41559,128175,20407,189291,,1159402,111528,185388,202974,314604,26072,48160,12589
African Union,,2003,,203232,421232,26671,843578,32021,74310,1482330,2337,495221,214144,103424,879717,863235,5580,2876,919641,5651,187455,63795,39653,132648,20517,181641,,1183509,114936,188619,207874,321415,25550,49860,13077
African Union,,2004,,201696,431773,26879,848293,31861,75438,1500899,2385,489453,216132,105851,870830,872424,5668,1628,894702,5648,180359,64768,34198,136285,20636,174790,,1196490,117426,190463,211168,326435,25025,51661,13477
African Union,,2005,,202339,441759,27137,837920,32124,74468,1479893,2433,480782,217383,107243,861689,883005,5745,513,876172,5678,175815,65371,19808,139936,20798,170462,,1206914,119416,191906,213648,330361,24664,53479,13860
African Union,,2006,,204752,454037,27458,840019,32407,75507,1417984,2494,477310,219953,108038,860117,888622,5848,1524,873858,5743,169715,66131,9611,144706,21017,164535,,1227100,122227,194376,215637,335154,24120,55466,14341
African Union,,2007,,203718,464207,27628,840601,32246,74820,1328488,2568,470820,220827,108484,851231,892937,5927,1048,857813,5797,162923,66478,9240,148162,21062,157929,,1242441,124305,195284,217446,339093,23078,57142,14694
African Union,,2008,,197783,476978,27535,836270,31677,74953,1228654,2665,464263,221679,108301,836741,893435,6032,835,836396,5782,155618,67163,14157,152484,20957,150793,,1267542,127248,197174,220400,344080,22016,59217,15227
African Union,,2009,,195659,492681,27557,825002,31480,77076,1139314,2776,458138,223017,108723,824994,892483,6178,725,819141,5809,148939,68085,21698,157549,20914,144228,,1295473,130956,199565,224402,350423,21249,61189,15734
African Union,,2010,,190405,507415,27509,806971,31052,76386,1066544,2846,449051,223607,108433,810740,889668,6310,1342,794960,5800,152935,68786,10891,162514,21015,147972,,1318686,134362,201725,228347,356210,20718,63293,16241
African Union,,2011,,180831,522438,27425,767184,30593,77525,998167,2944,439838,224358,108104,796432,886575,6468,814,769967,5770,148744,69244,18928,167052,20769,143856,,1343135,137474,203689,231237,362190,20332,65558,16757
African Union,,2012,,176984,538878,27563,730915,30445,77157,926425,3040,434327,226143,106718,789353,880951,6629,1035,745951,5777,134317,70083,13860,172053,20854,129794,,1377033,141323,206472,235215,369494,19987,67834,17330
African Union,,2013,,168973,555476,27707,699271,30087,79087,863013,3143,432209,225861,105378,785228,874884,6806,975,728522,5826,130921,70832,23785,176507,20888,126416,,1407255,145213,209460,237620,375288,19648,70060,17935
African Union,,2014,,165722,572912,27912,661674,30040,82375,815152,3268,432223,227846,104050,781910,866409,6985,585,712255,5894,127631,71988,34796,182179,20966,123146,,1438444,149888,212224,241079,381717,19342,72041,18396
