Month,Year,Hour,Minute,Day,WeekDay,Type
Dec,2023,19,31,31,Sunday,Video
Dec,2023,19,23,31,Sunday,Video
Dec,2023,19,21,31,Sunday,Video
Dec,2023,19,19,31,Sunday,Video
Dec,2023,19,19,31,Sunday,Video
Dec,2023,19,3,31,Sunday,Video
Dec,2023,20,29,26,Tuesday,Video
Dec,2023,20,12,26,Tuesday,Video
Dec,2023,20,8,26,Tuesday,Video
Dec,2023,20,3,26,Tuesday,Video
Dec,2023,20,3,26,Tuesday,Video
Dec,2023,19,57,26,Tuesday,Video
Dec,2023,19,53,26,Tuesday,Video
Dec,2023,19,47,26,Tuesday,Video
Dec,2023,18,49,26,Tuesday,Video
Dec,2023,18,36,26,Tuesday,Video
Dec,2023,17,19,26,Tuesday,Video
Dec,2023,17,18,26,Tuesday,Video
Dec,2023,17,5,26,Tuesday,Video
Dec,2023,16,57,26,Tuesday,Video
Dec,2023,16,55,26,Tuesday,Video
Dec,2023,16,54,26,Tuesday,Video
Dec,2023,16,45,26,Tuesday,Video
Dec,2023,16,43,26,Tuesday,Video
Dec,2023,16,42,26,Tuesday,Video
Dec,2023,16,42,26,Tuesday,Video
Dec,2023,16,41,26,Tuesday,Video
Dec,2023,14,53,26,Tuesday,Video
Dec,2023,14,52,26,Tuesday,Video
Dec,2023,14,50,26,Tuesday,Video
Dec,2023,23,13,26,Tuesday,Video
Dec,2023,11,31,26,Tuesday,Video
Dec,2023,9,43,26,Tuesday,Video
Dec,2023,23,34,25,Monday,Video
Dec,2023,21,33,25,Monday,Video
Dec,2023,21,22,25,Monday,Video
Dec,2023,21,17,25,Monday,Video
Dec,2023,21,10,25,Monday,Video
Dec,2023,21,8,25,Monday,Video
Dec,2023,23,12,25,Monday,Video
Dec,2023,10,3,25,Monday,Video
Dec,2023,10,3,25,Monday,Video
Dec,2023,9,51,25,Monday,Video
Dec,2023,20,49,24,Sunday,Video
Dec,2023,20,47,24,Sunday,Video
Dec,2023,21,31,23,Saturday,Video
Dec,2023,16,37,23,Saturday,Video
Dec,2023,16,26,23,Saturday,Video
Dec,2023,13,24,23,Saturday,Video
Dec,2023,13,3,23,Saturday,Video
Dec,2023,20,40,22,Friday,Video
Dec,2023,16,52,22,Friday,Video
Dec,2023,16,47,22,Friday,Video
Dec,2023,16,45,22,Friday,Video
Dec,2023,16,40,22,Friday,Video
Dec,2023,16,35,22,Friday,Video
Dec,2023,16,10,22,Friday,Video
Dec,2023,16,7,22,Friday,Video
Dec,2023,16,6,22,Friday,Video
Dec,2023,16,1,22,Friday,Video
Dec,2023,15,51,22,Friday,Video
Dec,2023,20,22,21,Thursday,Video
Dec,2023,20,19,21,Thursday,Video
Dec,2023,20,17,21,Thursday,Video
Dec,2023,20,13,21,Thursday,Video
Dec,2023,20,13,21,Thursday,Video
Dec,2023,20,9,21,Thursday,Video
Dec,2023,20,4,21,Thursday,Video
Dec,2023,19,51,21,Thursday,Video
Dec,2023,19,46,21,Thursday,Video
Dec,2023,19,45,21,Thursday,Video
Dec,2023,19,35,21,Thursday,Video
Dec,2023,17,36,21,Thursday,Video
Dec,2023,22,16,20,Wednesday,Video
Dec,2023,22,12,20,Wednesday,Video
Dec,2023,22,8,20,Wednesday,Video
Dec,2023,21,48,20,Wednesday,Video
Dec,2023,21,46,20,Wednesday,Video
Dec,2023,21,45,20,Wednesday,Video
Dec,2023,21,44,20,Wednesday,Video
Dec,2023,21,41,20,Wednesday,Video
Dec,2023,21,34,20,Wednesday,Video
Dec,2023,17,52,20,Wednesday,Video
Dec,2023,16,10,20,Wednesday,Video
Dec,2023,16,10,20,Wednesday,Video
Dec,2023,16,8,20,Wednesday,Video
Dec,2023,16,7,20,Wednesday,Video
Dec,2023,15,44,20,Wednesday,Video
Dec,2023,15,29,20,Wednesday,Video
Dec,2023,15,26,20,Wednesday,Video
Dec,2023,15,25,20,Wednesday,Video
Dec,2023,15,18,20,Wednesday,Video
Dec,2023,21,31,19,Tuesday,Video
Dec,2023,21,24,19,Tuesday,Video
Dec,2023,21,20,19,Tuesday,Video
Dec,2023,21,19,19,Tuesday,Video
Dec,2023,21,10,19,Tuesday,Video
Dec,2023,19,51,19,Tuesday,Video
Dec,2023,19,17,19,Tuesday,Video
Dec,2023,19,8,19,Tuesday,Video
Dec,2023,19,2,19,Tuesday,Video
Dec,2023,19,0,19,Tuesday,Video
Dec,2023,19,0,19,Tuesday,Video
Dec,2023,18,48,19,Tuesday,Video
Dec,2023,18,32,19,Tuesday,Video
Dec,2023,18,31,19,Tuesday,Video
Dec,2023,18,21,19,Tuesday,Video
Dec,2023,18,12,19,Tuesday,Video
Dec,2023,18,8,19,Tuesday,Video
Dec,2023,18,3,19,Tuesday,Video
Dec,2023,17,40,19,Tuesday,Video
Dec,2023,21,15,18,Monday,Video
Dec,2023,21,9,18,Monday,Video
Dec,2023,20,54,18,Monday,Video
Dec,2023,20,54,18,Monday,Video
Dec,2023,20,52,18,Monday,Video
Dec,2023,20,49,18,Monday,Video
Dec,2023,20,30,18,Monday,Video
Dec,2023,20,9,18,Monday,Video
Dec,2023,20,9,18,Monday,Video
Dec,2023,20,9,18,Monday,Video
Dec,2023,18,16,18,Monday,Video
Dec,2023,18,15,18,Monday,Video
Dec,2023,17,52,18,Monday,Video
Dec,2023,17,46,18,Monday,Video
Dec,2023,17,42,18,Monday,Video
Dec,2023,17,38,18,Monday,Video
Dec,2023,17,35,18,Monday,Video
Dec,2023,16,17,18,Monday,Video
Dec,2023,16,4,18,Monday,Video
Dec,2023,15,59,18,Monday,Video
Dec,2023,15,55,18,Monday,Video
Dec,2023,15,21,18,Monday,Video
Dec,2023,15,15,18,Monday,Video
Dec,2023,14,44,18,Monday,Video
Dec,2023,14,42,18,Monday,Video
Dec,2023,14,37,18,Monday,Video
Dec,2023,14,35,18,Monday,Video
Dec,2023,14,32,18,Monday,Video
Dec,2023,14,31,18,Monday,Video
Dec,2023,14,27,18,Monday,Video
Dec,2023,14,0,18,Monday,Video
Dec,2023,13,59,18,Monday,Video
Dec,2023,19,14,17,Sunday,Video
Dec,2023,19,13,17,Sunday,Video
Dec,2023,19,13,17,Sunday,Video
Dec,2023,19,2,17,Sunday,Video
Dec,2023,18,55,17,Sunday,Video
Dec,2023,18,51,17,Sunday,Video
Dec,2023,18,48,17,Sunday,Video
Dec,2023,18,45,17,Sunday,Video
Dec,2023,18,39,17,Sunday,Video
Dec,2023,18,33,17,Sunday,Video
Dec,2023,18,29,17,Sunday,Video
Dec,2023,18,27,17,Sunday,Video
Dec,2023,18,8,17,Sunday,Video
Dec,2023,18,4,17,Sunday,Video
Dec,2023,17,59,17,Sunday,Video
Dec,2023,17,57,17,Sunday,Video
Dec,2023,17,48,17,Sunday,Video
Dec,2023,16,22,17,Sunday,Video
Dec,2023,16,14,17,Sunday,Video
Dec,2023,15,30,16,Saturday,Video
Dec,2023,15,26,16,Saturday,Video
Dec,2023,13,8,16,Saturday,Video
Dec,2023,13,7,16,Saturday,Video
Dec,2023,21,52,15,Friday,Video
Dec,2023,21,36,15,Friday,Video
Dec,2023,21,35,15,Friday,Video
Dec,2023,20,42,15,Friday,Video
Dec,2023,20,39,15,Friday,Video
Dec,2023,20,28,15,Friday,Video
Dec,2023,20,27,15,Friday,Video
Dec,2023,19,12,14,Thursday,Video
Dec,2023,19,5,14,Thursday,Video
Dec,2023,18,44,14,Thursday,Video
Dec,2023,18,44,14,Thursday,Video
Dec,2023,17,59,14,Thursday,Video
Dec,2023,17,58,14,Thursday,Video
Dec,2023,17,58,14,Thursday,Video
Dec,2023,16,43,14,Thursday,Video
Dec,2023,16,16,14,Thursday,Video
Dec,2023,16,6,14,Thursday,Video
Dec,2023,15,56,14,Thursday,Video
Dec,2023,15,47,14,Thursday,Video
Dec,2023,19,58,13,Wednesday,Video
Dec,2023,19,51,13,Wednesday,Video
Dec,2023,19,47,13,Wednesday,Video
Dec,2023,19,43,13,Wednesday,Video
Dec,2023,19,39,13,Wednesday,Video
Dec,2023,19,32,13,Wednesday,Video
Dec,2023,19,11,13,Wednesday,Video
Dec,2023,18,49,13,Wednesday,Video
Dec,2023,18,44,13,Wednesday,Video
Dec,2023,19,32,12,Tuesday,Video
Dec,2023,19,30,12,Tuesday,Video
Dec,2023,19,21,12,Tuesday,Video
Dec,2023,19,16,12,Tuesday,Video
Dec,2023,19,13,12,Tuesday,Video
Dec,2023,18,39,12,Tuesday,Video
Dec,2023,18,16,12,Tuesday,Video
Dec,2023,17,57,12,Tuesday,Video
Dec,2023,17,38,12,Tuesday,Video
Dec,2023,17,38,12,Tuesday,Video
Dec,2023,17,37,12,Tuesday,Video
Dec,2023,17,3,12,Tuesday,Video
Dec,2023,16,57,12,Tuesday,Video
Dec,2023,16,38,11,Monday,Video
Dec,2023,16,11,11,Monday,Video
Dec,2023,21,11,10,Sunday,Video
Dec,2023,21,10,10,Sunday,Video
Dec,2023,21,10,10,Sunday,Video
Dec,2023,20,45,10,Sunday,Video
Dec,2023,20,45,10,Sunday,Video
Dec,2023,20,36,10,Sunday,Video
Dec,2023,20,35,10,Sunday,Video
Dec,2023,19,59,10,Sunday,Video
Dec,2023,19,59,10,Sunday,Video
Dec,2023,19,45,10,Sunday,Video
Dec,2023,19,45,10,Sunday,Video
Dec,2023,19,37,10,Sunday,Video
Dec,2023,19,31,10,Sunday,Video
Dec,2023,19,19,10,Sunday,Video
Dec,2023,19,7,10,Sunday,Video
Dec,2023,19,3,10,Sunday,Video
Dec,2023,19,3,10,Sunday,Video
Dec,2023,18,26,10,Sunday,Video
Dec,2023,18,20,10,Sunday,Video
Dec,2023,16,56,10,Sunday,Video
Dec,2023,16,40,10,Sunday,Video
Dec,2023,15,46,10,Sunday,Video
Dec,2023,15,46,10,Sunday,Video
Dec,2023,15,23,10,Sunday,Video
Dec,2023,15,14,10,Sunday,Video
Dec,2023,15,11,10,Sunday,Video
Dec,2023,14,46,10,Sunday,Video
Dec,2023,22,20,9,Saturday,Video
Dec,2023,22,5,9,Saturday,Video
Dec,2023,21,56,9,Saturday,Video
Dec,2023,21,49,9,Saturday,Video
Dec,2023,21,49,9,Saturday,Video
Dec,2023,21,45,9,Saturday,Video
Dec,2023,21,42,9,Saturday,Video
Dec,2023,21,38,9,Saturday,Video
Dec,2023,21,35,9,Saturday,Video
Dec,2023,21,34,9,Saturday,Video
Dec,2023,21,34,9,Saturday,Video
Dec,2023,21,30,9,Saturday,Video
Dec,2023,21,21,9,Saturday,Video
Dec,2023,21,18,9,Saturday,Video
Dec,2023,20,59,9,Saturday,Video
Dec,2023,20,30,7,Thursday,Video
Dec,2023,19,58,7,Thursday,Video
Dec,2023,19,58,7,Thursday,Video
Dec,2023,19,58,7,Thursday,Video
Dec,2023,19,56,7,Thursday,Video
Dec,2023,19,55,7,Thursday,Video
Dec,2023,19,46,7,Thursday,Video
Dec,2023,19,46,7,Thursday,Video
Dec,2023,19,45,7,Thursday,Video
Dec,2023,19,43,7,Thursday,Video
Dec,2023,19,34,7,Thursday,Video
Dec,2023,19,33,7,Thursday,Video
Dec,2023,19,32,7,Thursday,Video
Dec,2023,19,30,7,Thursday,Video
Dec,2023,18,59,7,Thursday,Video
Dec,2023,18,51,7,Thursday,Video
Dec,2023,18,47,7,Thursday,Video
Dec,2023,18,42,7,Thursday,Video
Dec,2023,18,36,7,Thursday,Video
Dec,2023,18,29,7,Thursday,Video
Dec,2023,18,27,7,Thursday,Video
Dec,2023,18,27,7,Thursday,Video
Dec,2023,18,20,7,Thursday,Video
Dec,2023,18,14,7,Thursday,Video
Dec,2023,18,11,7,Thursday,Video
Dec,2023,18,7,7,Thursday,Video
Dec,2023,17,57,7,Thursday,Video
Dec,2023,19,55,5,Tuesday,Video
Dec,2023,19,51,5,Tuesday,Video
Dec,2023,19,45,5,Tuesday,Video
Dec,2023,19,44,5,Tuesday,Video
Dec,2023,19,35,5,Tuesday,Video
Sep,2023,20,13,4,Monday,Video
Sep,2023,20,4,4,Monday,Video
Sep,2023,19,31,4,Monday,Video
Sep,2023,19,25,4,Monday,Video
Sep,2023,19,5,4,Monday,Video
Sep,2023,19,0,4,Monday,Video
Sep,2023,19,0,4,Monday,Video
Sep,2023,19,0,4,Monday,Video
Sep,2023,18,54,4,Monday,Video
Sep,2023,18,52,4,Monday,Video
Sep,2023,14,15,2,Saturday,Video
Jul,2023,8,26,14,Friday,Video
Jul,2023,8,26,14,Friday,Video
Jul,2023,8,26,14,Friday,Video
Jul,2023,8,26,14,Friday,Video
Jul,2023,8,11,14,Friday,Video
Jul,2023,8,1,14,Friday,Video
Jul,2023,7,59,14,Friday,Video
Jul,2023,19,52,12,Wednesday,Video
Jul,2023,17,16,12,Wednesday,Video
Jul,2023,17,3,12,Wednesday,Video
Jul,2023,16,47,12,Wednesday,Video
Jul,2023,16,46,12,Wednesday,Video
Jul,2023,16,12,12,Wednesday,Video
Jul,2023,16,11,12,Wednesday,Video
Jul,2023,16,11,12,Wednesday,Video
Jul,2023,16,11,12,Wednesday,Video
Jul,2023,16,11,12,Wednesday,Video
Jul,2023,16,10,12,Wednesday,Video
Jul,2023,16,7,12,Wednesday,Video
Jul,2023,16,5,12,Wednesday,Video
Jul,2023,16,3,12,Wednesday,Video
Jul,2023,16,1,12,Wednesday,Video
Jul,2023,15,44,12,Wednesday,Video
Jul,2023,14,25,12,Wednesday,Video
Jul,2023,14,20,12,Wednesday,Video
Jul,2023,14,17,12,Wednesday,Video
Jul,2023,14,17,12,Wednesday,Video
Jul,2023,13,56,12,Wednesday,Video
Jul,2023,13,33,12,Wednesday,Video
Jul,2023,13,32,12,Wednesday,Video
Jul,2023,13,27,12,Wednesday,Video
Jul,2023,13,16,12,Wednesday,Video
Jul,2023,13,15,12,Wednesday,Video
Jul,2023,13,1,10,Monday,Video
Jul,2023,23,50,10,Monday,Video
Jul,2023,23,36,10,Monday,Video
Jul,2023,23,33,10,Monday,Video
Jul,2023,23,30,10,Monday,Video
Jul,2023,19,0,9,Sunday,Video
Jul,2023,18,40,9,Sunday,Video
Jul,2023,18,39,9,Sunday,Video
Jul,2023,18,35,9,Sunday,Video
Jul,2023,18,32,9,Sunday,Video
Jul,2023,9,48,9,Sunday,Video
Jul,2023,8,10,9,Sunday,Video
Jul,2023,7,57,9,Sunday,Video
Jul,2023,7,42,9,Sunday,Video
Jul,2023,7,41,9,Sunday,Video
Jul,2023,7,38,9,Sunday,Video
Jul,2023,7,33,8,Saturday,Video
Jul,2023,7,15,8,Saturday,Video
Jul,2023,18,33,6,Thursday,Video
Jul,2023,18,30,6,Thursday,Video
Jul,2023,18,30,6,Thursday,Video
Jul,2023,18,21,6,Thursday,Video
Jul,2023,18,17,6,Thursday,Video
Jul,2023,18,14,6,Thursday,Video
Jul,2023,17,58,6,Thursday,Video
Jul,2023,17,53,6,Thursday,Video
Jul,2023,17,52,6,Thursday,Video
Jul,2023,17,50,6,Thursday,Video
Jul,2023,17,47,6,Thursday,Video
Jul,2023,17,47,6,Thursday,Video
Jul,2023,17,1,6,Thursday,Video
Jul,2023,16,56,6,Thursday,Video
Jul,2023,16,45,6,Thursday,Video
Jul,2023,16,39,6,Thursday,Video
Jul,2023,16,34,6,Thursday,Video
Jul,2023,16,21,6,Thursday,Video
Jul,2023,10,44,6,Thursday,Video
Jul,2023,8,8,6,Thursday,Video
Jul,2023,8,7,6,Thursday,Video
Jul,2023,7,42,6,Thursday,Video
Jul,2023,6,47,6,Thursday,Video
Jul,2023,23,7,5,Wednesday,Video
Jul,2023,11,56,5,Wednesday,Video
Jul,2023,11,53,5,Wednesday,Video
Jul,2023,11,49,5,Wednesday,Video
Jul,2023,11,9,5,Wednesday,Video
Jul,2023,11,4,5,Wednesday,Video
Jul,2023,10,54,5,Wednesday,Video
Jul,2023,10,37,5,Wednesday,Video
Jul,2023,10,17,5,Wednesday,Video
Jul,2023,8,52,5,Wednesday,Video
Jul,2023,8,40,5,Wednesday,Video
Jul,2023,8,33,5,Wednesday,Video
Jul,2023,8,33,5,Wednesday,Video
Jul,2023,8,0,5,Wednesday,Video
Jul,2023,7,52,5,Wednesday,Video
Jul,2023,7,51,5,Wednesday,Video
Jul,2023,15,33,4,Tuesday,Video
Jul,2023,15,24,4,Tuesday,Video
Jul,2023,15,11,4,Tuesday,Video
Jul,2023,14,55,4,Tuesday,Video
Jul,2023,14,46,4,Tuesday,Video
Jul,2023,14,45,4,Tuesday,Video
Jul,2023,14,42,4,Tuesday,Video
Jul,2023,14,37,4,Tuesday,Video
Jul,2023,14,37,4,Tuesday,Video
Jul,2023,11,58,4,Tuesday,Video
Jul,2023,11,45,4,Tuesday,Video
Jul,2023,11,29,4,Tuesday,Video
Jul,2023,10,45,4,Tuesday,Video
Jul,2023,17,44,2,Sunday,Video
Jul,2023,17,38,2,Sunday,Video
Jul,2023,17,31,2,Sunday,Video
Jul,2023,16,39,2,Sunday,Video
Jul,2023,16,20,2,Sunday,Video
Jul,2023,23,5,2,Sunday,Video
Jul,2023,23,4,2,Sunday,Video
Jul,2023,11,58,2,Sunday,Video
Jul,2023,11,31,2,Sunday,Video
Sep,2023,19,36,1,Friday,Video
Aug,2023,21,59,10,Thursday,Video
Aug,2023,21,54,10,Thursday,Video
Aug,2023,21,44,10,Thursday,Video
Aug,2023,8,22,6,Sunday,Video
Aug,2023,8,17,6,Sunday,Video
Aug,2023,8,14,6,Sunday,Video
Aug,2023,8,10,6,Sunday,Video
Aug,2023,8,10,6,Sunday,Video
Aug,2023,19,44,2,Wednesday,Video
Aug,2023,19,26,2,Wednesday,Video
Aug,2023,19,21,2,Wednesday,Video
Aug,2023,19,19,2,Wednesday,Video
Aug,2023,19,0,2,Wednesday,Video
Aug,2023,18,57,2,Wednesday,Video
Aug,2023,18,56,2,Wednesday,Video
Aug,2023,18,47,2,Wednesday,Video
Aug,2023,18,28,2,Wednesday,Video
Aug,2023,11,19,2,Wednesday,Video
Aug,2023,11,16,2,Wednesday,Video
Aug,2023,11,12,2,Wednesday,Video
Aug,2023,11,7,2,Wednesday,Video
Aug,2023,11,6,2,Wednesday,Video
Aug,2023,11,6,2,Wednesday,Video
Aug,2023,11,4,2,Wednesday,Video
Aug,2023,11,0,2,Wednesday,Video
Aug,2023,10,35,2,Wednesday,Video
